step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.7039,8.768980979919434,7.927400573059717e-06,,,,,,,,,,,
10,0.084,1.5305,6.6140217781066895,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,1.0488,3.5523574352264404,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.662,1.9497791528701782,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.5256,1.403340458869934,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.3505,0.8440642356872559,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.2611,0.6875131726264954,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.1898,0.46431252360343933,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.1616,0.5191800594329834,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.1501,0.48789042234420776,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.1381,0.45823076367378235,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.1211,0.3888111114501953,2e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,102.8391,33.761,0.175,,,,,,
65,0.546,0.1135,0.2732693552970886,2e-05,,,,,,,,,,,
70,0.588,0.1119,0.27699604630470276,2e-05,,,,,,,,,,,
75,0.63,0.1008,0.27019789814949036,2e-05,,,,,,,,,,,
80,0.672,0.0972,0.23362500965595245,2e-05,,,,,,,,,,,
85,0.714,0.0908,0.30716559290885925,2e-05,,,,,,,,,,,
90,0.756,0.0857,0.2735712230205536,2e-05,,,,,,,,,,,
95,0.798,0.0852,0.22158974409103394,2e-05,,,,,,,,,,,
100,0.84,0.0786,0.28225815296173096,2e-05,,,,,,,,,,,
105,0.882,0.0761,0.2921316921710968,2e-05,,,,,,,,,,,
110,0.924,0.081,0.3565129339694977,2e-05,,,,,,,,,,,
115,0.966,0.0745,0.23683977127075195,2e-05,,,,,,,,,,,
119,1.0,,,,0.11478260865931374,0.11478260865931374,106.7486,32.525,0.169,,,,,,
120,1.008,0.0765,0.2847849130630493,2e-05,,,,,,,,,,,
125,1.05,0.0704,0.2852073907852173,2e-05,,,,,,,,,,,
130,1.092,0.0684,0.3337599039077759,2e-05,,,,,,,,,,,
135,1.134,0.0662,0.27663111686706543,2e-05,,,,,,,,,,,
140,1.176,0.07,0.21431949734687805,2e-05,,,,,,,,,,,
145,1.218,0.0625,0.2419007420539856,2e-05,,,,,,,,,,,
150,1.261,0.0636,0.21659617125988007,2e-05,,,,,,,,,,,
155,1.303,0.0592,0.2335498332977295,2e-05,,,,,,,,,,,
160,1.345,0.0593,0.23142752051353455,2e-05,,,,,,,,,,,
165,1.387,0.0555,0.270346075296402,2e-05,,,,,,,,,,,
170,1.429,0.0593,0.25983375310897827,2e-05,,,,,,,,,,,
175,1.471,0.0559,0.26805129647254944,2e-05,,,,,,,,,,,
178,1.496,,,,0.3356973994771703,0.3356973994771703,107.9809,32.154,0.167,,,,,,
180,1.513,0.0559,0.22516578435897827,2e-05,,,,,,,,,,,
185,1.555,0.0514,0.6060449481010437,2e-05,,,,,,,,,,,
190,1.597,0.055,0.16414879262447357,2e-05,,,,,,,,,,,
195,1.639,0.049,0.2198389321565628,2e-05,,,,,,,,,,,
200,1.681,0.0525,0.2779674828052521,2e-05,,,,,,,,,,,
205,1.723,0.0515,0.2359926700592041,2e-05,,,,,,,,,,,
210,1.765,0.048,0.23431755602359772,2e-05,,,,,,,,,,,
215,1.807,0.0492,0.1908123642206192,2e-05,,,,,,,,,,,
220,1.849,0.0482,0.21257951855659485,2e-05,,,,,,,,,,,
225,1.891,0.0466,0.1573100984096527,2e-05,,,,,,,,,,,
230,1.933,0.0483,0.20883429050445557,2e-05,,,,,,,,,,,
235,1.975,0.0465,0.2820093035697937,2e-05,,,,,,,,,,,
238,2.0,,,,0.38802889571921434,0.38802889571921434,107.1955,32.389,0.168,,,,,,
240,2.017,0.0476,0.2038232982158661,2e-05,,,,,,,,,,,
245,2.059,0.0481,0.2597132623195648,2e-05,,,,,,,,,,,
250,2.101,0.0436,0.1778896600008011,2e-05,,,,,,,,,,,
255,2.143,0.0427,0.22459019720554352,2e-05,,,,,,,,,,,
260,2.185,0.0444,0.4300270080566406,2e-05,,,,,,,,,,,
265,2.227,0.0402,0.22212441265583038,2e-05,,,,,,,,,,,
270,2.269,0.0383,0.29609784483909607,2e-05,,,,,,,,,,,
275,2.311,0.0416,0.21010489761829376,2e-05,,,,,,,,,,,
280,2.353,0.0432,0.2363472878932953,2e-05,,,,,,,,,,,
285,2.395,0.0416,0.2499174028635025,2e-05,,,,,,,,,,,
