step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,1.8456,9.739335060119629,5.43584091395317e-06,,,,,,,,,,,
10,0.013,1.7397,6.933372974395752,7.77693016900905e-06,,,,,,,,,,,
15,0.019,1.3627,3.9742352962493896,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.9507,2.4389004707336426,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.6255,1.7605934143066406,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.4874,1.199177861213684,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.3433,0.8125941753387451,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.2665,0.6354376673698425,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.2098,0.5011444687843323,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.1725,0.44630536437034607,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.1376,0.4317776560783386,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.1236,0.30992433428764343,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.1151,0.46788933873176575,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.1016,0.27387237548828125,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0945,0.2452259510755539,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0879,0.31704169511795044,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0808,0.2842619717121124,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.0782,0.2622157335281372,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0719,0.22283531725406647,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0668,0.2698827385902405,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0662,0.23092196881771088,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0653,0.21250683069229126,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.0583,0.2115163654088974,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.057,0.1914943903684616,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.059,0.17820219695568085,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0608,0.20434314012527466,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0591,0.18477244675159454,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0539,0.20157770812511444,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.054,0.17320667207241058,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0523,0.20043617486953735,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0478,0.1681351512670517,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0474,0.1841030716896057,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0489,0.14891724288463593,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.045,0.17663873732089996,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0471,0.19905266165733337,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0441,0.1382887363433838,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0428,0.1645006388425827,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0422,0.13332456350326538,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0458,0.1405656933784485,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0403,0.15585395693778992,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0422,0.19590497016906738,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0415,0.1736024022102356,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0361,0.1400313824415207,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0355,0.15454408526420593,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0403,0.14582501351833344,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0365,0.16806630790233612,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.0361,0.1204579621553421,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0375,0.1740891933441162,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.035,0.1898602843284607,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.039,0.15006962418556213,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0352,0.14580126106739044,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0372,0.16840821504592896,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.0382,0.20819734036922455,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.0321,0.13450412452220917,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0373,0.15986067056655884,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0344,0.15047921240329742,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.0367,0.13960367441177368,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.0341,0.10464709997177124,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0329,0.1770399957895279,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0318,0.16512136161327362,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.0336,0.14673572778701782,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0334,0.13761326670646667,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0335,0.15442603826522827,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0333,0.11365357041358948,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.0299,0.13592961430549622,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0303,0.1416431963443756,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.0322,0.12738792598247528,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.0291,0.1474689543247223,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0291,0.10172325372695923,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.0272,0.12725059688091278,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.0282,0.15809331834316254,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0286,0.13694223761558533,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.0269,0.10895440727472305,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.0292,0.12689325213432312,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0294,0.08975707739591599,2e-05,,,,,,,,,,,
380,0.489,0.0276,0.13562335073947906,2e-05,,,,,,,,,,,
385,0.495,0.0315,0.11710561066865921,2e-05,,,,,,,,,,,
388,0.499,,,,0.8822269806776757,0.8822269806776757,18.8866,56.124,0.318,,,,,,
390,0.502,0.0296,0.10805575549602509,2e-05,,,,,,,,,,,
395,0.508,0.027,0.09537068754434586,2e-05,,,,,,,,,,,
400,0.515,0.0261,0.11605920642614365,2e-05,,,,,,,,,,,
405,0.521,0.0308,0.1358398050069809,2e-05,,,,,,,,,,,
410,0.528,0.0262,0.126445472240448,2e-05,,,,,,,,,,,
415,0.534,0.0248,0.12432301044464111,2e-05,,,,,,,,,,,
420,0.541,0.0265,0.24467110633850098,2e-05,,,,,,,,,,,
425,0.547,0.027,0.20361344516277313,2e-05,,,,,,,,,,,
430,0.553,0.0255,0.15460744500160217,2e-05,,,,,,,,,,,
435,0.56,0.0269,0.11672477424144745,2e-05,,,,,,,,,,,
440,0.566,0.0258,0.11036615073680878,2e-05,,,,,,,,,,,
445,0.573,0.0268,0.10227090865373611,2e-05,,,,,,,,,,,
450,0.579,0.0264,0.10611110925674438,2e-05,,,,,,,,,,,
455,0.586,0.0255,0.11715572327375412,2e-05,,,,,,,,,,,
460,0.592,0.0268,0.11180014908313751,2e-05,,,,,,,,,,,
465,0.598,0.0263,0.11290627717971802,2e-05,,,,,,,,,,,
470,0.605,0.0256,0.1171201765537262,2e-05,,,,,,,,,,,
475,0.611,0.0239,0.09570704400539398,2e-05,,,,,,,,,,,
480,0.618,0.0242,0.09395270049571991,2e-05,,,,,,,,,,,
485,0.624,0.0237,0.08665154874324799,2e-05,,,,,,,,,,,
490,0.631,0.0236,0.08998275548219681,2e-05,,,,,,,,,,,
495,0.637,0.0237,0.13388244807720184,2e-05,,,,,,,,,,,
500,0.644,0.0248,0.12143766134977341,2e-05,,,,,,,,,,,
505,0.65,0.025,0.11132141202688217,2e-05,,,,,,,,,,,
510,0.656,0.0252,0.10797029733657837,2e-05,,,,,,,,,,,
515,0.663,0.0265,0.15861192345619202,2e-05,,,,,,,,,,,
520,0.669,0.0266,0.10147040337324142,2e-05,,,,,,,,,,,
525,0.676,0.0245,0.12769772112369537,2e-05,,,,,,,,,,,
530,0.682,0.0236,0.08830506354570389,2e-05,,,,,,,,,,,
535,0.689,0.0226,0.1550910919904709,2e-05,,,,,,,,,,,
540,0.695,0.0231,0.09957961738109589,2e-05,,,,,,,,,,,
545,0.701,0.0231,0.14566412568092346,2e-05,,,,,,,,,,,
550,0.708,0.0206,0.08627957105636597,2e-05,,,,,,,,,,,
555,0.714,0.0273,0.20479996502399445,2e-05,,,,,,,,,,,
560,0.721,0.0238,0.07710371166467667,2e-05,,,,,,,,,,,
565,0.727,0.0235,0.08249173313379288,2e-05,,,,,,,,,,,
570,0.734,0.023,0.11083610355854034,2e-05,,,,,,,,,,,
575,0.74,0.0226,0.0758417546749115,2e-05,,,,,,,,,,,
580,0.746,0.0224,0.0792170837521553,2e-05,,,,,,,,,,,
585,0.753,0.0224,0.09290677309036255,2e-05,,,,,,,,,,,
590,0.759,0.0215,0.10011087357997894,2e-05,,,,,,,,,,,
595,0.766,0.021,0.1356552243232727,2e-05,,,,,,,,,,,
600,0.772,0.0239,0.08902394771575928,2e-05,,,,,,,,,,,
605,0.779,0.0195,0.06769529730081558,2e-05,,,,,,,,,,,
610,0.785,0.0222,0.08214087039232254,2e-05,,,,,,,,,,,
615,0.792,0.0219,0.09085480123758316,2e-05,,,,,,,,,,,
620,0.798,0.0211,0.10014385730028152,2e-05,,,,,,,,,,,
625,0.804,0.0211,0.06843940168619156,2e-05,,,,,,,,,,,
630,0.811,0.0201,0.08974695950746536,2e-05,,,,,,,,,,,
635,0.817,0.0237,0.6451372504234314,2e-05,,,,,,,,,,,
640,0.824,0.0207,0.09804800897836685,2e-05,,,,,,,,,,,
645,0.83,0.02,0.0732177272439003,2e-05,,,,,,,,,,,
650,0.837,0.0208,0.16913749277591705,2e-05,,,,,,,,,,,
655,0.843,0.0224,0.10507149249315262,2e-05,,,,,,,,,,,
660,0.849,0.0209,0.14749394357204437,2e-05,,,,,,,,,,,
665,0.856,0.0215,0.10282864421606064,2e-05,,,,,,,,,,,
670,0.862,0.0203,0.11585938185453415,2e-05,,,,,,,,,,,
675,0.869,0.0207,0.10783692449331284,2e-05,,,,,,,,,,,
680,0.875,0.0195,0.10681019723415375,2e-05,,,,,,,,,,,
685,0.882,0.0193,0.09450176358222961,2e-05,,,,,,,,,,,
690,0.888,0.0228,0.0820465236902237,2e-05,,,,,,,,,,,
695,0.894,0.019,0.12566594779491425,2e-05,,,,,,,,,,,
