step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.519,21.863204956054688,0.0,,,,,,,,,,,
2,0.08,1.4366,17.869178771972656,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.4309,25.76140594482422,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.9887,32.884002685546875,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.6273,27.178632736206055,1.295370924755994e-05,,,,,,,,,,,
6,0.24,1.1527,17.720884323120117,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.7899,9.41142463684082,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.589,8.984979629516602,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.4634,7.019349098205566,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.3763,7.78513765335083,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.4248,7.040665149688721,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2954,4.544403553009033,2e-05,,,,,,,,,,,
12,0.48,,,,0.004081632634087464,0.004081632634087464,12.1624,8.222,0.082,,,,,,
13,0.52,0.333,5.487888813018799,2e-05,,,,,,,,,,,
14,0.56,0.2168,4.9883131980896,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1498,4.567393779754639,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.2214,4.196381092071533,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1436,2.7759408950805664,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1559,2.364884853363037,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0993,1.8362964391708374,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1768,3.5334105491638184,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1054,2.9253547191619873,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1216,2.6470086574554443,1.9375e-05,,,,,,,,,,,
23,0.92,0.1235,3.7736051082611084,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1257,3.942974805831909,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0857,2.0975942611694336,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.3609195401798045,0.3609195401798045,11.1401,8.977,0.09,,,,,,
26,1.04,0.0984,3.3894810676574707,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0775,2.586878776550293,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0505,1.8733265399932861,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0414,1.1944186687469482,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.042,1.97258722782135,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0687,2.2764735221862793,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0264,0.9751079678535461,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.073,2.6442148685455322,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0481,2.645763874053955,1.854166666666667e-05,,,,,,,,,,,
