step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.8496,11.99933910369873,0.0,,,,,,,,,,,
2,0.04,2.1211,14.659663200378418,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.7637,8.692954063415527,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.7305,12.250690460205078,8.724171679421262e-06,,,,,,,,,,,
5,0.1,1.3574,9.023292541503906,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,1.5684,8.309080123901367,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,1.3301,8.283537864685059,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,1.4238,8.303712844848633,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,1.3438,9.173371315002441,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,1.3613,8.086880683898926,1.449053550324508e-05,,,,,,,,,,,
11,0.22,1.2852,7.414845943450928,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,1.4141,9.228079795837402,1.563791416028937e-05,,,,,,,,,,,
13,0.26,1.2373,6.52004337310791,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,1.3438,9.17063045501709,1.660800899226005e-05,,,,,,,,,,,
15,0.3,1.0537,5.709222316741943,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,1.2637,6.600555419921875,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.9717,4.944881916046143,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.9512,5.224040508270264,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.7617,4.349443435668945,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.7539,4.387053489685059,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.8301,4.943780899047852,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.7769,4.217751979827881,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.7715,3.3676512241363525,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.8408,3.945864200592041,2e-05,,,,,,,,,,,
25,0.5,0.6357,3.539217472076416,2e-05,,,,,,,,,,,
25,0.5,,,,0.0,0.0,10.2129,9.792,0.098,,,,,,
26,0.52,0.6436,3.657771110534668,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.562,3.6588308811187744,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.6167,3.855344533920288,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.396,2.8333330154418945,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.4673,3.480858325958252,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.6094,3.4873948097229004,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.5547,3.42403244972229,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.5386,3.4400992393493652,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.4609,2.8315625190734863,1.96875e-05,,,,,,,,,,,
35,0.7,0.4795,2.5502748489379883,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.5601,3.124582529067993,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.4604,3.281158924102783,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.3962,2.4483766555786133,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.4482,3.202413320541382,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.3213,2.5177786350250244,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.3879,2.742945671081543,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.5156,2.7310125827789307,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.4194,2.4429171085357666,1.9375e-05,,,,,,,,,,,
44,0.88,0.3638,2.4275059700012207,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.3511,2.3185927867889404,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.4189,2.645437717437744,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.3784,3.0595264434814453,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.291,2.0349438190460205,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.2795,2.248340606689453,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.2787,2.4484457969665527,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.004273504258581707,0.004273504258581707,9.9797,10.02,0.1,,,,,,
51,1.02,0.2817,1.8849875926971436,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.2129,1.7059283256530762,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.3009,2.1086347103118896,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.2344,1.562985897064209,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.2542,2.081362724304199,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.2415,1.809638261795044,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.2454,1.9272031784057617,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.2183,1.7993884086608887,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.3599,2.5578908920288086,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.281,1.8106186389923096,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.2476,1.6442161798477173,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.3369,2.6411592960357666,1.871527777777778e-05,,,,,,,,,,,
