step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,2.832,18.59490203857422,0.0,,,,,,,,,,,
2,0.008,2.7344,17.125001907348633,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,2.7539,17.96691131591797,4.62224232422701e-06,,,,,,,,,,,
4,0.017,2.7852,17.374401092529297,5.832620421144215e-06,,,,,,,,,,,
5,0.021,2.8281,18.555315017700195,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,2.7148,18.780868530273438,7.538552534799117e-06,,,,,,,,,,,
7,0.029,2.6836,17.82701301574707,8.187117823896454e-06,,,,,,,,,,,
8,0.033,2.5859,16.25140380859375,8.748930631716322e-06,,,,,,,,,,,
9,0.037,2.4805,15.288780212402344,9.24448464845402e-06,,,,,,,,,,,
10,0.042,2.4961,15.114154815673828,9.687772821906364e-06,,,,,,,,,,,
11,0.046,2.4922,14.897978782653809,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,2.2734,12.062979698181152,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,2.2031,12.721867561340332,1.079163013362144e-05,,,,,,,,,,,
14,0.058,2.0625,10.644432067871094,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,2.0117,10.198503494262695,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,1.9316,9.502410888671875,1.166524084228843e-05,,,,,,,,,,,
17,0.071,1.8691,8.977194786071777,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,1.6797,6.806801795959473,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,1.6504,6.40997314453125,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,1.6445,6.776716232299805,1.260408303247847e-05,,,,,,,,,,,
21,0.087,1.5,6.127233028411865,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,1.3379,5.3035078048706055,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,1.5039,5.245378017425537,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,1.4258,5.777710914611816,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,1.2188,4.428725719451904,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,1.1934,4.493795394897461,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,1.1367,4.172508239746094,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,1.0586,4.241114139556885,1.401973824504067e-05,,,,,,,,,,,
