step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,2.5664,16.225032806396484,0.0,,,,,,,,,,,
2,0.08,2.5078,16.94622039794922,5.578858913022597e-06,,,,,,,,,,,
3,0.12,2.084,13.038832664489746,8.842282173954808e-06,,,,,,,,,,,
4,0.16,2.7461,19.08968162536621,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,2.5742,17.728151321411133,1.295370924755994e-05,,,,,,,,,,,
6,0.24,2.4531,15.908036231994629,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,2.3438,13.786362648010254,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,2.2578,17.638118743896484,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,2.1973,14.271596908569336,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,1.9473,13.961420059204102,1.853256816058254e-05,,,,,,,,,,,
11,0.44,2.4648,15.06418228149414,1.929968091962688e-05,,,,,,,,,,,
12,0.48,2.0645,11.675481796264648,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,7.0772,14.13,0.141,,,,,,
13,0.52,2.3398,15.389749526977539,2e-05,,,,,,,,,,,
14,0.56,1.8398,8.553587913513184,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,1.9043,12.407788276672363,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,1.873,11.821695327758789,1.979166666666667e-05,,,,,,,,,,,
17,0.68,1.7539,10.170722961425781,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,1.7891,10.118938446044922,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,1.7812,9.427427291870117,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,1.8906,9.271027565002441,1.951388888888889e-05,,,,,,,,,,,
21,0.84,1.4648,9.656641006469727,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,1.6074,7.6320061683654785,1.9375e-05,,,,,,,,,,,
23,0.92,1.6191,8.83685302734375,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,1.7109,8.19151782989502,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,1.4316,6.431768894195557,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.0,0.0,7.0163,14.253,0.143,,,,,,
26,1.04,1.5625,7.837578773498535,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,1.25,4.693231105804443,1.902777777777778e-05,,,,,,,,,,,
28,1.12,1.5684,7.263692855834961,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,1.3633,7.536593437194824,1.888888888888889e-05,,,,,,,,,,,
30,1.2,1.4551,6.15605354309082,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,1.2207,6.882238388061523,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,1.209,7.840587615966797,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,1.2207,5.890407562255859,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,1.291,4.720517158508301,1.854166666666667e-05,,,,,,,,,,,
35,1.4,1.4033,5.875520706176758,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,1.2012,4.678945064544678,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,1.2441,5.379515647888184,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,1.252,5.1218695640563965,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.0,0.0,7.0285,14.228,0.142,,,,,,
39,1.56,0.9854,4.284490585327148,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,1.1406,4.929116249084473,1.8125e-05,,,,,,,,,,,
41,1.64,1.0898,4.959699630737305,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,1.1836,3.8604817390441895,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,1.1084,5.066608905792236,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,1.1006,5.537418365478516,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,1.1729,5.0484490394592285,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.8428,4.9412078857421875,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.9482,4.037985324859619,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.9844,4.447051048278809,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,1.0537,7.5599589347839355,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.7695,3.9783520698547363,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.0,0.0,7.0177,14.25,0.142,,,,,,
51,2.04,0.834,3.8728907108306885,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,1.0078,5.143049716949463,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.9434,4.841004848480225,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.877,4.253358364105225,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.8691,4.140719890594482,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.8213,4.7909722328186035,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.874,3.689141273498535,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.8369,3.993377208709717,1.6875e-05,,,,,,,,,,,
59,2.36,0.9004,5.054259300231934,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.9443,4.102339267730713,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.6685,3.0899131298065186,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.7041,3.319232702255249,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.0,0.0,7.0137,14.258,0.143,,,,,,
63,2.52,0.8086,3.939755439758301,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.8027,4.510188102722168,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.6196,3.207387924194336,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.6611,3.9116785526275635,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.8076,3.6628518104553223,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.6616,4.398445129394531,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.8311,3.777353525161743,1.6111111111111115e-05,,,,,,,,,,,
