step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,2.4785,18.629329681396484,0.0,,,,,,,,,,,
2,0.04,2.6699,18.908203125,4.362085839710631e-06,,,,,,,,,,,
3,0.06,2.3086,13.448690414428711,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,2.4434,17.758140563964844,8.724171679421262e-06,,,,,,,,,,,
5,0.1,2.1758,14.224955558776855,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,1.918,11.027778625488281,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,2.1406,13.340920448303223,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,2.3164,16.782852172851562,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,2.1055,16.49272346496582,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,1.9492,10.224677085876465,1.449053550324508e-05,,,,,,,,,,,
11,0.22,2.0469,12.17247200012207,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,2.1816,13.489540100097656,1.563791416028937e-05,,,,,,,,,,,
13,0.26,1.9707,9.357317924499512,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,2.1328,12.935454368591309,1.660800899226005e-05,,,,,,,,,,,
15,0.3,1.998,12.605984687805176,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,2.0352,11.404535293579102,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,1.7656,10.057673454284668,1.782986378016149e-05,,,,,,,,,,,
18,0.36,1.9766,9.065034866333008,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,1.5391,10.172677993774414,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,1.6055,8.390131950378418,1.885262134295571e-05,,,,,,,,,,,
21,0.42,1.8008,10.032233238220215,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,1.8203,8.864608764648438,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,1.5469,7.031299114227295,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,1.6523,7.6059088706970215,2e-05,,,,,,,,,,,
25,0.5,1.4727,6.882010459899902,2e-05,,,,,,,,,,,
25,0.5,,,,0.0,0.0,7.1223,14.04,0.14,,,,,,
26,0.52,1.4824,6.690384387969971,1.996527777777778e-05,,,,,,,,,,,
27,0.54,1.332,7.141910076141357,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,1.4883,6.057679653167725,1.9895833333333334e-05,,,,,,,,,,,
