step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.5671,22.30451774597168,0.0,,,,,,,,,,,
2,0.08,0.4833,17.686500549316406,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.4005,14.344770431518555,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.3432,10.062945365905762,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.2518,7.330862045288086,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.2852,25.769094467163086,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.2279,16.31332015991211,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1621,10.552613258361816,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0862,6.42954158782959,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.1159,10.029867172241211,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1127,6.853088855743408,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.0566,3.4878745079040527,2e-05,,,,,,,,,,,
12,0.48,,,,0.5572390571898931,0.5572390571898931,89.4217,1.118,0.011,,,,,,
13,0.52,0.0843,5.011384010314941,2e-05,,,,,,,,,,,
14,0.56,0.1241,7.283494472503662,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.067,4.142265796661377,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0744,3.799762487411499,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0461,1.3771129846572876,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0792,6.726529121398926,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.06,2.345768690109253,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0671,3.1428163051605225,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0791,2.8956480026245117,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1009,4.017676830291748,1.9375e-05,,,,,,,,,,,
23,0.92,0.0261,1.4648308753967285,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0589,2.259683132171631,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0659,3.491082191467285,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.696250956338624,0.696250956338624,89.423,1.118,0.011,,,,,,
26,1.04,0.0243,1.078973650932312,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0146,1.2354180812835693,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0312,1.8862879276275635,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0792,4.1967926025390625,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0973,5.6116719245910645,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0081,1.0434905290603638,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0087,0.8048239946365356,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0461,2.718806266784668,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0684,2.9050471782684326,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0318,1.6609208583831787,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0141,2.6903610229492188,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0228,1.9349377155303955,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0314,1.828183889389038,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.7512991833203415,0.7512991833203415,11.3154,8.837,0.088,,,,,,
39,1.56,0.0202,3.5317280292510986,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0071,0.4443485140800476,1.8125e-05,,,,,,,,,,,
41,1.64,0.0371,2.1510777473449707,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0207,0.8735839128494263,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0268,2.4584224224090576,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0548,1.8385587930679321,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0372,2.649813175201416,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0513,4.770886421203613,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0395,1.715849757194519,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0635,2.60324764251709,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0471,3.639543294906616,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0222,1.4854475259780884,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.7008797653457969,0.7008797653457969,89.5549,1.117,0.011,,,,,,
51,2.04,0.029,2.077456474304199,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0238,2.6775693893432617,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0087,0.6615298986434937,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0121,0.7054244875907898,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0337,2.9363203048706055,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.014,0.9718415141105652,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0074,0.6729466915130615,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.005,0.593306303024292,1.6875e-05,,,,,,,,,,,
59,2.36,0.0614,3.353106737136841,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0156,1.204544186592102,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0274,1.7344521284103394,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0403,1.4449636936187744,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.7139784945736055,0.7139784945736055,89.3703,1.119,0.011,,,,,,
63,2.52,0.0024,0.40822792053222656,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0111,1.2375737428665161,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0402,1.5697097778320312,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0051,0.3655068874359131,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.021,1.3728790283203125,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0082,0.7678021192550659,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0182,1.7207105159759521,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0064,1.1340073347091675,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0285,1.9337365627288818,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.049,3.0882344245910645,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0251,1.9110687971115112,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0085,0.953762412071228,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.03,2.815183639526367,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.6982693754201856,0.6982693754201856,89.3895,1.119,0.011,,,,,,
76,3.04,0.0097,2.162583351135254,1.5625e-05,,,,,,,,,,,
77,3.08,0.0094,0.35027068853378296,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0009,0.11167740821838379,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.029,1.388094425201416,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0292,2.1288397312164307,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.0024,0.23088900744915009,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.0117,1.1298279762268066,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.01,1.5919407606124878,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0092,1.734047770500183,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0108,1.0300006866455078,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.006,0.4402332305908203,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0022,0.2728227972984314,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.0036,0.2534661293029785,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.7765567765066688,0.7765567765066688,89.4498,1.118,0.011,,,,,,
89,3.56,0.0135,1.4977834224700928,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0131,0.67576664686203,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0037,0.5576671361923218,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0058,0.6448010206222534,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0009,0.14818109571933746,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0087,0.9419243931770325,1.4375e-05,,,,,,,,,,,
95,3.8,0.0225,4.194286346435547,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0077,8.755216598510742,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0071,1.489424228668213,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0025,0.526502251625061,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.0208,3.8557565212249756,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.0067,0.49947741627693176,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.6590421729306676,0.6590421729306676,10.5753,9.456,0.095,,,,,,
101,4.04,0.0093,0.6913049817085266,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0061,0.521371603012085,1.3819444444444446e-05,,,,,,,,,,,
103,4.12,0.0002,0.02067956142127514,1.375e-05,,,,,,,,,,,
104,4.16,0.0002,0.09118379652500153,1.3680555555555557e-05,,,,,,,,,,,
105,4.2,0.0255,1.5221426486968994,1.3611111111111113e-05,,,,,,,,,,,
106,4.24,0.0081,0.47803226113319397,1.3541666666666668e-05,,,,,,,,,,,
107,4.28,0.0086,0.7046031355857849,1.3472222222222224e-05,,,,,,,,,,,
108,4.32,0.0134,1.5961204767227173,1.3402777777777779e-05,,,,,,,,,,,
109,4.36,0.001,0.13719065487384796,1.3333333333333333e-05,,,,,,,,,,,
110,4.4,0.0033,0.5457966923713684,1.326388888888889e-05,,,,,,,,,,,
111,4.44,0.0232,2.0823943614959717,1.3194444444444446e-05,,,,,,,,,,,
112,4.48,0.0012,0.3052448630332947,1.3125e-05,,,,,,,,,,,
112,4.48,,,,0.7688855646469727,0.7688855646469727,10.7046,9.342,0.093,,,,,,
113,4.52,0.0088,1.250089168548584,1.3055555555555557e-05,,,,,,,,,,,
114,4.56,0.0027,0.30009594559669495,1.2986111111111113e-05,,,,,,,,,,,
115,4.6,0.0013,0.2568317651748657,1.2916666666666668e-05,,,,,,,,,,,
116,4.64,0.0103,0.5427475571632385,1.2847222222222224e-05,,,,,,,,,,,
117,4.68,0.0103,0.47870898246765137,1.2777777777777777e-05,,,,,,,,,,,
118,4.72,0.0032,0.9257616400718689,1.2708333333333333e-05,,,,,,,,,,,
119,4.76,0.001,0.16879138350486755,1.263888888888889e-05,,,,,,,,,,,
120,4.8,0.0064,0.5953288078308105,1.2569444444444446e-05,,,,,,,,,,,
121,4.84,0.0057,2.3102500438690186,1.25e-05,,,,,,,,,,,
122,4.88,0.0038,0.9346560835838318,1.2430555555555557e-05,,,,,,,,,,,
123,4.92,0.0027,0.3723442554473877,1.2361111111111113e-05,,,,,,,,,,,
124,4.96,0.0043,0.4658012390136719,1.2291666666666668e-05,,,,,,,,,,,
125,5.0,0.0215,1.9713704586029053,1.2222222222222224e-05,,,,,,,,,,,
125,5.0,,,,0.7496229260434175,0.7496229260434175,10.4335,9.585,0.096,,,,,,
126,5.04,0.0011,0.23344768583774567,1.2152777777777777e-05,,,,,,,,,,,
127,5.08,0.001,0.13386663794517517,1.2083333333333333e-05,,,,,,,,,,,
128,5.12,0.0023,0.312360554933548,1.201388888888889e-05,,,,,,,,,,,
129,5.16,0.0005,0.04193798825144768,1.1944444444444444e-05,,,,,,,,,,,
130,5.2,0.0035,0.31837594509124756,1.1875e-05,,,,,,,,,,,
131,5.24,0.0006,0.07884468883275986,1.1805555555555557e-05,,,,,,,,,,,
132,5.28,0.0006,0.09993172436952591,1.1736111111111113e-05,,,,,,,,,,,
133,5.32,0.001,0.1094328761100769,1.1666666666666668e-05,,,,,,,,,,,
134,5.36,0.0007,0.10790847986936569,1.1597222222222224e-05,,,,,,,,,,,
135,5.4,0.0038,0.5184042453765869,1.1527777777777777e-05,,,,,,,,,,,
136,5.44,0.004,0.6618159413337708,1.1458333333333333e-05,,,,,,,,,,,
137,5.48,0.0021,1.4413292407989502,1.138888888888889e-05,,,,,,,,,,,
138,5.52,0.0001,0.013672544620931149,1.1319444444444444e-05,,,,,,,,,,,
138,5.52,,,,0.754098360605627,0.754098360605627,10.4294,9.588,0.096,,,,,,
139,5.56,0.0002,0.03133784979581833,1.125e-05,,,,,,,,,,,
140,5.6,0.0023,0.8753608465194702,1.1180555555555557e-05,,,,,,,,,,,
141,5.64,0.0006,0.1057632714509964,1.1111111111111113e-05,,,,,,,,,,,
142,5.68,0.0001,0.01885673962533474,1.1041666666666668e-05,,,,,,,,,,,
143,5.72,0.0032,0.6392895579338074,1.0972222222222224e-05,,,,,,,,,,,
144,5.76,0.0161,1.2201560735702515,1.0902777777777777e-05,,,,,,,,,,,
145,5.8,0.0059,0.8758528232574463,1.0833333333333334e-05,,,,,,,,,,,
146,5.84,0.0059,0.6647294163703918,1.076388888888889e-05,,,,,,,,,,,
147,5.88,0.0024,0.16015256941318512,1.0694444444444444e-05,,,,,,,,,,,
148,5.92,0.0017,0.24697263538837433,1.0625e-05,,,,,,,,,,,
149,5.96,0.0303,2.331179618835449,1.0555555555555557e-05,,,,,,,,,,,
150,6.0,0.0195,3.685333013534546,1.0486111111111112e-05,,,,,,,,,,,
150,6.0,,,,0.7620481927209831,0.7620481927209831,88.9083,1.125,0.011,,,,,,
151,6.04,0.0001,0.006217239424586296,1.0416666666666668e-05,,,,,,,,,,,
152,6.08,0.0151,0.9008357524871826,1.0347222222222224e-05,,,,,,,,,,,
153,6.12,0.0012,0.37673142552375793,1.0277777777777777e-05,,,,,,,,,,,
154,6.16,0.0009,0.6731175184249878,1.0208333333333334e-05,,,,,,,,,,,
155,6.2,0.0002,0.015023045241832733,1.013888888888889e-05,,,,,,,,,,,
156,6.24,0.0016,0.22897157073020935,1.0069444444444445e-05,,,,,,,,,,,
157,6.28,0.0124,1.458308458328247,1e-05,,,,,,,,,,,
158,6.32,0.0014,0.16220638155937195,9.930555555555557e-06,,,,,,,,,,,
159,6.36,0.001,0.48293307423591614,9.861111111111112e-06,,,,,,,,,,,
160,6.4,0.0023,0.3912062644958496,9.791666666666666e-06,,,,,,,,,,,
161,6.44,0.0008,0.07049955427646637,9.722222222222223e-06,,,,,,,,,,,
162,6.48,0.006,1.1003812551498413,9.652777777777779e-06,,,,,,,,,,,
162,6.48,,,,0.73962264145934,0.73962264145934,11.152,8.967,0.09,,,,,,
163,6.52,0.008,1.323610544204712,9.583333333333335e-06,,,,,,,,,,,
164,6.56,0.0003,0.02812446467578411,9.51388888888889e-06,,,,,,,,,,,
165,6.6,0.0029,0.25048020482063293,9.444444444444445e-06,,,,,,,,,,,
166,6.64,0.0003,0.044460397213697433,9.375000000000001e-06,,,,,,,,,,,
167,6.68,0.0011,0.1185290738940239,9.305555555555557e-06,,,,,,,,,,,
168,6.72,0.0002,0.02242373675107956,9.236111111111112e-06,,,,,,,,,,,
169,6.76,0.0003,0.02994191087782383,9.166666666666666e-06,,,,,,,,,,,
170,6.8,0.0054,0.6959628462791443,9.097222222222223e-06,,,,,,,,,,,
171,6.84,0.0004,0.07098110765218735,9.027777777777779e-06,,,,,,,,,,,
172,6.88,0.0016,0.361598938703537,8.958333333333334e-06,,,,,,,,,,,
173,6.92,0.0002,0.04680691286921501,8.888888888888888e-06,,,,,,,,,,,
174,6.96,0.0001,0.012279637157917023,8.819444444444445e-06,,,,,,,,,,,
175,7.0,0.0022,0.28455060720443726,8.750000000000001e-06,,,,,,,,,,,
175,7.0,,,,0.7529585798315456,0.7529585798315456,10.4488,9.57,0.096,,,,,,
176,7.04,0.0003,0.034201398491859436,8.680555555555557e-06,,,,,,,,,,,
177,7.08,0.0063,0.8760946989059448,8.611111111111112e-06,,,,,,,,,,,
178,7.12,0.0001,0.011250248178839684,8.541666666666666e-06,,,,,,,,,,,
179,7.16,0.0001,0.005431571509689093,8.472222222222223e-06,,,,,,,,,,,
180,7.2,0.0062,0.7988042235374451,8.402777777777779e-06,,,,,,,,,,,
181,7.24,0.0001,0.03242942690849304,8.333333333333334e-06,,,,,,,,,,,
182,7.28,0.0004,0.06864352524280548,8.263888888888888e-06,,,,,,,,,,,
183,7.32,0.0001,0.02399052120745182,8.194444444444445e-06,,,,,,,,,,,
184,7.36,0.0001,0.0054419273510575294,8.125000000000001e-06,,,,,,,,,,,
185,7.4,0.0003,0.10376624763011932,8.055555555555557e-06,,,,,,,,,,,
186,7.44,0.0,0.0037320656701922417,7.986111111111112e-06,,,,,,,,,,,
187,7.48,0.0118,1.3901549577713013,7.916666666666667e-06,,,,,,,,,,,
188,7.52,0.0002,0.04901007190346718,7.847222222222223e-06,,,,,,,,,,,
188,7.52,,,,0.7743362831357273,0.7743362831357273,10.427,9.59,0.096,,,,,,
189,7.56,0.0001,0.01837848126888275,7.77777777777778e-06,,,,,,,,,,,
190,7.6,0.0002,0.025631099939346313,7.708333333333334e-06,,,,,,,,,,,
191,7.64,0.0,0.0022656270302832127,7.638888888888888e-06,,,,,,,,,,,
192,7.68,0.0158,2.457045793533325,7.569444444444445e-06,,,,,,,,,,,
193,7.72,0.0001,0.0070731923915445805,7.500000000000001e-06,,,,,,,,,,,
194,7.76,0.0004,0.0893731340765953,7.4305555555555565e-06,,,,,,,,,,,
195,7.8,0.0002,0.030994247645139694,7.361111111111112e-06,,,,,,,,,,,
196,7.84,0.0001,0.018250735476613045,7.291666666666667e-06,,,,,,,,,,,
197,7.88,0.0001,0.016858529299497604,7.222222222222223e-06,,,,,,,,,,,
198,7.92,0.0002,0.02229912579059601,7.152777777777778e-06,,,,,,,,,,,
199,7.96,0.0001,0.02458316460251808,7.083333333333335e-06,,,,,,,,,,,
200,8.0,0.0017,0.1761983186006546,7.013888888888889e-06,,,,,,,,,,,
200,8.0,,,,0.7799113736574184,0.7799113736574184,89.3604,1.119,0.011,,,,,,
201,8.04,0.0001,0.010414538905024529,6.944444444444445e-06,,,,,,,,,,,
202,8.08,0.0001,0.011957192793488503,6.875e-06,,,,,,,,,,,
203,8.12,0.0,0.00495878467336297,6.8055555555555566e-06,,,,,,,,,,,
204,8.16,0.0007,0.08879376202821732,6.736111111111112e-06,,,,,,,,,,,
205,8.2,0.0001,0.014922483824193478,6.666666666666667e-06,,,,,,,,,,,
206,8.24,0.0001,0.008922817185521126,6.597222222222223e-06,,,,,,,,,,,
207,8.28,0.0135,0.5557538866996765,6.5277777777777784e-06,,,,,,,,,,,
208,8.32,0.0,0.0018892104271799326,6.458333333333334e-06,,,,,,,,,,,
209,8.36,0.0002,0.036573752760887146,6.3888888888888885e-06,,,,,,,,,,,
210,8.4,0.0001,0.0055781397968530655,6.319444444444445e-06,,,,,,,,,,,
211,8.44,0.0,0.0040880730375647545,6.25e-06,,,,,,,,,,,
212,8.48,0.0,0.0030873892828822136,6.180555555555557e-06,,,,,,,,,,,
212,8.48,,,,0.7693441414384656,0.7693441414384656,89.3363,1.119,0.011,,,,,,
213,8.52,0.0003,0.03867895528674126,6.111111111111112e-06,,,,,,,,,,,
214,8.56,0.0018,0.18373413383960724,6.041666666666667e-06,,,,,,,,,,,
215,8.6,0.0002,0.031282536685466766,5.972222222222222e-06,,,,,,,,,,,
216,8.64,0.0009,0.5896762013435364,5.9027777777777785e-06,,,,,,,,,,,
217,8.68,0.0006,0.12056925892829895,5.833333333333334e-06,,,,,,,,,,,
218,8.72,0.0002,0.04463542252779007,5.7638888888888886e-06,,,,,,,,,,,
219,8.76,0.0001,0.022176727652549744,5.694444444444445e-06,,,,,,,,,,,
220,8.8,0.0002,0.0483335517346859,5.625e-06,,,,,,,,,,,
221,8.84,0.0001,0.012881829403340816,5.555555555555557e-06,,,,,,,,,,,
222,8.88,0.0002,0.01226671040058136,5.486111111111112e-06,,,,,,,,,,,
223,8.92,0.0001,0.005334997083991766,5.416666666666667e-06,,,,,,,,,,,
224,8.96,0.0001,0.025903483852744102,5.347222222222222e-06,,,,,,,,,,,
225,9.0,0.0001,0.013409529812633991,5.2777777777777785e-06,,,,,,,,,,,
225,9.0,,,,0.7595870205988565,0.7595870205988565,89.448,1.118,0.011,,,,,,
226,9.04,0.0,0.004390595015138388,5.208333333333334e-06,,,,,,,,,,,
227,9.08,0.0,0.00236579030752182,5.138888888888889e-06,,,,,,,,,,,
228,9.12,0.0004,0.05913224443793297,5.069444444444445e-06,,,,,,,,,,,
229,9.16,0.0,0.005688512232154608,5e-06,,,,,,,,,,,
230,9.2,0.0001,0.011467624455690384,4.930555555555556e-06,,,,,,,,,,,
231,9.24,0.0001,0.013811266049742699,4.861111111111111e-06,,,,,,,,,,,
232,9.28,0.0,0.002416855888441205,4.791666666666668e-06,,,,,,,,,,,
233,9.32,0.0002,0.015064511448144913,4.722222222222222e-06,,,,,,,,,,,
