step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.7644,47.113990783691406,0.0,,,,,,,,,,,
2,0.04,0.8474,63.74333190917969,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.82,53.24989318847656,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.6103,38.25719451904297,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.2286,22.047119140625,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.1203,13.203781127929688,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.0746,7.756444454193115,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.1244,18.703296661376953,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.0874,9.294598579406738,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.1677,12.23580551147461,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1341,11.15728759765625,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1034,6.64738130569458,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.0963,11.818803787231445,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.0616,6.5760931968688965,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1282,17.543651580810547,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1296,31.97587013244629,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.1667,15.88654613494873,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.1334,11.186463356018066,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0617,3.620777130126953,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0359,4.159579753875732,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0944,5.139381408691406,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0863,6.192564964294434,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0683,3.699223756790161,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0612,4.069331645965576,2e-05,,,,,,,,,,,
25,0.5,0.0826,3.4659035205841064,2e-05,,,,,,,,,,,
25,0.5,,,,0.5846501128167282,0.5846501128167282,16.0745,6.221,0.062,,,,,,
26,0.52,0.0376,3.980504274368286,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.1377,6.823399066925049,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0365,6.541441917419434,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.028,6.1081156730651855,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0259,2.678276777267456,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.1581,11.043086051940918,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0268,3.1378607749938965,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0762,11.344169616699219,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0294,4.33555269241333,1.96875e-05,,,,,,,,,,,
35,0.7,0.1294,8.508315086364746,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0843,10.217132568359375,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.1052,5.973431587219238,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.1258,9.274893760681152,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0834,4.66666841506958,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0779,4.844583511352539,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0284,4.187563896179199,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.1027,7.671200752258301,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.057,3.6816723346710205,1.9375e-05,,,,,,,,,,,
44,0.88,0.0783,3.361579179763794,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.1174,6.095478057861328,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0519,4.22117280960083,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0259,2.776923656463623,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0139,2.267117738723755,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0753,7.370908737182617,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0726,6.670180797576904,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.6461187214110564,0.6461187214110564,15.9726,6.261,0.063,,,,,,
51,1.02,0.0352,3.419614315032959,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0583,2.8825204372406006,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0408,19.454212188720703,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0426,7.44088077545166,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0119,1.3285343647003174,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0243,2.0287365913391113,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.1173,26.36386489868164,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0335,4.234103202819824,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0977,6.6948065757751465,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.084,4.029123306274414,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.1152,5.780263900756836,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0909,7.595496654510498,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0303,1.8613746166229248,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0604,6.494594097137451,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0312,3.580359697341919,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.102,4.730079174041748,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.0363,2.6342639923095703,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0463,1.6353275775909424,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0603,21.267133712768555,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0389,7.473663330078125,1.84375e-05,,,,,,,,,,,
71,1.42,0.0701,3.4950804710388184,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0575,2.5108370780944824,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0606,4.523195266723633,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0205,2.6601405143737793,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.03,3.167224407196045,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.5146496814789876,0.5146496814789876,16.0135,6.245,0.062,,,,,,
76,1.52,0.0392,3.845329761505127,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0465,4.551157474517822,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0352,7.412343502044678,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0593,2.753624200820923,1.8125e-05,,,,,,,,,,,
80,1.6,0.097,4.385728359222412,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0315,2.8964157104492188,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0127,2.1103479862213135,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0369,3.8671376705169678,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0525,3.782957077026367,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0638,3.786088466644287,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0435,3.3272643089294434,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.018,2.271421194076538,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.03,1.9032117128372192,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0903,6.999075889587402,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0404,2.1196227073669434,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0417,3.006075859069824,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0583,3.370474100112915,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0103,2.222790241241455,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0299,1.6187682151794434,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0288,1.5191049575805664,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0152,3.5060434341430664,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0067,1.5371832847595215,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0347,1.0116442441940308,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0423,2.969446897506714,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0149,1.5145519971847534,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.7030162412491412,0.7030162412491412,12.7329,7.854,0.079,,,,,,
101,2.02,0.0106,2.4380013942718506,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.0207,4.1982622146606445,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.0449,4.19450569152832,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0165,1.357469916343689,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.032,5.082678318023682,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0056,0.7716245651245117,1.71875e-05,,,,,,,,,,,
107,2.14,0.0376,8.348309516906738,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0111,3.428598642349243,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0202,1.4584158658981323,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0604,5.899840831756592,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.012,1.2719191312789917,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0704,4.212497711181641,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.0183,9.051421165466309,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0057,4.627518177032471,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.0595,7.339715480804443,1.6875e-05,,,,,,,,,,,
116,2.32,0.0033,0.5126214623451233,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.0477,4.635692596435547,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.0061,1.1548044681549072,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.1385,10.709768295288086,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0283,4.204019546508789,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.0186,1.7550266981124878,1.6666666666666667e-05,,,,,,,,,,,
122,2.44,0.0605,3.3914098739624023,1.6631944444444445e-05,,,,,,,,,,,
