step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.8955,7.98216438293457,0.0,,,,,,,,,,,
2,0.04,1.0615,6.844420433044434,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1084,6.581180572509766,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.0293,7.468198776245117,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6865,5.34183406829834,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.7422,5.146925449371338,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.7466,5.748030185699463,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.7407,5.012157440185547,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.8525,5.50135612487793,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.7812,5.550959587097168,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.6206,4.524473190307617,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.5986,4.43302583694458,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.5244,3.650139570236206,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.5811,4.196223735809326,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.4868,2.6416852474212646,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.6357,3.8415915966033936,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.3467,9.655139923095703,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.4043,2.9506304264068604,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.2617,2.1041526794433594,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.3267,2.942723035812378,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.4165,2.9704647064208984,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.28,2.717129707336426,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.2864,2.177781581878662,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.3262,2.7290046215057373,2e-05,,,,,,,,,,,
25,0.5,0.238,1.640941858291626,2e-05,,,,,,,,,,,
25,0.5,,,,0.06227106223757597,0.06227106223757597,25.8979,3.861,0.039,,,,,,
26,0.52,0.2504,1.639615774154663,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.2114,1.8173130750656128,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.2607,2.0317928791046143,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.1895,2.844609498977661,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.1663,1.4855014085769653,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.2437,2.2334816455841064,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.2056,1.9971827268600464,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.2158,1.990462303161621,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.1815,1.3307533264160156,1.96875e-05,,,,,,,,,,,
35,0.7,0.1815,1.2791450023651123,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.1786,1.6084177494049072,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.2327,1.572428822517395,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.1809,1.2877975702285767,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.198,1.3457615375518799,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.111,1.7355341911315918,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.2196,2.4008195400238037,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.2335,1.6803975105285645,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.1282,1.2514017820358276,1.9375e-05,,,,,,,,,,,
44,0.88,0.1233,1.225238561630249,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0942,0.9139283895492554,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.1647,1.2382944822311401,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.123,1.1658298969268799,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0842,0.9206417202949524,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.109,1.3754034042358398,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.1139,1.3758336305618286,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.4705882352441478,0.4705882352441478,17.0667,5.859,0.059,,,,,,
51,1.02,0.0959,1.092100977897644,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0849,0.9838317632675171,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.1676,1.6483075618743896,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0939,0.8791307210922241,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0883,1.173915147781372,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.1016,1.0458672046661377,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0958,0.8718621730804443,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0873,1.014920711517334,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.1375,1.0246360301971436,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.133,1.2964649200439453,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0946,1.1573419570922852,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.152,2.167933225631714,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.1099,1.0398545265197754,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0636,0.7377632260322571,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0725,1.0012452602386475,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0951,1.0035042762756348,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.1445,1.4389586448669434,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0939,1.1224180459976196,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.1577,1.336151123046875,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.1161,1.238735318183899,1.84375e-05,,,,,,,,,,,
71,1.42,0.0818,0.8507824540138245,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0969,2.1234679222106934,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0835,1.0011062622070312,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0577,1.288206934928894,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0779,0.9240918755531311,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.5360094450502394,0.5360094450502394,17.0807,5.855,0.059,,,,,,
76,1.52,0.058,0.6128575801849365,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0938,0.965505063533783,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.1017,1.1545594930648804,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.1065,1.2581255435943604,1.8125e-05,,,,,,,,,,,
80,1.6,0.093,1.06241774559021,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.1123,0.9334695935249329,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0547,0.7510271072387695,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0745,0.8551425933837891,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.144,1.646550178527832,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.1154,1.6191970109939575,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0856,0.9858890771865845,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0563,0.9785671830177307,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0949,1.339019775390625,1.7812500000000003e-05,,,,,,,,,,,
