step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.7481,47.497657775878906,0.0,,,,,,,,,,,
2,0.007,2.0613,57.1425895690918,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.8215,49.01683044433594,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.8691,49.552101135253906,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.4437,34.96668243408203,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.9951,28.936180114746094,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.5956,25.85763931274414,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.414,12.093268394470215,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.3007,13.346426010131836,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.2395,11.168808937072754,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.1869,12.931502342224121,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.2654,26.916675567626953,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.118,9.931581497192383,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.2024,16.76479721069336,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.1992,12.552255630493164,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.1353,9.239813804626465,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1781,13.291752815246582,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0911,5.613638401031494,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.1183,6.54910945892334,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.112,5.290368556976318,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.1019,6.566446781158447,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0859,5.288304805755615,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0925,9.604546546936035,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0531,4.42828893661499,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.054,2.803746461868286,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0611,3.771942138671875,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0426,2.794630527496338,1.3208621932840304e-05,,,,,,,,,,,
