step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.5241,26.847393035888672,0.0,,,,,,,,,,,
2,0.08,0.4371,20.478139877319336,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.3855,21.294275283813477,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.2121,11.529318809509277,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.3483,37.165157318115234,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.2296,27.60991668701172,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4387,34.723297119140625,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1247,9.112161636352539,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0603,9.678853988647461,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.0946,13.608725547790527,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1879,24.394264221191406,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1649,15.044957160949707,2e-05,,,,,,,,,,,
12,0.48,,,,0.5141955835463424,0.5141955835463424,16.6735,5.998,0.06,,,,,,
13,0.52,0.0994,9.666239738464355,2e-05,,,,,,,,,,,
14,0.56,0.1428,8.182306289672852,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.107,10.310522079467773,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0608,6.229742050170898,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.074,5.161858081817627,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1028,6.890631675720215,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1466,14.627800941467285,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0746,8.826896667480469,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0821,9.665811538696289,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1677,13.305837631225586,1.9375e-05,,,,,,,,,,,
23,0.92,0.0788,12.55887508392334,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0879,19.503873825073242,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0521,6.036710262298584,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.4528899445265709,0.4528899445265709,16.545,6.044,0.06,,,,,,
26,1.04,0.0748,4.2600555419921875,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0435,4.177804470062256,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0198,3.2497975826263428,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0357,4.075173377990723,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.1311,13.374178886413574,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0777,7.152650356292725,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0873,10.704521179199219,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0443,3.6049306392669678,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0716,7.415421485900879,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0269,5.638310432434082,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.025,3.8296704292297363,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0447,3.5711171627044678,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0596,6.283473968505859,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.625730994101964,0.625730994101964,12.612,7.929,0.079,,,,,,
39,1.56,0.0301,7.931367874145508,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0174,1.180769443511963,1.8125e-05,,,,,,,,,,,
41,1.64,0.0489,2.4781229496002197,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.095,7.912323474884033,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0717,7.958399295806885,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0586,4.103241920471191,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0445,3.919731855392456,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0703,6.178528308868408,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0965,9.201688766479492,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0834,4.591987609863281,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0718,3.2492175102233887,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0449,8.220953941345215,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.5342465752935883,0.5342465752935883,16.5479,6.043,0.06,,,,,,
51,2.04,0.0472,6.248265743255615,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0361,4.913605690002441,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0091,1.3196271657943726,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0345,5.247455596923828,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0181,4.249062538146973,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0587,6.980330944061279,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.048,10.209686279296875,1.6944444444444446e-05,,,,,,,,,,,
