step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,0.5469,28.096561431884766,0.0,,,,,,,,,,,
2,0.007,0.604,30.866186141967773,2.777904193701827e-06,,,,,,,,,,,
3,0.01,0.5758,31.499835968017578,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,0.529,27.01411247253418,5.555808387403654e-06,,,,,,,,,,,
5,0.016,0.2684,10.178746223449707,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.209,10.372380256652832,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.205,10.770709991455078,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.1312,6.080046653747559,8.33371258110548e-06,,,,,,,,,,,
9,0.03,0.1284,8.83871078491211,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.0869,6.46718692779541,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.1062,9.37894344329834,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.1626,8.083077430725098,9.958682365017088e-06,,,,,,,,,,,
13,0.043,0.056,5.835324287414551,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.069,4.031859397888184,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.0942,5.535279273986816,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.0861,4.1860151290893555,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.0827,2.241591215133667,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0463,2.309696912765503,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.0837,3.2452921867370605,1.1800335654136308e-05,,,,,,,,,,,
20,0.066,0.0427,2.561920404434204,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0615,2.815330743789673,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0446,4.185800075531006,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0838,6.2206244468688965,1.2566021728200815e-05,,,,,,,,,,,
24,0.079,0.0363,2.1253199577331543,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.048,1.87774658203125,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0616,6.0487775802612305,1.3057371205266773e-05,,,,,,,,,,,
27,0.089,0.0448,2.572131872177124,1.3208621932840304e-05,,,,,,,,,,,
