step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.1729,22.851112365722656,0.0,,,,,,,,,,,
2,0.08,1.0381,20.35186767578125,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.9912,19.630983352661133,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.8857,16.429935455322266,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.8008,14.026165962219238,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.6836,22.02620506286621,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4644,14.05280590057373,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3828,9.673917770385742,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2244,6.759940147399902,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2061,6.985936164855957,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1882,6.683556079864502,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1334,3.6958682537078857,2e-05,,,,,,,,,,,
12,0.48,,,,0.1338912133399401,0.1338912133399401,9.3634,10.68,0.107,,,,,,
13,0.52,0.2097,6.8504228591918945,2e-05,,,,,,,,,,,
14,0.56,0.2125,5.3811492919921875,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.12,3.888751983642578,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0793,3.764303684234619,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.083,2.5410358905792236,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1044,2.4708166122436523,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1268,3.464481830596924,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.082,2.0780885219573975,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.095,2.311734199523926,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0865,2.2783803939819336,1.9375e-05,,,,,,,,,,,
23,0.92,0.0713,2.5943408012390137,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0684,2.6435024738311768,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.062,2.048603057861328,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.4251497005487442,0.4251497005487442,7.8174,12.792,0.128,,,,,,
26,1.04,0.0676,1.9973149299621582,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0585,1.7713998556137085,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0393,2.197650194168091,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.1278,3.728940963745117,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.1172,2.6507303714752197,1.8819444444444447e-05,,,,,,,,,,,
