step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.8477,30.78345489501953,0.0,,,,,,,,,,,
2,0.008,1.8867,30.002696990966797,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,1.9414,30.03350067138672,4.62224232422701e-06,,,,,,,,,,,
4,0.017,1.9277,31.95395278930664,5.832620421144215e-06,,,,,,,,,,,
5,0.021,1.7344,27.844097137451172,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,1.1641,15.537396430969238,7.538552534799117e-06,,,,,,,,,,,
7,0.029,0.7607,16.11281394958496,8.187117823896454e-06,,,,,,,,,,,
8,0.033,0.5552,10.794333457946777,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.5449,30.450729370117188,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.3169,7.286220073699951,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.2622,4.779705047607422,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.2727,5.56318473815918,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.176,2.8989877700805664,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.1653,3.5085999965667725,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.1797,3.9994618892669678,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.1279,4.80357027053833,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.1338,5.006469249725342,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.139,4.476748466491699,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.1204,6.014131546020508,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.1064,3.678469657897949,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.1123,2.731705904006958,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.1079,4.667552947998047,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.1102,3.538975954055786,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.0748,1.8711357116699219,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.0997,3.7934341430664062,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.0907,2.926367998123169,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.0606,1.202893614768982,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.0712,1.883514642715454,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.0513,1.1173118352890015,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.0701,1.927323579788208,1.4310015146133373e-05,,,,,,,,,,,
31,0.129,0.0839,1.5053550004959106,1.4447973285159907e-05,,,,,,,,,,,
32,0.133,0.058,1.6744266748428345,1.4581551052860538e-05,,,,,,,,,,,
33,0.138,0.0894,2.292983055114746,1.4711018076434953e-05,,,,,,,,,,,
34,0.142,0.0569,1.0324385166168213,1.4836619829844551e-05,,,,,,,,,,,
35,0.146,0.0538,1.4010460376739502,1.495858043523071e-05,,,,,,,,,,,
36,0.15,0.0558,1.9333534240722656,1.5077105069598234e-05,,,,,,,,,,,
37,0.154,0.0656,1.286997675895691,1.5192382041682938e-05,,,,,,,,,,,
38,0.158,0.0499,1.1154963970184326,1.530458459179782e-05,,,,,,,,,,,
39,0.163,0.0618,1.6382460594177246,1.541387245784845e-05,,,,,,,,,,,
40,0.167,0.0609,1.35304594039917,1.552039324305058e-05,,,,,,,,,,,
41,0.171,0.0878,2.523226737976074,1.5624283614738782e-05,,,,,,,,,,,
42,0.175,0.0804,2.634465217590332,1.5725670358695572e-05,,,,,,,,,,,
43,0.179,0.0627,1.5088452100753784,1.582467130940528e-05,,,,,,,,,,,
44,0.183,0.0616,1.8504749536514282,1.592139617335216e-05,,,,,,,,,,,
45,0.188,0.0662,1.864965796470642,1.6015947259788277e-05,,,,,,,,,,,
46,0.192,0.0685,2.290644884109497,1.610842013117671e-05,,,,,,,,,,,
47,0.196,0.0444,0.92206871509552,1.619890418367749e-05,,,,,,,,,,,
48,0.2,0.0576,1.4673508405685425,1.6287483166515442e-05,,,,,,,,,,,
