step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.3691,25.023141860961914,0.0,,,,,,,,,,,
2,0.08,1.5488,29.99825096130371,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.5078,28.68130111694336,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.1777,27.387924194335938,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.832,21.87858772277832,1.295370924755994e-05,,,,,,,,,,,
6,0.24,1.3057,5202.80810546875,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,1.6738,152.36917114257812,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.6772,21.85639762878418,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.3843,8.142195701599121,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.4341,8.9798583984375,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2805,8.513252258300781,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.3425,9.23511791229248,2e-05,,,,,,,,,,,
12,0.48,,,,0.036330608492370825,0.036330608492370825,9.5751,10.444,0.104,,,,,,
13,0.52,0.1838,5.74302864074707,2e-05,,,,,,,,,,,
14,0.56,0.1602,3.9583425521850586,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1467,4.601394176483154,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1233,4.439844608306885,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1229,5.527713298797607,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1399,3.7542037963867188,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1306,4.366846084594727,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1125,4.041801452636719,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0979,4.371514797210693,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0782,2.3381552696228027,1.9375e-05,,,,,,,,,,,
23,0.92,0.0663,3.355015754699707,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1262,4.224505424499512,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0924,4.341146945953369,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.2613430126615512,0.2613430126615512,7.7751,12.862,0.129,,,,,,
26,1.04,0.0674,2.1295664310455322,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0859,2.4213385581970215,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.073,3.794137954711914,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0538,3.582958459854126,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0663,3.9342784881591797,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0714,2.5660648345947266,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0666,2.2242674827575684,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0668,1.6885662078857422,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0499,3.0954830646514893,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0865,3.5046355724334717,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.075,2.1733524799346924,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0913,5.939919948577881,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0444,2.1858441829681396,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.4818181817692773,0.4818181817692773,8.1154,12.322,0.123,,,,,,
39,1.56,0.0758,3.004244089126587,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0674,1.6495918035507202,1.8125e-05,,,,,,,,,,,
41,1.64,0.0558,1.696403980255127,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0238,1.016553282737732,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0566,4.215527057647705,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0557,1.4701675176620483,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0309,1.4919060468673706,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0471,1.63228440284729,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.029,1.2535077333450317,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.034,2.1727640628814697,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0514,2.182142972946167,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.027,1.065418004989624,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.506122448929532,0.506122448929532,6.634,15.074,0.151,,,,,,
51,2.04,0.0393,1.4805189371109009,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.007,0.46200332045555115,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0049,0.37969839572906494,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0279,1.6738735437393188,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.121,3.643880844116211,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0635,2.933612823486328,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0361,1.5252515077590942,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0126,0.698977530002594,1.6875e-05,,,,,,,,,,,
59,2.36,0.0123,1.2384217977523804,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0575,3.0304861068725586,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0139,0.9189823865890503,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0486,1.3146806955337524,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.5542168674200622,0.5542168674200622,7.9392,12.596,0.126,,,,,,
63,2.52,0.0411,2.0415890216827393,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0261,1.391175627708435,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.019,1.467279076576233,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0403,2.105177879333496,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0411,1.0934866666793823,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0638,1.9800585508346558,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0114,1.4174290895462036,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0325,1.4000619649887085,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0522,1.928156852722168,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0208,1.4037113189697266,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0135,0.8880167603492737,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.033,1.019410252571106,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0372,1.419805645942688,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.5871313672420969,0.5871313672420969,7.5617,13.225,0.132,,,,,,
76,3.04,0.0077,0.6510611772537231,1.5625e-05,,,,,,,,,,,
77,3.08,0.0023,0.21336673200130463,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0099,0.9588265419006348,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0132,0.7448530197143555,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0024,0.24974998831748962,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.049,2.0111584663391113,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.0291,6.237506866455078,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0151,1.462833046913147,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.008,0.8834478855133057,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0169,1.6910531520843506,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0095,1.155352234840393,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0071,0.2972915470600128,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.001,0.1424778699874878,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.5914718018756889,0.5914718018756889,7.6732,13.032,0.13,,,,,,
89,3.56,0.0211,1.7425537109375,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0165,0.9558292627334595,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0088,1.4639782905578613,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0092,1.7894197702407837,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0066,0.5445976853370667,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0102,0.7514280676841736,1.4375e-05,,,,,,,,,,,
95,3.8,0.0099,0.9270078539848328,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.025,0.7665562033653259,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0186,1.36365807056427,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0053,0.4653855860233307,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.0105,1.0688623189926147,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.025,1.3766846656799316,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.6187845303367221,0.6187845303367221,7.7997,12.821,0.128,,,,,,
101,4.04,0.0149,1.2013633251190186,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0022,0.5578926801681519,1.3819444444444446e-05,,,,,,,,,,,
103,4.12,0.007,1.7358410358428955,1.375e-05,,,,,,,,,,,
104,4.16,0.0106,0.8541670441627502,1.3680555555555557e-05,,,,,,,,,,,
105,4.2,0.0283,1.5362865924835205,1.3611111111111113e-05,,,,,,,,,,,
106,4.24,0.001,0.11006690561771393,1.3541666666666668e-05,,,,,,,,,,,
107,4.28,0.0227,1.140995740890503,1.3472222222222224e-05,,,,,,,,,,,
108,4.32,0.002,0.22936363518238068,1.3402777777777779e-05,,,,,,,,,,,
109,4.36,0.0122,0.7266283631324768,1.3333333333333333e-05,,,,,,,,,,,
110,4.4,0.0009,0.09707282483577728,1.326388888888889e-05,,,,,,,,,,,
111,4.44,0.0247,0.9823310375213623,1.3194444444444446e-05,,,,,,,,,,,
112,4.48,0.013,1.1661964654922485,1.3125e-05,,,,,,,,,,,
112,4.48,,,,0.6057571964455638,0.6057571964455638,7.5298,13.281,0.133,,,,,,
113,4.52,0.0375,1.984620451927185,1.3055555555555557e-05,,,,,,,,,,,
114,4.56,0.0011,0.10445226728916168,1.2986111111111113e-05,,,,,,,,,,,
115,4.6,0.0009,0.0902157574892044,1.2916666666666668e-05,,,,,,,,,,,
116,4.64,0.0103,1.2167943716049194,1.2847222222222224e-05,,,,,,,,,,,
117,4.68,0.0083,0.9022244811058044,1.2777777777777777e-05,,,,,,,,,,,
118,4.72,0.005,0.48607492446899414,1.2708333333333333e-05,,,,,,,,,,,
119,4.76,0.0011,0.12344525754451752,1.263888888888889e-05,,,,,,,,,,,
120,4.8,0.0108,1.7323590517044067,1.2569444444444446e-05,,,,,,,,,,,
121,4.84,0.0094,1.299500584602356,1.25e-05,,,,,,,,,,,
122,4.88,0.0158,1.7011799812316895,1.2430555555555557e-05,,,,,,,,,,,
123,4.92,0.0009,0.12206132709980011,1.2361111111111113e-05,,,,,,,,,,,
124,4.96,0.0034,0.5898463129997253,1.2291666666666668e-05,,,,,,,,,,,
125,5.0,0.0013,0.44007381796836853,1.2222222222222224e-05,,,,,,,,,,,
125,5.0,,,,0.5797468353929454,0.5797468353929454,7.1299,14.025,0.14,,,,,,
126,5.04,0.0006,0.04753139615058899,1.2152777777777777e-05,,,,,,,,,,,
127,5.08,0.0014,0.17752182483673096,1.2083333333333333e-05,,,,,,,,,,,
128,5.12,0.0025,0.3978064954280853,1.201388888888889e-05,,,,,,,,,,,
129,5.16,0.0015,0.20523901283740997,1.1944444444444444e-05,,,,,,,,,,,
130,5.2,0.0028,0.503156304359436,1.1875e-05,,,,,,,,,,,
131,5.24,0.0276,2.9055912494659424,1.1805555555555557e-05,,,,,,,,,,,
132,5.28,0.0009,0.19675104320049286,1.1736111111111113e-05,,,,,,,,,,,
133,5.32,0.0017,0.3906402885913849,1.1666666666666668e-05,,,,,,,,,,,
134,5.36,0.0192,2.7087595462799072,1.1597222222222224e-05,,,,,,,,,,,
135,5.4,0.002,0.582033097743988,1.1527777777777777e-05,,,,,,,,,,,
136,5.44,0.0135,1.5559691190719604,1.1458333333333333e-05,,,,,,,,,,,
137,5.48,0.0001,0.02079552225768566,1.138888888888889e-05,,,,,,,,,,,
138,5.52,0.0066,0.460947185754776,1.1319444444444444e-05,,,,,,,,,,,
138,5.52,,,,0.5548549810344163,0.5548549810344163,7.1193,14.046,0.14,,,,,,
139,5.56,0.001,0.5281995534896851,1.125e-05,,,,,,,,,,,
140,5.6,0.0054,1.4273232221603394,1.1180555555555557e-05,,,,,,,,,,,
141,5.64,0.0132,3.372870683670044,1.1111111111111113e-05,,,,,,,,,,,
142,5.68,0.0107,1.012163758277893,1.1041666666666668e-05,,,,,,,,,,,
143,5.72,0.0012,0.23162226378917694,1.0972222222222224e-05,,,,,,,,,,,
144,5.76,0.0055,1.208146572113037,1.0902777777777777e-05,,,,,,,,,,,
145,5.8,0.0005,0.1350829154253006,1.0833333333333334e-05,,,,,,,,,,,
146,5.84,0.0016,0.573701024055481,1.076388888888889e-05,,,,,,,,,,,
147,5.88,0.0002,0.028571855276823044,1.0694444444444444e-05,,,,,,,,,,,
148,5.92,0.0031,0.4956921339035034,1.0625e-05,,,,,,,,,,,
149,5.96,0.0137,0.7493616938591003,1.0555555555555557e-05,,,,,,,,,,,
150,6.0,0.0059,1.0578153133392334,1.0486111111111112e-05,,,,,,,,,,,
150,6.0,,,,0.5506072873992923,0.5506072873992923,6.6601,15.015,0.15,,,,,,
151,6.04,0.0009,0.13901466131210327,1.0416666666666668e-05,,,,,,,,,,,
152,6.08,0.0001,0.010699685662984848,1.0347222222222224e-05,,,,,,,,,,,
153,6.12,0.0003,0.0323447585105896,1.0277777777777777e-05,,,,,,,,,,,
154,6.16,0.0008,0.2208694964647293,1.0208333333333334e-05,,,,,,,,,,,
155,6.2,0.0451,3.525531530380249,1.013888888888889e-05,,,,,,,,,,,
156,6.24,0.0029,0.305892676115036,1.0069444444444445e-05,,,,,,,,,,,
157,6.28,0.0015,0.5212048888206482,1e-05,,,,,,,,,,,
158,6.32,0.0002,0.019786780700087547,9.930555555555557e-06,,,,,,,,,,,
159,6.36,0.0004,0.10871438682079315,9.861111111111112e-06,,,,,,,,,,,
160,6.4,0.0002,0.022194039076566696,9.791666666666666e-06,,,,,,,,,,,
161,6.44,0.0002,0.01919272541999817,9.722222222222223e-06,,,,,,,,,,,
162,6.48,0.018,0.750148594379425,9.652777777777779e-06,,,,,,,,,,,
162,6.48,,,,0.6213836477486618,0.6213836477486618,6.7049,14.915,0.149,,,,,,
163,6.52,0.0009,0.19982363283634186,9.583333333333335e-06,,,,,,,,,,,
164,6.56,0.0018,0.4190773367881775,9.51388888888889e-06,,,,,,,,,,,
165,6.6,0.0003,0.05572126433253288,9.444444444444445e-06,,,,,,,,,,,
166,6.64,0.001,0.7753866910934448,9.375000000000001e-06,,,,,,,,,,,
167,6.68,0.0007,0.11912982910871506,9.305555555555557e-06,,,,,,,,,,,
168,6.72,0.0004,0.06135193258523941,9.236111111111112e-06,,,,,,,,,,,
169,6.76,0.0006,0.15108145773410797,9.166666666666666e-06,,,,,,,,,,,
170,6.8,0.0004,0.07234472036361694,9.097222222222223e-06,,,,,,,,,,,
171,6.84,0.0073,1.1716015338897705,9.027777777777779e-06,,,,,,,,,,,
172,6.88,0.0022,0.5022918581962585,8.958333333333334e-06,,,,,,,,,,,
173,6.92,0.0003,0.044064391404390335,8.888888888888888e-06,,,,,,,,,,,
174,6.96,0.0003,0.026977108791470528,8.819444444444445e-06,,,,,,,,,,,
175,7.0,0.0041,0.41084107756614685,8.750000000000001e-06,,,,,,,,,,,
175,7.0,,,,0.6242038216059277,0.6242038216059277,6.7581,14.797,0.148,,,,,,
176,7.04,0.0001,0.013928484171628952,8.680555555555557e-06,,,,,,,,,,,
177,7.08,0.0003,0.06847406178712845,8.611111111111112e-06,,,,,,,,,,,
178,7.12,0.0001,0.007607084698975086,8.541666666666666e-06,,,,,,,,,,,
179,7.16,0.0001,0.006466507911682129,8.472222222222223e-06,,,,,,,,,,,
180,7.2,0.0023,0.4159344434738159,8.402777777777779e-06,,,,,,,,,,,
181,7.24,0.0036,2.6039633750915527,8.333333333333334e-06,,,,,,,,,,,
182,7.28,0.0004,0.035532109439373016,8.263888888888888e-06,,,,,,,,,,,
183,7.32,0.0002,0.037808552384376526,8.194444444444445e-06,,,,,,,,,,,
184,7.36,0.0001,0.008091296069324017,8.125000000000001e-06,,,,,,,,,,,
185,7.4,0.0011,0.4539203941822052,8.055555555555557e-06,,,,,,,,,,,
186,7.44,0.0008,0.223585844039917,7.986111111111112e-06,,,,,,,,,,,
187,7.48,0.0001,0.018502648919820786,7.916666666666667e-06,,,,,,,,,,,
188,7.52,0.0001,0.01667342334985733,7.847222222222223e-06,,,,,,,,,,,
188,7.52,,,,0.5238709676918103,0.5238709676918103,6.9051,14.482,0.145,,,,,,
189,7.56,0.0002,0.06488919258117676,7.77777777777778e-06,,,,,,,,,,,
190,7.6,0.069,2.9306719303131104,7.708333333333334e-06,,,,,,,,,,,
191,7.64,0.0,0.002873907098546624,7.638888888888888e-06,,,,,,,,,,,
192,7.68,0.0009,0.3089955151081085,7.569444444444445e-06,,,,,,,,,,,
193,7.72,0.0016,0.950790286064148,7.500000000000001e-06,,,,,,,,,,,
194,7.76,0.0027,1.0830838680267334,7.4305555555555565e-06,,,,,,,,,,,
195,7.8,0.0001,0.012296141125261784,7.361111111111112e-06,,,,,,,,,,,
196,7.84,0.0002,0.034938711673021317,7.291666666666667e-06,,,,,,,,,,,
197,7.88,0.0001,0.002835817402228713,7.222222222222223e-06,,,,,,,,,,,
198,7.92,0.006,0.591419517993927,7.152777777777778e-06,,,,,,,,,,,
199,7.96,0.0004,0.09687270224094391,7.083333333333335e-06,,,,,,,,,,,
200,8.0,0.0002,0.0415993295609951,7.013888888888889e-06,,,,,,,,,,,
200,8.0,,,,0.6324110671435114,0.6324110671435114,7.0823,14.12,0.141,,,,,,
201,8.04,0.0001,0.004212282132357359,6.944444444444445e-06,,,,,,,,,,,
202,8.08,0.0002,0.047496337443590164,6.875e-06,,,,,,,,,,,
203,8.12,0.0006,0.2226272076368332,6.8055555555555566e-06,,,,,,,,,,,
204,8.16,0.0054,3.1157963275909424,6.736111111111112e-06,,,,,,,,,,,
205,8.2,0.0007,0.39429542422294617,6.666666666666667e-06,,,,,,,,,,,
206,8.24,0.0136,1.3120864629745483,6.597222222222223e-06,,,,,,,,,,,
207,8.28,0.0021,0.4008021354675293,6.5277777777777784e-06,,,,,,,,,,,
208,8.32,0.0046,0.6817048788070679,6.458333333333334e-06,,,,,,,,,,,
209,8.36,0.0021,0.38966652750968933,6.3888888888888885e-06,,,,,,,,,,,
210,8.4,0.0001,0.022725457325577736,6.319444444444445e-06,,,,,,,,,,,
211,8.44,0.0001,0.026911702007055283,6.25e-06,,,,,,,,,,,
212,8.48,0.0006,0.23542363941669464,6.180555555555557e-06,,,,,,,,,,,
212,8.48,,,,0.5559748427172319,0.5559748427172319,7.2358,13.82,0.138,,,,,,
213,8.52,0.0008,0.19517451524734497,6.111111111111112e-06,,,,,,,,,,,
214,8.56,0.0017,0.28012189269065857,6.041666666666667e-06,,,,,,,,,,,
215,8.6,0.0058,1.0191385746002197,5.972222222222222e-06,,,,,,,,,,,
216,8.64,0.0006,0.13113482296466827,5.9027777777777785e-06,,,,,,,,,,,
217,8.68,0.0018,0.5149629712104797,5.833333333333334e-06,,,,,,,,,,,
218,8.72,0.002,0.5735240578651428,5.7638888888888886e-06,,,,,,,,,,,
219,8.76,0.0002,0.036663640290498734,5.694444444444445e-06,,,,,,,,,,,
220,8.8,0.0001,0.008182673715054989,5.625e-06,,,,,,,,,,,
221,8.84,0.0001,0.010633071884512901,5.555555555555557e-06,,,,,,,,,,,
222,8.88,0.0003,0.049990564584732056,5.486111111111112e-06,,,,,,,,,,,
223,8.92,0.0001,0.00449015898630023,5.416666666666667e-06,,,,,,,,,,,
224,8.96,0.0045,0.4712119400501251,5.347222222222222e-06,,,,,,,,,,,
225,9.0,0.0001,0.005301925353705883,5.2777777777777785e-06,,,,,,,,,,,
225,9.0,,,,0.6401028277133477,0.6401028277133477,7.0446,14.195,0.142,,,,,,
226,9.04,0.0001,0.02205244079232216,5.208333333333334e-06,,,,,,,,,,,
227,9.08,0.0002,0.03536660224199295,5.138888888888889e-06,,,,,,,,,,,
228,9.12,0.0005,0.1570078283548355,5.069444444444445e-06,,,,,,,,,,,
229,9.16,0.0005,0.046195805072784424,5e-06,,,,,,,,,,,
230,9.2,0.0001,0.003941238392144442,4.930555555555556e-06,,,,,,,,,,,
231,9.24,0.0002,0.02401564083993435,4.861111111111111e-06,,,,,,,,,,,
232,9.28,0.0001,0.007840828038752079,4.791666666666668e-06,,,,,,,,,,,
233,9.32,0.0001,0.005215825978666544,4.722222222222222e-06,,,,,,,,,,,
234,9.36,0.0001,0.01225664559751749,4.652777777777779e-06,,,,,,,,,,,
