step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.3203,21.178144454956055,0.0,,,,,,,,,,,
2,0.08,1.1523,19.164255142211914,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.2188,20.825265884399414,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.4961,29.049942016601562,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.0254,15.454195022583008,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.7383,17.062034606933594,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4575,8.851629257202148,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3169,8.410028457641602,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2129,4.621755123138428,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2605,13.433401107788086,1.853256816058254e-05,,,,,,,,,,,
11,0.44,1.2891,41.369686126708984,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.5598,20.593948364257812,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,8.5105,11.75,0.118,,,,,,
13,0.52,0.5142,22.130037307739258,2e-05,,,,,,,,,,,
14,0.56,0.2104,8.647241592407227,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.2838,14.867037773132324,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.4092,18.536928176879883,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.191,6.009052753448486,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1729,3.5468246936798096,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.106,2.3761019706726074,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1652,3.6879491806030273,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1136,3.885280132293701,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1498,4.64471435546875,1.9375e-05,,,,,,,,,,,
23,0.92,0.1482,5.4079179763793945,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1257,3.6179685592651367,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.1508,4.927027702331543,1.916666666666667e-05,,,,,,,,,,,
