step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.7617,25.987957000732422,0.0,,,,,,,,,,,
2,0.007,2.0312,29.701038360595703,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.8066,27.56925392150879,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.8555,28.67729377746582,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.6016,23.306005477905273,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,1.2148,16.36737060546875,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.7627,14.755489349365234,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.5742,11.051214218139648,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.3921,17.006973266601562,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.2739,7.658319473266602,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.2385,5.51132345199585,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.2422,7.137011528015137,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.1494,3.4489400386810303,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.1541,4.464512825012207,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.1439,3.754256248474121,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.1539,2.8154025077819824,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1405,3.8383283615112305,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0839,3.03385591506958,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.0912,1.4522323608398438,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.1167,5.94076681137085,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0743,1.483729362487793,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0655,1.7800278663635254,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0664,1.7859976291656494,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0779,6.8800272941589355,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.07,4.826452255249023,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0543,1.000349998474121,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.083,3.191479444503784,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.0837,2.5681779384613037,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0742,1.5419621467590332,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0946,3.170907735824585,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0688,2.302426815032959,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.064,1.523879051208496,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0554,1.8026008605957031,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0569,1.6334190368652344,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0678,2.0794436931610107,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0502,1.4395272731781006,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0404,1.4125144481658936,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0532,1.3749784231185913,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0632,1.2058537006378174,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0765,1.7926912307739258,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0794,1.4835929870605469,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0397,1.1523760557174683,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0391,0.8751294016838074,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.046,1.1080468893051147,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.0574,1.1399718523025513,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0496,0.955532431602478,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0316,0.7309598326683044,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0682,1.4543261528015137,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.0398,1.1668866872787476,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.0615,1.1635740995407104,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.0726,1.2518515586853027,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0329,0.785333514213562,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.054,1.153132438659668,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.0367,0.7849556803703308,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.0395,0.6531142592430115,1.6060063393498945e-05,,,,,,,,,,,
56,0.183,0.0489,1.2479034662246704,1.6132275592298766e-05,,,,,,,,,,,
57,0.186,0.0597,0.929408073425293,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.0419,1.0304040908813477,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.0369,1.2179570198059082,1.6341418796873162e-05,,,,,,,,,,,
60,0.196,0.0385,1.1199499368667603,1.6408776157278784e-05,,,,,,,,,,,
61,0.199,0.0408,1.2221405506134033,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.0462,1.108567237854004,1.6540186900747646e-05,,,,,,,,,,,
