step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.2412,13.750744819641113,0.0,,,,,,,,,,,
2,0.04,1.1045,12.790969848632812,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.8162,9.461162567138672,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.9605,9.271626472473145,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.8117,7.351465702056885,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5992,11.168966293334961,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.542,8.262107849121094,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.3277,5.053451061248779,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2837,5.04364538192749,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.2473,5.204139232635498,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.21,3.563612222671509,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1735,6.260265350341797,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1454,4.526540279388428,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1223,3.1317574977874756,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0724,2.7744064331054688,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0544,1.6153590679168701,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0816,2.1290032863616943,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0537,1.359851360321045,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0834,2.7017176151275635,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0536,1.5289254188537598,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0835,1.3924294710159302,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0602,2.129657030105591,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0381,1.0286158323287964,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0585,1.8481776714324951,2e-05,,,,,,,,,,,
25,0.5,0.0558,1.230676531791687,2e-05,,,,,,,,,,,
25,0.5,,,,0.3757178014265733,0.3757178014265733,9.2507,10.81,0.108,,,,,,
26,0.52,0.0284,0.8914476037025452,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0259,0.8901473879814148,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0355,1.0731195211410522,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0386,1.0630074739456177,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0728,2.430870771408081,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.0699,1.983307123184204,1.979166666666667e-05,,,,,,,,,,,
