step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.7285,11.084552764892578,0.0,,,,,,,,,,,
2,0.008,1.6426,10.928353309631348,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,1.7109,10.367696762084961,4.62224232422701e-06,,,,,,,,,,,
4,0.017,1.7363,11.355144500732422,5.832620421144215e-06,,,,,,,,,,,
5,0.021,1.7207,9.995044708251953,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,1.6406,11.079313278198242,7.538552534799117e-06,,,,,,,,,,,
7,0.029,1.6484,10.812742233276367,8.187117823896454e-06,,,,,,,,,,,
8,0.033,1.6172,9.401419639587402,8.748930631716322e-06,,,,,,,,,,,
9,0.037,1.4805,7.334144592285156,9.24448464845402e-06,,,,,,,,,,,
10,0.042,1.4629,8.567138671875,9.687772821906364e-06,,,,,,,,,,,
11,0.046,1.4082,7.417564868927002,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,1.3613,7.521634101867676,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,1.1611,5.917295932769775,1.079163013362144e-05,,,,,,,,,,,
14,0.058,1.0488,4.76534366607666,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,1.0469,4.720001697540283,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.9727,4.22398567199707,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.9307,4.1276535987854,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.7637,3.2738723754882812,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.751,3.1427295207977295,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.6963,2.7159392833709717,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.6006,2.4536914825439453,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.561,2.295945882797241,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.6064,2.0842459201812744,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.5269,2.1699798107147217,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.5142,1.9954578876495361,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.4644,1.804215908050537,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.4102,1.4811569452285767,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.415,1.6189889907836914,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.3569,1.2576053142547607,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.3511,1.404752492904663,1.4310015146133373e-05,,,,,,,,,,,
