step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.0098,6.411131381988525,0.0,,,,,,,,,,,
2,0.08,0.9775,8.358325004577637,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.8613,6.438337326049805,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.9199,5.744860649108887,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.957,7.21384334564209,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.8359,5.429718971252441,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.707,5.233396530151367,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.7178,6.078686237335205,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.6992,4.353455066680908,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.5557,3.87027907371521,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.5527,3.654346466064453,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.7344,5.049722671508789,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,24.4875,4.084,0.041,,,,,,
13,0.52,0.4946,2.8668506145477295,2e-05,,,,,,,,,,,
14,0.56,0.4482,2.8751745223999023,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.4409,3.2622485160827637,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.2891,2.228454828262329,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.3376,2.7635209560394287,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.373,2.4442431926727295,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.3779,2.3603415489196777,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.3345,2.8239471912384033,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.2551,2.267427921295166,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.2395,2.1075375080108643,1.9375e-05,,,,,,,,,,,
23,0.92,0.2302,1.671099066734314,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.2131,1.846835732460022,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.207,2.343010187149048,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.1641337385585536,0.1641337385585536,19.9243,5.019,0.05,,,,,,
26,1.04,0.1943,2.4127955436706543,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.1963,1.6490614414215088,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.1488,1.2902121543884277,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.2297,1.74311363697052,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.2651,1.687554121017456,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.2092,1.8899394273757935,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.163,2.0372729301452637,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.1718,1.2883100509643555,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.1868,2.219439744949341,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.1355,1.3455736637115479,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0909,1.2073148488998413,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.1534,1.5478863716125488,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.1665,1.5457338094711304,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.3207547169312696,0.3207547169312696,20.2307,4.943,0.049,,,,,,
39,1.56,0.1281,1.27193284034729,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0944,1.2386927604675293,1.8125e-05,,,,,,,,,,,
41,1.64,0.111,1.0429141521453857,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.1078,1.3709203004837036,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.1594,1.5143197774887085,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.1412,2.1139776706695557,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.1283,1.4259693622589111,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.1194,1.2408257722854614,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.1417,1.3090369701385498,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.1387,1.513658881187439,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.1265,1.4122178554534912,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0795,1.0685477256774902,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.45662100451617804,0.45662100451617804,19.3103,5.179,0.052,,,,,,
51,2.04,0.1077,1.6619040966033936,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0685,1.2935764789581299,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.1088,3.083728551864624,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.1192,1.1125996112823486,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.1239,1.0648176670074463,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.1017,1.0654107332229614,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0821,1.4630601406097412,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0844,1.019604206085205,1.6875e-05,,,,,,,,,,,
59,2.36,0.1454,1.9147177934646606,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.1106,1.103545904159546,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0601,0.7270714640617371,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0961,1.0051547288894653,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.5394126738294537,0.5394126738294537,16.4516,6.078,0.061,,,,,,
63,2.52,0.0541,0.9095492959022522,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0855,1.2921133041381836,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.1633,1.3800792694091797,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0797,1.0822945833206177,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0779,0.8780227303504944,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0934,1.0195029973983765,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0742,1.0149065256118774,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0824,0.8252303600311279,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0822,0.9261379837989807,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0674,0.9482479691505432,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0957,1.0533080101013184,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0833,1.4590480327606201,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0942,0.8712234497070312,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.5652173912543759,0.5652173912543759,15.5324,6.438,0.064,,,,,,
76,3.04,0.053,0.6698226928710938,1.5625e-05,,,,,,,,,,,
77,3.08,0.0556,0.7621421813964844,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0685,0.7937047481536865,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0596,0.7699489593505859,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0787,0.966943085193634,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.05,1.0650931596755981,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.1086,1.1854500770568848,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0701,0.7370716333389282,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0594,1.4168484210968018,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.1002,0.9727346301078796,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0656,0.8562790751457214,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0804,1.1186524629592896,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.1087,1.050637125968933,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.608239700324447,0.608239700324447,13.4422,7.439,0.074,,,,,,
89,3.56,0.0834,0.9756858944892883,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.075,0.8158582448959351,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0503,0.8469055891036987,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0602,0.7842232584953308,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0637,0.8639395833015442,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0477,0.7423989176750183,1.4375e-05,,,,,,,,,,,
95,3.8,0.0434,1.0028958320617676,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0929,0.9043265581130981,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0522,0.7208468317985535,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0816,0.8854138255119324,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.048,0.6923918128013611,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.0745,0.9017195701599121,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.6142208774083259,0.6142208774083259,15.3051,6.534,0.065,,,,,,
101,4.04,0.0404,0.5935949087142944,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0923,0.7950697541236877,1.3819444444444446e-05,,,,,,,,,,,
103,4.12,0.0389,0.8674919009208679,1.375e-05,,,,,,,,,,,
104,4.16,0.0463,0.7053139209747314,1.3680555555555557e-05,,,,,,,,,,,
105,4.2,0.0673,0.862251341342926,1.3611111111111113e-05,,,,,,,,,,,
106,4.24,0.0463,0.7035318613052368,1.3541666666666668e-05,,,,,,,,,,,
107,4.28,0.0643,0.8857340216636658,1.3472222222222224e-05,,,,,,,,,,,
108,4.32,0.0319,0.6411875486373901,1.3402777777777779e-05,,,,,,,,,,,
109,4.36,0.0648,0.9271942377090454,1.3333333333333333e-05,,,,,,,,,,,
110,4.4,0.0498,0.8544463515281677,1.326388888888889e-05,,,,,,,,,,,
111,4.44,0.0675,0.6386812925338745,1.3194444444444446e-05,,,,,,,,,,,
112,4.48,0.0639,0.8350845575332642,1.3125e-05,,,,,,,,,,,
112,4.48,,,,0.6381987577139919,0.6381987577139919,19.1913,5.211,0.052,,,,,,
113,4.52,0.077,0.9236152768135071,1.3055555555555557e-05,,,,,,,,,,,
114,4.56,0.05,0.6685433387756348,1.2986111111111113e-05,,,,,,,,,,,
115,4.6,0.0445,0.7242444157600403,1.2916666666666668e-05,,,,,,,,,,,
116,4.64,0.0484,0.8487469553947449,1.2847222222222224e-05,,,,,,,,,,,
117,4.68,0.0267,0.461154043674469,1.2777777777777777e-05,,,,,,,,,,,
118,4.72,0.0829,1.002578854560852,1.2708333333333333e-05,,,,,,,,,,,
119,4.76,0.0463,0.6419190168380737,1.263888888888889e-05,,,,,,,,,,,
120,4.8,0.0664,1.141608476638794,1.2569444444444446e-05,,,,,,,,,,,
121,4.84,0.0466,0.7482655048370361,1.25e-05,,,,,,,,,,,
122,4.88,0.0345,0.6657194495201111,1.2430555555555557e-05,,,,,,,,,,,
123,4.92,0.0377,0.6672082543373108,1.2361111111111113e-05,,,,,,,,,,,
124,4.96,0.0652,0.7161175012588501,1.2291666666666668e-05,,,,,,,,,,,
125,5.0,0.0983,0.987352728843689,1.2222222222222224e-05,,,,,,,,,,,
125,5.0,,,,0.6518063027939369,0.6518063027939369,20.4225,4.897,0.049,,,,,,
126,5.04,0.0302,0.4667862057685852,1.2152777777777777e-05,,,,,,,,,,,
127,5.08,0.0528,0.6278201341629028,1.2083333333333333e-05,,,,,,,,,,,
128,5.12,0.0605,0.8789932727813721,1.201388888888889e-05,,,,,,,,,,,
129,5.16,0.0317,0.672845184803009,1.1944444444444444e-05,,,,,,,,,,,
130,5.2,0.0642,0.9025586247444153,1.1875e-05,,,,,,,,,,,
131,5.24,0.0449,0.7831732034683228,1.1805555555555557e-05,,,,,,,,,,,
132,5.28,0.0341,0.5104578733444214,1.1736111111111113e-05,,,,,,,,,,,
133,5.32,0.0327,0.53011554479599,1.1666666666666668e-05,,,,,,,,,,,
134,5.36,0.0586,0.9354140758514404,1.1597222222222224e-05,,,,,,,,,,,
135,5.4,0.085,0.9302215576171875,1.1527777777777777e-05,,,,,,,,,,,
136,5.44,0.062,0.8073191046714783,1.1458333333333333e-05,,,,,,,,,,,
137,5.48,0.054,0.659163236618042,1.138888888888889e-05,,,,,,,,,,,
138,5.52,0.0405,0.720341145992279,1.1319444444444444e-05,,,,,,,,,,,
138,5.52,,,,0.6571642910226776,0.6571642910226776,13.5894,7.359,0.074,,,,,,
139,5.56,0.0503,0.5859448313713074,1.125e-05,,,,,,,,,,,
140,5.6,0.0685,0.7602555751800537,1.1180555555555557e-05,,,,,,,,,,,
141,5.64,0.0487,0.5659189224243164,1.1111111111111113e-05,,,,,,,,,,,
142,5.68,0.0463,1.2629073858261108,1.1041666666666668e-05,,,,,,,,,,,
143,5.72,0.0273,0.3028063178062439,1.0972222222222224e-05,,,,,,,,,,,
144,5.76,0.0607,0.70961594581604,1.0902777777777777e-05,,,,,,,,,,,
145,5.8,0.0414,0.764433741569519,1.0833333333333334e-05,,,,,,,,,,,
146,5.84,0.0441,0.5570656657218933,1.076388888888889e-05,,,,,,,,,,,
147,5.88,0.0593,1.3442620038986206,1.0694444444444444e-05,,,,,,,,,,,
148,5.92,0.048,0.810670018196106,1.0625e-05,,,,,,,,,,,
149,5.96,0.0818,1.2014275789260864,1.0555555555555557e-05,,,,,,,,,,,
150,6.0,0.0496,0.7186468243598938,1.0486111111111112e-05,,,,,,,,,,,
150,6.0,,,,0.6732522795851894,0.6732522795851894,13.6701,7.315,0.073,,,,,,
151,6.04,0.0137,0.49223101139068604,1.0416666666666668e-05,,,,,,,,,,,
152,6.08,0.0627,0.9357373118400574,1.0347222222222224e-05,,,,,,,,,,,
153,6.12,0.0459,0.7825096249580383,1.0277777777777777e-05,,,,,,,,,,,
154,6.16,0.0314,0.5273703932762146,1.0208333333333334e-05,,,,,,,,,,,
155,6.2,0.0525,0.868108332157135,1.013888888888889e-05,,,,,,,,,,,
156,6.24,0.0379,1.0030888319015503,1.0069444444444445e-05,,,,,,,,,,,
157,6.28,0.0842,1.1985048055648804,1e-05,,,,,,,,,,,
158,6.32,0.0419,0.4840899705886841,9.930555555555557e-06,,,,,,,,,,,
159,6.36,0.043,0.6846309900283813,9.861111111111112e-06,,,,,,,,,,,
160,6.4,0.0554,0.6106106042861938,9.791666666666666e-06,,,,,,,,,,,
161,6.44,0.0618,0.7713512778282166,9.722222222222223e-06,,,,,,,,,,,
162,6.48,0.0614,0.9876247644424438,9.652777777777779e-06,,,,,,,,,,,
162,6.48,,,,0.6830015313435204,0.6830015313435204,13.5252,7.394,0.074,,,,,,
163,6.52,0.0475,1.108929991722107,9.583333333333335e-06,,,,,,,,,,,
164,6.56,0.05,0.8312637209892273,9.51388888888889e-06,,,,,,,,,,,
165,6.6,0.0182,0.33266299962997437,9.444444444444445e-06,,,,,,,,,,,
166,6.64,0.0514,0.8243027329444885,9.375000000000001e-06,,,,,,,,,,,
167,6.68,0.0482,0.8817179799079895,9.305555555555557e-06,,,,,,,,,,,
168,6.72,0.04,0.583428680896759,9.236111111111112e-06,,,,,,,,,,,
169,6.76,0.0354,0.6156921982765198,9.166666666666666e-06,,,,,,,,,,,
170,6.8,0.0474,0.7671629190444946,9.097222222222223e-06,,,,,,,,,,,
171,6.84,0.0818,1.0294992923736572,9.027777777777779e-06,,,,,,,,,,,
172,6.88,0.0652,1.200350046157837,8.958333333333334e-06,,,,,,,,,,,
173,6.92,0.0296,0.6513392329216003,8.888888888888888e-06,,,,,,,,,,,
174,6.96,0.0249,0.5525403618812561,8.819444444444445e-06,,,,,,,,,,,
175,7.0,0.0549,0.8510053157806396,8.750000000000001e-06,,,,,,,,,,,
175,7.0,,,,0.684410646337764,0.684410646337764,13.6011,7.352,0.074,,,,,,
176,7.04,0.0432,0.5420380234718323,8.680555555555557e-06,,,,,,,,,,,
177,7.08,0.0479,0.762962281703949,8.611111111111112e-06,,,,,,,,,,,
178,7.12,0.0721,0.928007960319519,8.541666666666666e-06,,,,,,,,,,,
179,7.16,0.0359,0.6798052191734314,8.472222222222223e-06,,,,,,,,,,,
180,7.2,0.0567,0.8335551023483276,8.402777777777779e-06,,,,,,,,,,,
181,7.24,0.0411,0.6040574908256531,8.333333333333334e-06,,,,,,,,,,,
182,7.28,0.0254,0.428117960691452,8.263888888888888e-06,,,,,,,,,,,
183,7.32,0.0247,0.6702566146850586,8.194444444444445e-06,,,,,,,,,,,
184,7.36,0.0303,0.45494166016578674,8.125000000000001e-06,,,,,,,,,,,
185,7.4,0.0337,0.7054086327552795,8.055555555555557e-06,,,,,,,,,,,
186,7.44,0.016,0.4281077980995178,7.986111111111112e-06,,,,,,,,,,,
187,7.48,0.0592,0.8563717603683472,7.916666666666667e-06,,,,,,,,,,,
188,7.52,0.0445,0.7377914190292358,7.847222222222223e-06,,,,,,,,,,,
188,7.52,,,,0.6869300911353392,0.6869300911353392,13.6952,7.302,0.073,,,,,,
189,7.56,0.0527,0.8696086406707764,7.77777777777778e-06,,,,,,,,,,,
190,7.6,0.0538,0.6763526797294617,7.708333333333334e-06,,,,,,,,,,,
191,7.64,0.0469,0.9107524156570435,7.638888888888888e-06,,,,,,,,,,,
192,7.68,0.0388,0.538931131362915,7.569444444444445e-06,,,,,,,,,,,
193,7.72,0.032,0.49977171421051025,7.500000000000001e-06,,,,,,,,,,,
194,7.76,0.0655,0.7806317806243896,7.4305555555555565e-06,,,,,,,,,,,
195,7.8,0.0561,0.6072659492492676,7.361111111111112e-06,,,,,,,,,,,
196,7.84,0.0424,0.6656295657157898,7.291666666666667e-06,,,,,,,,,,,
197,7.88,0.0312,0.5835711359977722,7.222222222222223e-06,,,,,,,,,,,
198,7.92,0.0273,0.5915297865867615,7.152777777777778e-06,,,,,,,,,,,
199,7.96,0.0749,0.9765892028808594,7.083333333333335e-06,,,,,,,,,,,
200,8.0,0.0373,0.866549551486969,7.013888888888889e-06,,,,,,,,,,,
200,8.0,,,,0.7037319116026363,0.7037319116026363,19.5757,5.108,0.051,,,,,,
201,8.04,0.0298,0.6619060039520264,6.944444444444445e-06,,,,,,,,,,,
202,8.08,0.0443,0.7697500586509705,6.875e-06,,,,,,,,,,,
203,8.12,0.0296,0.5271172523498535,6.8055555555555566e-06,,,,,,,,,,,
204,8.16,0.0491,0.5793715119361877,6.736111111111112e-06,,,,,,,,,,,
205,8.2,0.0319,0.5162375569343567,6.666666666666667e-06,,,,,,,,,,,
206,8.24,0.0291,0.4976073205471039,6.597222222222223e-06,,,,,,,,,,,
207,8.28,0.0421,0.6480268239974976,6.5277777777777784e-06,,,,,,,,,,,
208,8.32,0.0208,0.42051154375076294,6.458333333333334e-06,,,,,,,,,,,
209,8.36,0.0594,0.7018479108810425,6.3888888888888885e-06,,,,,,,,,,,
210,8.4,0.0235,0.5898630023002625,6.319444444444445e-06,,,,,,,,,,,
211,8.44,0.0302,0.5688372850418091,6.25e-06,,,,,,,,,,,
212,8.48,0.0257,0.51889568567276,6.180555555555557e-06,,,,,,,,,,,
212,8.48,,,,0.6951871657253438,0.6951871657253438,20.0836,4.979,0.05,,,,,,
213,8.52,0.0517,0.6879422664642334,6.111111111111112e-06,,,,,,,,,,,
214,8.56,0.0221,0.40290355682373047,6.041666666666667e-06,,,,,,,,,,,
215,8.6,0.0393,0.7088596820831299,5.972222222222222e-06,,,,,,,,,,,
216,8.64,0.0462,0.5751712918281555,5.9027777777777785e-06,,,,,,,,,,,
217,8.68,0.0713,0.6994354128837585,5.833333333333334e-06,,,,,,,,,,,
218,8.72,0.0255,1.1310901641845703,5.7638888888888886e-06,,,,,,,,,,,
219,8.76,0.0435,0.6241683959960938,5.694444444444445e-06,,,,,,,,,,,
220,8.8,0.0106,0.37038251757621765,5.625e-06,,,,,,,,,,,
221,8.84,0.0471,0.7035830020904541,5.555555555555557e-06,,,,,,,,,,,
222,8.88,0.0779,0.7194640040397644,5.486111111111112e-06,,,,,,,,,,,
223,8.92,0.0282,0.5440697073936462,5.416666666666667e-06,,,,,,,,,,,
224,8.96,0.0661,1.1094896793365479,5.347222222222222e-06,,,,,,,,,,,
225,9.0,0.0272,0.39455446600914,5.2777777777777785e-06,,,,,,,,,,,
225,9.0,,,,0.7020470052569718,0.7020470052569718,13.9362,7.176,0.072,,,,,,
226,9.04,0.0271,0.6313164830207825,5.208333333333334e-06,,,,,,,,,,,
227,9.08,0.0312,0.4384314715862274,5.138888888888889e-06,,,,,,,,,,,
228,9.12,0.0451,0.716428279876709,5.069444444444445e-06,,,,,,,,,,,
229,9.16,0.0185,0.5503078103065491,5e-06,,,,,,,,,,,
230,9.2,0.044,0.6622652411460876,4.930555555555556e-06,,,,,,,,,,,
231,9.24,0.0551,0.7330688834190369,4.861111111111111e-06,,,,,,,,,,,
232,9.28,0.0246,0.42408287525177,4.791666666666668e-06,,,,,,,,,,,
233,9.32,0.0524,0.5326833724975586,4.722222222222222e-06,,,,,,,,,,,
234,9.36,0.0296,0.5793200135231018,4.652777777777779e-06,,,,,,,,,,,
235,9.4,0.036,1.1091846227645874,4.583333333333333e-06,,,,,,,,,,,
236,9.44,0.0458,0.6275830268859863,4.5138888888888895e-06,,,,,,,,,,,
237,9.48,0.0282,0.580195426940918,4.444444444444444e-06,,,,,,,,,,,
238,9.52,0.059,0.9075995087623596,4.3750000000000005e-06,,,,,,,,,,,
238,9.52,,,,0.6981707316572525,0.6981707316572525,20.2135,4.947,0.049,,,,,,
239,9.56,0.031,0.548897922039032,4.305555555555556e-06,,,,,,,,,,,
240,9.6,0.0335,0.6515587568283081,4.236111111111111e-06,,,,,,,,,,,
241,9.64,0.0557,1.6996642351150513,4.166666666666667e-06,,,,,,,,,,,
242,9.68,0.0399,0.9199718236923218,4.097222222222222e-06,,,,,,,,,,,
243,9.72,0.0242,0.3455502986907959,4.027777777777779e-06,,,,,,,,,,,
244,9.76,0.039,0.558671236038208,3.958333333333333e-06,,,,,,,,,,,
245,9.8,0.028,0.47668272256851196,3.88888888888889e-06,,,,,,,,,,,
246,9.84,0.0199,0.5952326655387878,3.819444444444444e-06,,,,,,,,,,,
247,9.88,0.0497,0.5676999688148499,3.7500000000000005e-06,,,,,,,,,,,
248,9.92,0.0255,0.5575851202011108,3.680555555555556e-06,,,,,,,,,,,
249,9.96,0.0414,1.012311339378357,3.6111111111111115e-06,,,,,,,,,,,
250,10.0,0.0215,0.3825467824935913,3.5416666666666673e-06,,,,,,,,,,,
250,10.0,,,,0.6970387243235018,0.6970387243235018,13.9554,7.166,0.072,,,,,,
251,10.04,0.0621,0.9788892865180969,3.4722222222222224e-06,,,,,,,,,,,
252,10.08,0.0402,0.5366791486740112,3.4027777777777783e-06,,,,,,,,,,,
253,10.12,0.0179,0.33997973799705505,3.3333333333333333e-06,,,,,,,,,,,
254,10.16,0.0887,0.7633359432220459,3.2638888888888892e-06,,,,,,,,,,,
255,10.2,0.0521,0.6678436398506165,3.1944444444444443e-06,,,,,,,,,,,
256,10.24,0.048,0.5445563793182373,3.125e-06,,,,,,,,,,,
257,10.28,0.0631,1.1529885530471802,3.055555555555556e-06,,,,,,,,,,,
258,10.32,0.0343,0.6022863388061523,2.986111111111111e-06,,,,,,,,,,,
259,10.36,0.0258,0.5470688939094543,2.916666666666667e-06,,,,,,,,,,,
260,10.4,0.0498,0.6224966645240784,2.8472222222222224e-06,,,,,,,,,,,
261,10.44,0.0434,0.7376741766929626,2.7777777777777783e-06,,,,,,,,,,,
262,10.48,0.0383,1.0076338052749634,2.7083333333333334e-06,,,,,,,,,,,
262,10.48,,,,0.705526116528267,0.705526116528267,13.4171,7.453,0.075,,,,,,
263,10.52,0.0294,0.6306844353675842,2.6388888888888893e-06,,,,,,,,,,,
264,10.56,0.0316,0.528692901134491,2.5694444444444443e-06,,,,,,,,,,,
265,10.6,0.0364,0.5622926354408264,2.5e-06,,,,,,,,,,,
266,10.64,0.0345,0.734181821346283,2.4305555555555557e-06,,,,,,,,,,,
267,10.68,0.0296,0.6613602042198181,2.361111111111111e-06,,,,,,,,,,,
268,10.72,0.0279,0.3597950041294098,2.2916666666666666e-06,,,,,,,,,,,
269,10.76,0.0298,0.5060688853263855,2.222222222222222e-06,,,,,,,,,,,
270,10.8,0.0194,0.5048110485076904,2.152777777777778e-06,,,,,,,,,,,
271,10.84,0.0217,0.4390917420387268,2.0833333333333334e-06,,,,,,,,,,,
272,10.88,0.0229,0.48890411853790283,2.0138888888888893e-06,,,,,,,,,,,
273,10.92,0.0403,0.7281712889671326,1.944444444444445e-06,,,,,,,,,,,
274,10.96,0.044,0.5946991443634033,1.8750000000000003e-06,,,,,,,,,,,
275,11.0,0.0386,0.6132657527923584,1.8055555555555557e-06,,,,,,,,,,,
275,11.0,,,,0.7114803624876761,0.7114803624876761,13.3476,7.492,0.075,,,,,,
276,11.04,0.0424,0.8329237699508667,1.7361111111111112e-06,,,,,,,,,,,
277,11.08,0.0507,0.7424197196960449,1.6666666666666667e-06,,,,,,,,,,,
278,11.12,0.0367,0.5023232698440552,1.5972222222222221e-06,,,,,,,,,,,
279,11.16,0.0276,0.4729880094528198,1.527777777777778e-06,,,,,,,,,,,
280,11.2,0.0323,0.6502190232276917,1.4583333333333335e-06,,,,,,,,,,,
281,11.24,0.0504,0.7213737964630127,1.3888888888888892e-06,,,,,,,,,,,
282,11.28,0.0476,0.6712236404418945,1.3194444444444446e-06,,,,,,,,,,,
283,11.32,0.0349,0.5096691250801086,1.25e-06,,,,,,,,,,,
284,11.36,0.0158,0.3604554831981659,1.1805555555555556e-06,,,,,,,,,,,
285,11.4,0.0218,0.7620901465415955,1.111111111111111e-06,,,,,,,,,,,
286,11.44,0.0341,0.4771217703819275,1.0416666666666667e-06,,,,,,,,,,,
287,11.48,0.0368,0.8200333714485168,9.722222222222224e-07,,,,,,,,,,,
288,11.52,0.0309,0.5726163983345032,9.027777777777779e-07,,,,,,,,,,,
288,11.52,,,,0.7154716980631173,0.7154716980631173,13.5251,7.394,0.074,,,,,,
289,11.56,0.0398,0.7348335385322571,8.333333333333333e-07,,,,,,,,,,,
