step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.9702,29.795116424560547,0.0,,,,,,,,,,,
2,0.04,0.8671,26.88858413696289,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.6717,20.038700103759766,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.8327,27.884857177734375,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.5702,13.920110702514648,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.3866,25.17673683166504,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.3997,20.39470863342285,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.164,10.958451271057129,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.1709,9.985616683959961,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.168,11.359441757202148,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1375,11.740248680114746,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1183,6.5135955810546875,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1458,12.976511001586914,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.151,10.111236572265625,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0701,4.55672550201416,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.048,3.8510894775390625,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0992,6.250355243682861,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0682,5.449261665344238,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0854,12.815794944763184,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0937,10.307772636413574,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0851,5.916143894195557,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.056,4.904753684997559,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0411,7.549772262573242,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.052,3.2036795616149902,2e-05,,,,,,,,,,,
25,0.5,0.0788,7.3650431632995605,2e-05,,,,,,,,,,,
25,0.5,,,,0.6204013377425385,0.6204013377425385,7.3372,13.629,0.136,,,,,,
26,0.52,0.0177,2.370584726333618,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0566,4.7745161056518555,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0839,15.050217628479004,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0596,5.619267463684082,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.1462,10.785412788391113,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.0986,17.24968147277832,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.1402,9.084745407104492,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.1595,10.058526039123535,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.091,5.1784586906433105,1.96875e-05,,,,,,,,,,,
35,0.7,0.0822,8.579623222351074,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0245,2.819356679916382,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0409,2.7394297122955322,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0367,2.855501651763916,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0299,2.6514458656311035,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0984,10.649510383605957,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.052,7.435465335845947,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0894,5.227240562438965,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0443,5.189324378967285,1.9375e-05,,,,,,,,,,,
44,0.88,0.0278,6.661904335021973,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0297,3.0291972160339355,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0147,1.6007965803146362,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.022,3.6134581565856934,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0518,4.351970195770264,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.075,4.275526523590088,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0511,3.6504342555999756,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.7176079733718089,0.7176079733718089,7.441,13.439,0.134,,,,,,
51,1.02,0.0263,3.1441686153411865,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.008,0.8326115012168884,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0222,2.912675142288208,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0125,4.91982364654541,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0179,2.255269765853882,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0301,3.660845994949341,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0341,1.8448314666748047,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0953,5.394408226013184,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.042,3.300544500350952,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.042,7.903078079223633,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0599,3.294368267059326,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0356,4.3253173828125,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0181,1.266884684562683,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.033,2.2640841007232666,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0161,1.5523731708526611,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0096,1.1034505367279053,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.0469,6.693526744842529,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.047,6.622644424438477,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0173,5.053588390350342,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.01,1.9050016403198242,1.84375e-05,,,,,,,,,,,
71,1.42,0.0219,1.6672435998916626,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0359,4.229037761688232,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0697,20.137998580932617,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0282,3.1132333278656006,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0088,2.4011070728302,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.6039525691200052,0.6039525691200052,7.2345,13.823,0.138,,,,,,
76,1.52,0.029,1.6949104070663452,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0687,4.152386665344238,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0378,2.483668088912964,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0199,1.6726995706558228,1.8125e-05,,,,,,,,,,,
80,1.6,0.0368,8.207606315612793,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0088,2.4083473682403564,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0187,2.3167786598205566,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0444,3.4533069133758545,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0421,4.1153388023376465,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0168,3.6792421340942383,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0097,0.7727375626564026,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0311,1.936325192451477,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0293,3.369615316390991,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0472,2.8028292655944824,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0506,2.9117815494537354,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0251,1.7547221183776855,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0057,1.762622356414795,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0247,3.231449604034424,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0492,11.911304473876953,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0494,5.017901420593262,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0202,2.17138671875,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0649,5.153044700622559,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0827,4.776350021362305,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0169,3.3225526809692383,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0415,3.7152066230773926,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.6246672581577185,0.6246672581577185,7.2016,13.886,0.139,,,,,,
101,2.02,0.0249,2.1181914806365967,1.7361111111111114e-05,,,,,,,,,,,
