step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.8354,48.43726348876953,0.0,,,,,,,,,,,
2,0.008,1.8183,48.301292419433594,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,1.7782,50.64449691772461,4.62224232422701e-06,,,,,,,,,,,
4,0.017,1.7815,46.18533706665039,5.832620421144215e-06,,,,,,,,,,,
5,0.021,1.4594,38.619117736816406,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,0.9344,25.126049041748047,7.538552534799117e-06,,,,,,,,,,,
7,0.029,0.6224,25.05772590637207,8.187117823896454e-06,,,,,,,,,,,
8,0.033,0.4237,10.765649795532227,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.3402,15.321005821228027,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.3167,15.563922882080078,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.2345,8.983809471130371,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.259,12.810434341430664,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.1746,8.079179763793945,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.187,10.243728637695312,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.1567,6.6276373863220215,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.1059,4.215882301330566,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.1333,7.16194486618042,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.1555,6.927515029907227,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.0901,4.33798885345459,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.1064,3.170386552810669,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.1238,7.773901462554932,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.0868,3.759671449661255,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.0843,5.155489921569824,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.0707,2.5897672176361084,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.0828,5.810747146606445,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.0646,4.444105625152588,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.0788,4.5222673416137695,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.0699,3.4962096214294434,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.0554,3.6811928749084473,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.0565,3.2230947017669678,1.4310015146133373e-05,,,,,,,,,,,
31,0.129,0.1345,9.425873756408691,1.4447973285159907e-05,,,,,,,,,,,
32,0.133,0.0623,6.609776020050049,1.4581551052860538e-05,,,,,,,,,,,
33,0.138,0.0711,3.343273162841797,1.4711018076434953e-05,,,,,,,,,,,
