step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.6572,19.85380744934082,0.0,,,,,,,,,,,
2,0.04,0.7616,20.13669776916504,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.6819,17.372455596923828,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.6396,18.54476547241211,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.3291,7.813299655914307,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.2984,18.019575119018555,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.1835,8.999430656433105,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.2122,13.2340669631958,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.1745,15.74347972869873,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.1947,10.865984916687012,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1172,5.721928596496582,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1522,7.497001647949219,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1332,8.34302806854248,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.058,3.9884581565856934,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0733,5.16223669052124,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0633,4.880652904510498,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0725,6.105347156524658,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0621,4.931725978851318,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.076,5.89561128616333,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.056,8.341629028320312,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0943,5.199486255645752,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0484,3.6889686584472656,1.9452423516815614e-05,,,,,,,,,,,
