step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,5.3175,70.69795989990234,0.0,,,,,,,,,,,
2,0.08,5.3103,80.28022003173828,5.578858913022597e-06,,,,,,,,,,,
3,0.12,5.0106,87.87789154052734,8.842282173954808e-06,,,,,,,,,,,
4,0.16,5.9283,111.81689453125,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,4.5997,83.13117218017578,1.295370924755994e-05,,,,,,,,,,,
6,0.24,4.9753,94.99651336669922,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,3.6996,52.58564376831055,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,3.2297,41.589595794677734,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,2.4065,58.22468566894531,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,2.9721,81.58304595947266,1.853256816058254e-05,,,,,,,,,,,
11,0.44,1.9589,44.682823181152344,1.929968091962688e-05,,,,,,,,,,,
12,0.48,1.8352,63.59516906738281,2e-05,,,,,,,,,,,
13,0.52,1.8464,79.4111328125,2e-05,,,,,,,,,,,
14,0.56,1.5083,29.113126754760742,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,1.1991,33.33877944946289,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,1.1167,24.425161361694336,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.8167,34.70931625366211,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.9733,23.384441375732422,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.675,15.615205764770508,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.7622,23.867456436157227,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.6328,13.730203628540039,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.7125,23.04273223876953,1.9375e-05,,,,,,,,,,,
23,0.92,0.6678,13.370023727416992,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.504,15.479269981384277,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.4961,9.982884407043457,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.0,0.0,6.673,14.986,0.15,,,,,,
26,1.04,0.4006,10.053797721862793,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.3972,8.822208404541016,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.3251,7.058900356292725,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.3892,7.3080267906188965,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.2834,6.623741626739502,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.2673,5.193980693817139,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.3007,4.932136535644531,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.3505,14.001750946044922,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.3899,8.643714904785156,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.3708,14.866872787475586,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.311,11.825098991394043,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.2758,4.108652591705322,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.274,7.135889053344727,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.0,0.0,6.5406,15.289,0.153,,,,,,
39,1.56,0.3173,13.079788208007812,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.2126,4.131480693817139,1.8125e-05,,,,,,,,,,,
41,1.64,0.2878,5.36758279800415,1.8055555555555558e-05,,,,,,,,,,,
