step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,7.4927,119.30650329589844,0.0,,,,,,,,,,,
2,0.007,7.8272,103.20893096923828,2.777904193701827e-06,,,,,,,,,,,
3,0.01,7.6398,109.5207290649414,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,7.6909,108.83924865722656,5.555808387403654e-06,,,,,,,,,,,
5,0.016,7.1325,137.75540161132812,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,6.2657,74.07164001464844,7.180778171315261e-06,,,,,,,,,,,
7,0.023,5.4238,83.6712875366211,7.798563011193284e-06,,,,,,,,,,,
8,0.026,5.0239,75.48660278320312,8.33371258110548e-06,,,,,,,,,,,
9,0.029,4.5435,93.68956756591797,8.805747955226869e-06,,,,,,,,,,,
10,0.033,3.5833,75.57939910888672,9.227997985963526e-06,,,,,,,,,,,
11,0.036,3.2439,41.81102752685547,9.609969601237248e-06,,,,,,,,,,,
12,0.039,2.7773,35.94124984741211,9.958682365017088e-06,,,,,,,,,,,
13,0.042,2.2813,47.404541015625,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,1.7584,36.81618881225586,1.057646720489511e-05,,,,,,,,,,,
15,0.049,1.4878,42.929988861083984,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,1.0808,47.76631164550781,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.9033,20.83577537536621,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.6804,21.560941696166992,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.5889,17.78748321533203,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.5481,17.359113693237305,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.5611,19.115293502807617,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.4215,10.7737398147583,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.5158,21.80731773376465,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.423,12.569664001464844,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.4094,15.841317176818848,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.3419,9.359261512756348,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.3556,11.630605697631836,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.3439,10.242345809936523,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.3553,13.475334167480469,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.3129,6.462292671203613,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.2757,5.618826866149902,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.2571,5.540004730224609,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.2867,7.738137722015381,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.1938,9.494744300842285,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.2387,6.640746116638184,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.2146,4.056632995605469,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.2115,5.022542953491211,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.2155,4.365828037261963,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.2154,5.602854251861572,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.2635,5.328359603881836,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.2262,8.550924301147461,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.2123,4.505246639251709,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.24,7.931745529174805,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.1947,5.353989124298096,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.2639,12.17007827758789,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.2388,8.422285079956055,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.1714,3.484610080718994,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.2492,7.500830173492432,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.185,4.709695339202881,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.1765,2.493685722351074,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.1959,3.723127603530884,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.1805,3.677685022354126,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.1743,3.0271573066711426,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.1649,3.7371320724487305,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.1488,4.488317489624023,1.6060063393498945e-05,,,,,,,,,,,
56,0.183,0.1803,2.9149348735809326,1.6132275592298766e-05,,,,,,,,,,,
57,0.186,0.1751,3.4076950550079346,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.1328,3.662008285522461,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.1399,4.131396293640137,1.6341418796873162e-05,,,,,,,,,,,
60,0.196,0.1331,4.874259948730469,1.6408776157278784e-05,,,,,,,,,,,
61,0.199,0.1314,3.054649829864502,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.1335,2.459714651107788,1.6540186900747646e-05,,,,,,,,,,,
63,0.206,0.1393,5.2270002365112305,1.660431096642015e-05,,,,,,,,,,,
64,0.209,0.1698,4.228321075439453,1.666742516221096e-05,,,,,,,,,,,
65,0.212,0.1461,2.7877278327941895,1.672956080382664e-05,,,,,,,,,,,
66,0.216,0.1572,3.805152416229248,1.6790747772552507e-05,,,,,,,,,,,
67,0.219,0.178,3.215782403945923,1.6851014601541966e-05,,,,,,,,,,,
68,0.222,0.0979,1.8396236896514893,1.6910388555713357e-05,,,,,,,,,,,
69,0.225,0.1213,3.6038401126861572,1.696889570581425e-05,,,,,,,,,,,
70,0.229,0.1339,2.737849473953247,1.702656099715681e-05,,,,,,,,,,,
