step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.6162,5.958359241485596,0.0,,,,,,,,,,,
2,0.08,0.6025,5.9449262619018555,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.5767,6.2005534172058105,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.584,5.767338275909424,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.6475,6.658891201019287,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.5073,5.860764026641846,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.3926,3.92419695854187,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3701,4.135513782501221,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.4897,5.553450584411621,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2441,3.2745513916015625,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2529,3.249075174331665,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.3203,4.317816734313965,2e-05,,,,,,,,,,,
13,0.52,0.2175,3.3203773498535156,2e-05,,,,,,,,,,,
14,0.56,0.2576,2.316387176513672,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1516,1.7896360158920288,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.131,1.9269227981567383,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1472,1.6438255310058594,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0995,1.6020158529281616,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1495,1.7169198989868164,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0881,1.377758502960205,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1052,1.7112115621566772,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1191,1.619740605354309,1.9375e-05,,,,,,,,,,,
23,0.92,0.0708,1.0509560108184814,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0887,1.1901007890701294,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0801,1.378673791885376,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.614232209687742,0.614232209687742,19.8044,5.049,0.05,,,,,,
26,1.04,0.0964,1.984747290611267,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0696,1.1723459959030151,1.902777777777778e-05,,,,,,,,,,,
