step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.1328,7.73593282699585,0.0,,,,,,,,,,,
2,0.08,1.0186,6.789224624633789,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.8984,5.889082908630371,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.4131,8.976469993591309,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.1172,7.909778118133545,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.9111,5.9639692306518555,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.8203,5.415992736816406,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.8096,5.486893653869629,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.6719,3.9838502407073975,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.7285,4.48688268661499,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.7012,4.638151168823242,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.5078,3.4879212379455566,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,24.905,4.015,0.04,,,,,,
13,0.52,0.7119,4.575637340545654,2e-05,,,,,,,,,,,
14,0.56,0.5093,3.392322063446045,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.3071,2.3818531036376953,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.4053,2.800219774246216,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.2625,1.845305323600769,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.3984,2.547003746032715,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.3687,2.3296964168548584,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.3511,2.329355239868164,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.2161,1.9531630277633667,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.3198,2.5771377086639404,1.9375e-05,,,,,,,,,,,
23,0.92,0.2222,1.8010903596878052,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.2661,1.7713637351989746,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.2175,1.9891573190689087,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.19325153369817363,0.19325153369817363,17.8067,5.616,0.056,,,,,,
26,1.04,0.2778,1.6927762031555176,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.2128,1.3515862226486206,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.2693,2.0575802326202393,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.2207,2.749596357345581,1.888888888888889e-05,,,,,,,,,,,
