step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.3683,20.477977752685547,0.0,,,,,,,,,,,
2,0.08,1.74,23.86214256286621,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.5951,21.18295669555664,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.3194,19.462921142578125,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.1491,17.52376365661621,1.295370924755994e-05,,,,,,,,,,,
6,0.24,1.5602,26.686153411865234,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.788,13.103541374206543,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.5874,7.64821720123291,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.4466,7.9114861488342285,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.4829,5.617925643920898,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.321,4.669609069824219,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.361,5.719714641571045,2e-05,,,,,,,,,,,
12,0.48,,,,0.03999999995040653,0.03999999995040653,12.4395,8.039,0.08,,,,,,
13,0.52,0.2654,5.653974533081055,2e-05,,,,,,,,,,,
14,0.56,0.2495,4.449563503265381,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1641,3.1006829738616943,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.2058,3.4565653800964355,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1807,2.9053537845611572,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1472,2.541508436203003,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1466,2.770808219909668,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1307,3.0910723209381104,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1156,3.252502918243408,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.144,3.6007707118988037,1.9375e-05,,,,,,,,,,,
23,0.92,0.1001,3.0621910095214844,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1105,3.3259615898132324,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.1181,3.823194980621338,1.916666666666667e-05,,,,,,,,,,,
