step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.6597,23.871137619018555,0.0,,,,,,,,,,,
2,0.08,1.6052,21.113508224487305,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.1869,18.360275268554688,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.2762,19.96917152404785,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.1238,16.45917320251465,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.8458,11.986231803894043,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.6408,9.8651123046875,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.6158,10.095085144042969,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.3392,8.17231273651123,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2798,5.394596099853516,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.3087,5.006655693054199,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2727,5.113645553588867,2e-05,,,,,,,,,,,
12,0.48,,,,0.008908685931485211,0.008908685931485211,12.2226,8.182,0.082,,,,,,
13,0.52,0.2615,5.144198894500732,2e-05,,,,,,,,,,,
14,0.56,0.3008,5.181556224822998,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.2103,4.077300548553467,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1729,4.8876824378967285,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1368,3.9687750339508057,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.2375,5.350925445556641,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.181,3.6015126705169678,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1378,3.945719003677368,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1281,1.7563610076904297,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1495,2.7212071418762207,1.9375e-05,,,,,,,,,,,
23,0.92,0.0674,2.205137014389038,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0796,2.497472047805786,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.1114,3.8431766033172607,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.41569282131968377,0.41569282131968377,11.1916,8.935,0.089,,,,,,
26,1.04,0.0365,1.0372774600982666,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0515,1.7790886163711548,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0577,1.5766557455062866,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0659,2.827719211578369,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.1552,3.086118459701538,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0284,1.159042477607727,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0262,1.727716326713562,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0361,1.7137904167175293,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0754,2.76617693901062,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0531,1.761818528175354,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0182,0.7698817849159241,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0427,1.3855875730514526,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0533,1.7535569667816162,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.5938931297209483,0.5938931297209483,9.2954,10.758,0.108,,,,,,
39,1.56,0.0294,1.2229747772216797,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0478,2.405277967453003,1.8125e-05,,,,,,,,,,,
41,1.64,0.0424,1.6785273551940918,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0297,3.06984806060791,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0694,2.6476399898529053,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0342,0.9857022166252136,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0402,1.397359013557434,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.04,1.6670262813568115,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0444,1.0521535873413086,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0481,1.6691334247589111,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0431,1.268713355064392,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0122,0.6676167249679565,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.5847860538328762,0.5847860538328762,8.2503,12.121,0.121,,,,,,
51,2.04,0.0276,0.7779039740562439,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0065,0.4594389498233795,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0093,0.46879875659942627,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0136,0.8547288775444031,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0179,0.8721246719360352,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0277,0.8803544044494629,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0066,0.3889259099960327,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0045,0.4423093795776367,1.6875e-05,,,,,,,,,,,
59,2.36,0.0421,1.492371678352356,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0268,0.9562232494354248,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0212,1.1235514879226685,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0058,1.3283685445785522,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.6169230768730558,0.6169230768730558,9.3543,10.69,0.107,,,,,,
63,2.52,0.004,0.3921602666378021,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0064,0.5066670775413513,1.6458333333333335e-05,,,,,,,,,,,
