step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,2.5518,27.324453353881836,0.0,,,,,,,,,,,
2,0.007,2.8981,30.19767189025879,2.777904193701827e-06,,,,,,,,,,,
3,0.01,2.6663,29.22314453125,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,2.6692,28.338356018066406,5.555808387403654e-06,,,,,,,,,,,
5,0.016,2.4798,27.614482879638672,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,2.3149,23.122751235961914,7.180778171315261e-06,,,,,,,,,,,
7,0.023,1.7355,17.213773727416992,7.798563011193284e-06,,,,,,,,,,,
8,0.026,1.6136,16.776565551757812,8.33371258110548e-06,,,,,,,,,,,
9,0.029,1.0493,14.583365440368652,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.9751,14.673181533813477,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.7354,11.133567810058594,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.6688,8.002236366271973,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.4132,6.914970397949219,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.3609,5.118948936462402,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.3114,3.8789849281311035,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.2944,3.1117115020751953,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.2448,3.3054819107055664,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.1711,2.6643309593200684,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.2088,3.6156673431396484,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.1624,3.3504388332366943,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.1555,2.2413992881774902,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.1556,4.00297737121582,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.1365,3.2235374450683594,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0944,2.315958023071289,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.082,2.801597833633423,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0873,1.5037580728530884,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0852,1.794468879699707,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.089,1.4047315120697021,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.1209,2.413799285888672,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.1064,2.520210027694702,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0755,1.4021962881088257,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0821,1.716757893562317,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0744,1.4164711236953735,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0625,1.3541284799575806,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0881,1.6157735586166382,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0571,1.8842195272445679,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0507,1.0627827644348145,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0616,1.2179579734802246,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0869,1.652293086051941,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0977,1.8815906047821045,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0986,1.247796654701233,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0474,1.762754201889038,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0692,1.3936806917190552,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.0513,1.3082953691482544,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.0679,1.2679345607757568,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0592,1.3524452447891235,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0484,1.7488926649093628,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0717,1.1602098941802979,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.0688,1.940377116203308,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.0553,0.8690605759620667,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.1069,2.10550594329834,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0554,0.9110422134399414,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.0467,0.8915307521820068,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.0365,1.1035182476043701,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.0514,0.8125867247581482,1.6060063393498945e-05,,,,,,,,,,,
56,0.183,0.0536,0.7839958667755127,1.6132275592298766e-05,,,,,,,,,,,
57,0.186,0.0778,1.2776312828063965,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.0387,0.6873173117637634,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.0369,0.9667068123817444,1.6341418796873162e-05,,,,,,,,,,,
60,0.196,0.0531,1.316823959350586,1.6408776157278784e-05,,,,,,,,,,,
61,0.199,0.0424,0.8917804956436157,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.0724,1.3622877597808838,1.6540186900747646e-05,,,,,,,,,,,
63,0.206,0.0355,0.8087658286094666,1.660431096642015e-05,,,,,,,,,,,
64,0.209,0.0895,1.1035265922546387,1.666742516221096e-05,,,,,,,,,,,
65,0.212,0.0648,1.0996145009994507,1.672956080382664e-05,,,,,,,,,,,
66,0.216,0.064,1.0012331008911133,1.6790747772552507e-05,,,,,,,,,,,
67,0.219,0.0679,1.2959884405136108,1.6851014601541966e-05,,,,,,,,,,,
68,0.222,0.0421,1.2377654314041138,1.6910388555713357e-05,,,,,,,,,,,
69,0.225,0.0623,1.0638887882232666,1.696889570581425e-05,,,,,,,,,,,
70,0.229,0.0539,0.8784146904945374,1.702656099715681e-05,,,,,,,,,,,
71,0.232,0.045,1.1434599161148071,1.7083408313477785e-05,,,,,,,,,,,
72,0.235,0.0356,0.8573504090309143,1.713946053633235e-05,,,,,,,,,,,
73,0.239,0.0406,0.655344545841217,1.719473960039136e-05,,,,,,,,,,,
74,0.242,0.0469,0.8541865944862366,1.7249266544976585e-05,,,,,,,,,,,
75,0.245,0.0153,0.7721230387687683,1.7303061562136828e-05,,,,,,,,,,,
76,0.248,0.0408,0.9985373616218567,1.7356144041539965e-05,,,,,,,,,,,
77,0.252,0.0301,0.5036329627037048,1.7408532612430532e-05,,,,,,,,,,,
78,0.255,0.0571,0.867026150226593,1.7460245182880206e-05,,,,,,,,,,,
79,0.258,0.0472,0.9632114768028259,1.7511298976538014e-05,,,,,,,,,,,
80,0.261,0.0384,1.4029654264450073,1.7561710567069004e-05,,,,,,,,,,,
81,0.265,0.0455,1.1811233758926392,1.7611495910453738e-05,,,,,,,,,,,
82,0.268,0.0423,1.1629916429519653,1.766067037530603e-05,,,,,,,,,,,
83,0.271,0.0342,0.888310968875885,1.7709248771353133e-05,,,,,,,,,,,
84,0.275,0.0497,1.9450180530548096,1.775724537621037e-05,,,,,,,,,,,
85,0.278,0.0296,1.0415115356445312,1.78046739605714e-05,,,,,,,,,,,
86,0.281,0.0424,0.8263454437255859,1.78515478119252e-05,,,,,,,,,,,
87,0.284,0.0789,1.0828250646591187,1.789787975690209e-05,,,,,,,,,,,
88,0.288,0.0852,1.447385549545288,1.794368218234273e-05,,,,,,,,,,,
89,0.291,0.0705,1.4865245819091797,1.7988967055176675e-05,,,,,,,,,,,
90,0.294,0.0387,0.6878079771995544,1.8033745941190393e-05,,,,,,,,,,,
91,0.297,0.048,0.6958332657814026,1.8078030022758228e-05,,,,,,,,,,,
92,0.301,0.0401,1.1551662683486938,1.8121830115604468e-05,,,,,,,,,,,
93,0.304,0.0506,0.878532886505127,1.8165156684659252e-05,,,,,,,,,,,
94,0.307,0.0297,0.6800234317779541,1.820801985906655e-05,,,,,,,,,,,
95,0.31,0.0497,0.8802066445350647,1.8250429446398005e-05,,,,,,,,,,,
96,0.314,0.069,0.8934654593467712,1.829239494612257e-05,,,,,,,,,,,
97,0.317,0.0438,1.21756112575531,1.8333925562378166e-05,,,,,,,,,,,
98,0.32,0.0335,1.0540937185287476,1.8375030216088396e-05,,,,,,,,,,,
99,0.324,0.0455,0.7469264268875122,1.8415717556464116e-05,,,,,,,,,,,
100,0.327,0.0461,0.8021825551986694,1.845599597192705e-05,,,,,,,,,,,
101,0.33,0.0446,0.9521293640136719,1.8495873600489872e-05,,,,,,,,,,,
102,0.333,0.0412,0.7775282263755798,1.8535358339624962e-05,,,,,,,,,,,
103,0.337,0.0436,0.7592065930366516,1.857445785565174e-05,,,,,,,,,,,
104,0.34,0.0495,1.075400471687317,1.8613179592670426e-05,,,,,,,,,,,
105,0.343,0.0463,0.7526491284370422,1.8651530781068415e-05,,,,,,,,,,,
106,0.346,0.034,0.5856320261955261,1.868951844562341e-05,,,,,,,,,,,
107,0.35,0.0411,0.8567790389060974,1.872714941322616e-05,,,,,,,,,,,
108,0.353,0.0562,1.0293729305267334,1.876443032024396e-05,,,,,,,,,,,
109,0.356,0.0257,0.69068843126297,1.880136761954479e-05,,,,,,,,,,,
110,0.359,0.0272,0.5297441482543945,1.883796758720077e-05,,,,,,,,,,,
111,0.363,0.0333,0.5958611369132996,1.887423632888819e-05,,,,,,,,,,,
112,0.366,0.0518,0.6700840592384338,1.8910179786000588e-05,,,,,,,,,,,
113,0.369,0.0486,0.8772885799407959,1.8945803741490124e-05,,,,,,,,,,,
114,0.373,0.0499,0.6042196750640869,1.898111382545157e-05,,,,,,,,,,,
115,0.376,0.0413,0.5588914752006531,1.901611552046251e-05,,,,,,,,,,,
116,0.379,0.0466,0.7243466377258301,1.905081416669231e-05,,,,,,,,,,,
117,0.382,0.0408,0.6979063153266907,1.9085214966791815e-05,,,,,,,,,,,
118,0.386,0.0344,0.6996349692344666,1.9119322990574988e-05,,,,,,,,,,,
119,0.389,0.0301,0.5973484516143799,1.9153143179502987e-05,,,,,,,,,,,
120,0.392,0.0545,0.715674102306366,1.918668035098061e-05,,,,,,,,,,,
121,0.395,0.0361,0.618678867816925,1.9219939202474497e-05,,,,,,,,,,,
122,0.399,0.0309,0.4652896225452423,1.9252924315461777e-05,,,,,,,,,,,
123,0.402,0.0354,0.51582270860672,1.9285640159217637e-05,,,,,,,,,,,
124,0.405,0.0317,0.5546462535858154,1.9318091094449472e-05,,,,,,,,,,,
125,0.408,0.0381,0.8623806834220886,1.9350281376785095e-05,,,,,,,,,,,
126,0.412,0.0303,0.6453459858894348,1.938221516012198e-05,,,,,,,,,,,
127,0.415,0.0313,0.7027765512466431,1.9413896499844137e-05,,,,,,,,,,,
128,0.418,0.0344,0.5860347151756287,1.9445329355912786e-05,,,,,,,,,,,
129,0.422,0.0511,1.1887083053588867,1.9476517595836804e-05,,,,,,,,,,,
130,0.425,0.0444,0.6455751061439514,1.950746499752847e-05,,,,,,,,,,,
131,0.428,0.065,0.7106820940971375,1.953817525204977e-05,,,,,,,,,,,
132,0.431,0.0322,0.517157793045044,1.9568651966254333e-05,,,,,,,,,,,
133,0.435,0.0295,0.45556187629699707,1.9598898665329592e-05,,,,,,,,,,,
134,0.438,0.0431,0.7312187552452087,1.962891879524379e-05,,,,,,,,,,,
135,0.441,0.0198,0.6312409043312073,1.9658715725102002e-05,,,,,,,,,,,
136,0.444,0.0244,0.6100257635116577,1.9688292749415182e-05,,,,,,,,,,,
137,0.448,0.061,1.2646520137786865,1.971765309028616e-05,,,,,,,,,,,
138,0.451,0.0245,0.5016504526138306,1.9746799899516077e-05,,,,,,,,,,,
139,0.454,0.0283,0.5213518142700195,1.9775736260634812e-05,,,,,,,,,,,
140,0.458,0.039,0.5719877481460571,1.980446519085863e-05,,,,,,,,,,,
141,0.461,0.0449,0.7351717352867126,1.9832989642978158e-05,,,,,,,,,,,
142,0.464,0.0315,0.9803552031517029,1.9861312507179614e-05,,,,,,,,,,,
143,0.467,0.0225,1.073653221130371,1.9889436612802193e-05,,,,,,,,,,,
144,0.471,0.0483,0.4819484055042267,1.9917364730034175e-05,,,,,,,,,,,
145,0.474,0.0449,0.5861820578575134,1.9945099571550352e-05,,,,,,,,,,,
146,0.477,0.044,0.7362890839576721,1.9972643794093188e-05,,,,,,,,,,,
147,0.48,0.0574,0.7814351320266724,2e-05,,,,,,,,,,,
148,0.484,0.0511,0.9845212697982788,2e-05,,,,,,,,,,,
149,0.487,0.0576,1.1137304306030273,1.9994326241134753e-05,,,,,,,,,,,
