step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.2417,13.732481002807617,0.0,,,,,,,,,,,
2,0.04,1.1037,12.780753135681152,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.816,9.449481010437012,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.9587,9.256925582885742,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.8124,7.361517429351807,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.598,11.095019340515137,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.5397,8.196532249450684,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.3272,5.075073719024658,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2812,4.936511516571045,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.2447,5.234976768493652,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.2116,3.7013323307037354,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1715,6.134822368621826,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1447,4.497186183929443,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1241,3.3009512424468994,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0746,2.876037836074829,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0525,1.4466907978057861,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0824,2.163278341293335,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0526,1.3366858959197998,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0771,2.133610725402832,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0505,1.3690335750579834,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.078,1.2638353109359741,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0514,1.7659332752227783,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0398,1.3397481441497803,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0651,2.137894868850708,2e-05,,,,,,,,,,,
25,0.5,0.0566,1.0418232679367065,2e-05,,,,,,,,,,,
25,0.5,,,,0.3965957446308027,0.3965957446308027,7.0127,14.26,0.143,,,,,,
26,0.52,0.0282,1.1156319379806519,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0249,0.9115399718284607,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0349,1.1688214540481567,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0371,1.0076673030853271,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0826,3.4296653270721436,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.0628,1.7643101215362549,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.1194,3.844966411590576,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0837,2.1601295471191406,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0564,1.7099565267562866,1.96875e-05,,,,,,,,,,,
35,0.7,0.0546,1.5152140855789185,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0256,0.9036306738853455,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0359,1.1844627857208252,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0561,1.354783535003662,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0423,1.201954960823059,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0319,1.5949227809906006,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0429,1.2216532230377197,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0658,1.4245437383651733,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0658,2.2384397983551025,1.9375e-05,,,,,,,,,,,
44,0.88,0.0311,0.9816703796386719,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0398,0.6660657525062561,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0275,0.8586545586585999,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0362,1.0145659446716309,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0657,1.4060664176940918,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.05,1.1024620532989502,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0386,0.8171068429946899,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.5494137352932921,0.5494137352932921,6.9803,14.326,0.143,,,,,,
51,1.02,0.0234,1.5962389707565308,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.076,2.3471121788024902,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0436,1.3542507886886597,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0153,0.8201907873153687,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0145,0.5514674186706543,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0246,0.6252143979072571,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0324,0.8016476631164551,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.1235,4.358173370361328,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0251,0.553495466709137,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0308,0.5985089540481567,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0647,1.1176174879074097,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.034,0.8127432465553284,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0376,0.8152141571044922,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0354,0.9069288372993469,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0127,0.3466166853904724,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0177,0.6186319589614868,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.0239,0.5664806365966797,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0278,0.5140934586524963,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0202,0.4010705053806305,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0263,0.8302994966506958,1.84375e-05,,,,,,,,,,,
71,1.42,0.0146,0.7658644318580627,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0238,0.7051411867141724,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0285,1.051512598991394,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0129,0.36365169286727905,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0116,0.3994964361190796,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.6381522668447034,0.6381522668447034,6.9763,14.334,0.143,,,,,,
76,1.52,0.0272,0.7149728536605835,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0648,2.897042751312256,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.047,1.6211458444595337,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0255,1.671976923942566,1.8125e-05,,,,,,,,,,,
80,1.6,0.0286,1.2279565334320068,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0151,1.4764984846115112,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0152,0.5767648220062256,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0311,1.3068320751190186,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0598,1.8549963235855103,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0187,0.7042251229286194,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0068,0.22080391645431519,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0174,0.5354362726211548,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0327,1.1160972118377686,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0142,0.5922659635543823,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0299,0.6879159808158875,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0522,1.5337679386138916,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0232,0.5532742738723755,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0267,0.9488178491592407,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0389,0.7149615287780762,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0205,0.7264258861541748,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0078,0.27631381154060364,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0168,0.43696996569633484,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0187,0.4499397873878479,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0137,0.3569284677505493,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0354,1.477617859840393,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.6549707601838086,0.6549707601838086,6.942,14.405,0.144,,,,,,
101,2.02,0.0043,0.1849331110715866,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.0045,0.18598690629005432,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.0188,0.963876485824585,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0204,0.7010324597358704,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.0105,1.0617085695266724,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0054,0.13708218932151794,1.71875e-05,,,,,,,,,,,
107,2.14,0.022,2.1579878330230713,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0236,1.3879741430282593,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0197,1.1232316493988037,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0187,0.5453011393547058,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.0401,0.4364248216152191,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0302,0.9756419658660889,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.0073,0.5079588890075684,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0349,1.4334567785263062,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.013,1.3362314701080322,1.6875e-05,,,,,,,,,,,
116,2.32,0.0079,0.4701492488384247,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.0116,0.4144231081008911,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.0087,0.48460397124290466,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.0234,1.472556471824646,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0384,1.1312909126281738,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.0062,0.16246221959590912,1.6666666666666667e-05,,,,,,,,,,,
122,2.44,0.0182,0.40815895795822144,1.6631944444444445e-05,,,,,,,,,,,
123,2.46,0.0048,0.24432292580604553,1.6597222222222225e-05,,,,,,,,,,,
124,2.48,0.0178,1.382636547088623,1.6562500000000003e-05,,,,,,,,,,,
125,2.5,0.0228,0.7826620936393738,1.6527777777777777e-05,,,,,,,,,,,
125,2.5,,,,0.6996587030215774,0.6996587030215774,7.0973,14.09,0.141,,,,,,
126,2.52,0.0123,0.3501041829586029,1.6493055555555557e-05,,,,,,,,,,,
127,2.54,0.0085,0.34026631712913513,1.6458333333333335e-05,,,,,,,,,,,
128,2.56,0.0027,0.3672797381877899,1.6423611111111112e-05,,,,,,,,,,,
129,2.58,0.0411,1.4843229055404663,1.638888888888889e-05,,,,,,,,,,,
130,2.6,0.0129,0.8749537467956543,1.635416666666667e-05,,,,,,,,,,,
131,2.62,0.0091,0.45933762192726135,1.6319444444444444e-05,,,,,,,,,,,
132,2.64,0.0131,0.39645621180534363,1.6284722222222225e-05,,,,,,,,,,,
