step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,2.3788,18.740398406982422,0.0,,,,,,,,,,,
2,0.008,2.3665,18.476533889770508,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,2.4448,19.430021286010742,4.62224232422701e-06,,,,,,,,,,,
4,0.017,2.4833,19.50433349609375,5.832620421144215e-06,,,,,,,,,,,
5,0.021,2.256,16.373353958129883,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,1.7074,11.290572166442871,7.538552534799117e-06,,,,,,,,,,,
7,0.029,1.235,9.564844131469727,8.187117823896454e-06,,,,,,,,,,,
8,0.033,1.0176,8.101189613342285,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.6483,8.011398315429688,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.5085,4.7005228996276855,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.3853,4.504425048828125,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.3443,17.28043556213379,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.4817,17.13188362121582,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.3078,7.564196586608887,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.2552,3.441662073135376,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.292,12.921849250793457,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.2062,2.909667491912842,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.227,5.098114013671875,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.2164,3.5387747287750244,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.1724,2.383305311203003,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.1851,2.396841526031494,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.1548,2.682068109512329,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.1506,2.2174975872039795,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.1369,1.9130511283874512,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.1128,1.190033197402954,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.1158,2.25343656539917,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.0906,1.5522955656051636,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.0881,1.848695158958435,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.0691,1.4860187768936157,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.0852,2.0382466316223145,1.4310015146133373e-05,,,,,,,,,,,
31,0.129,0.0949,1.4892455339431763,1.4447973285159907e-05,,,,,,,,,,,
32,0.133,0.0727,1.722440242767334,1.4581551052860538e-05,,,,,,,,,,,
33,0.138,0.0861,1.8644680976867676,1.4711018076434953e-05,,,,,,,,,,,
34,0.142,0.1016,3.173729658126831,1.4836619829844551e-05,,,,,,,,,,,
35,0.146,0.0729,1.9361120462417603,1.495858043523071e-05,,,,,,,,,,,
36,0.15,0.0579,0.7167642712593079,1.5077105069598234e-05,,,,,,,,,,,
37,0.154,0.0738,1.3142887353897095,1.5192382041682938e-05,,,,,,,,,,,
38,0.158,0.0738,1.4476144313812256,1.530458459179782e-05,,,,,,,,,,,
39,0.163,0.0735,0.92682284116745,1.541387245784845e-05,,,,,,,,,,,
40,0.167,0.0648,2.0050735473632812,1.552039324305058e-05,,,,,,,,,,,
41,0.171,0.0731,0.8939312696456909,1.5624283614738782e-05,,,,,,,,,,,
42,0.175,0.075,1.5895640850067139,1.5725670358695572e-05,,,,,,,,,,,
43,0.179,0.0783,2.1902339458465576,1.582467130940528e-05,,,,,,,,,,,
44,0.183,0.0566,0.8442665338516235,1.592139617335216e-05,,,,,,,,,,,
45,0.188,0.0521,0.7952268719673157,1.6015947259788277e-05,,,,,,,,,,,
46,0.192,0.0589,1.654323935508728,1.610842013117671e-05,,,,,,,,,,,
47,0.196,0.044,1.0716522932052612,1.619890418367749e-05,,,,,,,,,,,
48,0.2,0.0536,0.8729448318481445,1.6287483166515442e-05,,,,,,,,,,,
49,0.204,0.0532,1.2327466011047363,1.6374235647792908e-05,,,,,,,,,,,
50,0.208,0.0748,1.0578523874282837,1.645923543324062e-05,,,,,,,,,,,
51,0.212,0.0553,0.6828436255455017,1.6542551943499452e-05,,,,,,,,,,,
52,0.217,0.058,1.1377668380737305,1.6624250554765654e-05,,,,,,,,,,,
53,0.221,0.0629,0.8240914344787598,1.6704392906987488e-05,,,,,,,,,,,
54,0.225,0.0519,0.8692372441291809,1.6783037183253138e-05,,,,,,,,,,,
55,0.229,0.0473,0.5163893699645996,1.68602383635422e-05,,,,,,,,,,,
56,0.233,0.0472,0.8973109722137451,1.6936048455612778e-05,,,,,,,,,,,
57,0.237,0.0657,1.0449837446212769,1.701051670545272e-05,,,,,,,,,,,
58,0.242,0.0649,0.8448473811149597,1.7083689789427894e-05,,,,,,,,,,,
59,0.246,0.05,0.8964763283729553,1.715561199000498e-05,,,,,,,,,,,
60,0.25,0.046,0.7518930435180664,1.722632535670548e-05,,,,,,,,,,,
61,0.254,0.0422,0.48539280891418457,1.7295869853755882e-05,,,,,,,,,,,
62,0.258,0.0482,0.938161313533783,1.7364283495732015e-05,,,,,,,,,,,
63,0.263,0.0581,0.838640034198761,1.7431602472350474e-05,,,,,,,,,,,
64,0.267,0.0402,0.46983712911605835,1.7497861263432645e-05,,,,,,,,,,,
65,0.271,0.0425,0.6793253421783447,1.7563092744955695e-05,,,,,,,,,,,
66,0.275,0.0582,1.1320207118988037,1.7627328287007058e-05,,,,,,,,,,,
67,0.279,0.0299,0.4982931911945343,1.7690597844373092e-05,,,,,,,,,,,
68,0.283,0.0595,0.6623626351356506,1.775293004041666e-05,,,,,,,,,,,
69,0.287,0.0554,0.734132707118988,1.7814352244831613e-05,,,,,,,,,,,
70,0.292,0.0331,0.4407866597175598,1.787489064580282e-05,,,,,,,,,,,
71,0.296,0.055,0.5156388282775879,1.7934570317047912e-05,,,,,,,,,,,
72,0.3,0.0373,0.405908465385437,1.799341528017034e-05,,,,,,,,,,,
73,0.304,0.0519,0.7177050709724426,1.8051448562711786e-05,,,,,,,,,,,
74,0.308,0.0514,0.45417067408561707,1.8108692252255048e-05,,,,,,,,,,,
75,0.312,0.0447,0.5667205452919006,1.8165167546895523e-05,,,,,,,,,,,
76,0.317,0.0466,0.6445428729057312,1.8220894802369927e-05,,,,,,,,,,,
77,0.321,0.0424,0.483544260263443,1.82758935761044e-05,,,,,,,,,,,
78,0.325,0.0293,0.35778704285621643,1.8330182668420557e-05,,,,,,,,,,,
79,0.329,0.0509,0.8614144921302795,1.8383780161116766e-05,,,,,,,,,,,
80,0.333,0.0322,0.41251859068870544,1.8436703453622685e-05,,,,,,,,,,,
81,0.338,0.0614,0.5790541768074036,1.848896929690804e-05,,,,,,,,,,,
82,0.342,0.0429,0.5490440726280212,1.854059382531089e-05,,,,,,,,,,,
83,0.346,0.0468,0.5562012791633606,1.8591592586436842e-05,,,,,,,,,,,
84,0.35,0.0431,0.47664493322372437,1.864198056926768e-05,,,,,,,,,,,
85,0.354,0.0494,0.785175621509552,1.8691772230606698e-05,,,,,,,,,,,
86,0.358,0.0515,0.5669575333595276,1.874098151997739e-05,,,,,,,,,,,
87,0.362,0.074,0.687531590461731,1.87896219030828e-05,,,,,,,,,,,
88,0.367,0.0471,0.5558357834815979,1.8837706383924267e-05,,,,,,,,,,,
89,0.371,0.0489,0.44768548011779785,1.888524752567045e-05,,,,,,,,,,,
90,0.375,0.0407,0.7124254703521729,1.893225747036038e-05,,,,,,,,,,,
91,0.379,0.0441,0.5303129553794861,1.8978747957517892e-05,,,,,,,,,,,
