step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.6055,10.77296257019043,0.0,,,,,,,,,,,
2,0.007,1.7754,10.635885238647461,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.7109,12.43911075592041,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.916,12.478270530700684,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.6426,11.641711235046387,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,1.8398,13.161834716796875,7.180778171315261e-06,,,,,,,,,,,
7,0.023,1.7012,11.02784538269043,7.798563011193284e-06,,,,,,,,,,,
8,0.026,1.623,10.790818214416504,8.33371258110548e-06,,,,,,,,,,,
9,0.029,1.3965,8.948561668395996,8.805747955226869e-06,,,,,,,,,,,
10,0.033,1.4688,9.535283088684082,9.227997985963526e-06,,,,,,,,,,,
11,0.036,1.3594,7.8271684646606445,9.609969601237248e-06,,,,,,,,,,,
12,0.039,1.2695,7.37033748626709,9.958682365017088e-06,,,,,,,,,,,
13,0.042,1.0479,5.145033359527588,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.999,4.831915855407715,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.8662,4.308579444885254,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.9287,4.572157382965088,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.9346,4.313044548034668,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.7539,4.106860637664795,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.6592,2.7309648990631104,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.6396,2.673224687576294,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.5923,2.2664527893066406,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.5391,2.2472102642059326,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.6533,3.3856942653656006,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.4688,1.7530322074890137,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.4688,1.8953700065612793,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.458,1.72123384475708,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.4473,1.6047102212905884,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.3906,1.6415342092514038,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.3242,1.5712991952896118,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.3354,1.3098399639129639,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.3003,1.2330498695373535,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.291,1.3884248733520508,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.3223,1.1761279106140137,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.2891,1.0443053245544434,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.2712,1.1520259380340576,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.2764,1.6825677156448364,1.4361556342630522e-05,,,,,,,,,,,
