step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.1922,36.04014205932617,0.0,,,,,,,,,,,
2,0.08,1.3004,38.166629791259766,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.3106,40.61458969116211,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.9317,26.068653106689453,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.632,13.76897144317627,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.8141,32.55388259887695,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4055,31.054828643798828,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3145,13.774242401123047,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2484,15.665491104125977,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.395,22.805845260620117,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.5062,48.75537109375,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2548,16.408985137939453,2e-05,,,,,,,,,,,
12,0.48,,,,0.02752293575810117,0.02752293575810117,6.9315,14.427,0.144,,,,,,
13,0.52,0.1575,5.102804183959961,2e-05,,,,,,,,,,,
14,0.56,0.1861,8.050263404846191,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.141,16.497041702270508,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1852,16.116609573364258,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1533,9.450871467590332,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1404,7.611482620239258,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1627,12.377374649047852,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1554,9.606200218200684,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1046,7.466798782348633,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0989,4.71769905090332,1.9375e-05,,,,,,,,,,,
23,0.92,0.1031,8.189679145812988,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0889,4.645886421203613,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.1438,11.331504821777344,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.40489130429778836,0.40489130429778836,6.7125,14.897,0.149,,,,,,
26,1.04,0.0697,4.324282169342041,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.1025,6.130111217498779,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0601,4.858145236968994,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0697,6.222798824310303,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0601,4.462920665740967,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0637,8.274832725524902,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0312,5.199079513549805,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0645,4.453146457672119,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0289,2.510378837585449,1.854166666666667e-05,,,,,,,,,,,
