step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.7481,47.49895095825195,0.0,,,,,,,,,,,
2,0.007,2.0613,57.13911056518555,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.8215,49.01430892944336,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.8686,49.66111373901367,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.4438,34.90387725830078,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.9967,29.00836944580078,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.5973,25.867759704589844,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.4141,12.045085906982422,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.301,13.389055252075195,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.2412,11.543644905090332,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.1911,13.801164627075195,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.2487,23.225053787231445,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.1182,8.734262466430664,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.1931,15.411449432373047,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.2006,12.534332275390625,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.126,9.550004005432129,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1731,12.74273681640625,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0913,5.847799301147461,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.1134,5.757483005523682,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.1039,4.300063610076904,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0937,7.119556903839111,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0835,6.232299327850342,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0775,5.230423927307129,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0461,3.140451669692993,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.0546,2.883758544921875,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0568,3.3077664375305176,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0474,3.064720392227173,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.0891,6.796510219573975,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0699,4.413012981414795,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0706,3.0152974128723145,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0661,3.0752499103546143,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0559,1.892950415611267,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0466,2.209940195083618,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0438,2.6436562538146973,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0515,3.1223044395446777,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0435,3.1247434616088867,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0262,2.2360737323760986,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0547,3.565541982650757,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0478,2.2737526893615723,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0662,2.9521772861480713,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0793,5.055357456207275,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0342,3.3175852298736572,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0429,2.1744866371154785,1.5073643618223373e-05,,,,,,,,,,,
