step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.8044,19.348421096801758,0.0,,,,,,,,,,,
2,0.08,0.7447,17.276905059814453,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.7318,16.343416213989258,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.9687,28.37667465209961,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.4684,13.823116302490234,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.6557,53.231937408447266,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.3629,16.759803771972656,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.2347,12.494967460632324,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.1906,14.441716194152832,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.132,9.371199607849121,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1825,9.594503402709961,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1173,6.730611324310303,2e-05,,,,,,,,,,,
12,0.48,,,,0.06153846151187278,0.06153846151187278,12.4352,8.042,0.08,,,,,,
13,0.52,0.2011,8.370434761047363,2e-05,,,,,,,,,,,
14,0.56,0.0614,4.157943248748779,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0993,6.634366989135742,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1138,5.346848487854004,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0347,1.3969651460647583,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0981,4.457993984222412,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0664,4.44842004776001,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0673,2.461266279220581,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0609,3.9853382110595703,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0787,2.9219534397125244,1.9375e-05,,,,,,,,,,,
23,0.92,0.0389,3.2837703227996826,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0702,3.752964735031128,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0527,4.429445266723633,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.5748633879281072,0.5748633879281072,12.0853,8.275,0.083,,,,,,
26,1.04,0.0677,3.548685312271118,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0379,1.7299693822860718,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.1141,7.77216911315918,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0336,2.285447120666504,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0546,4.2473835945129395,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0633,8.85592269897461,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0592,5.0742669105529785,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0426,4.631123065948486,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0217,1.7695417404174805,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0219,2.172698497772217,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0997,4.7749786376953125,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.1012,3.2389297485351562,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0429,8.123600006103516,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.601941747522837,0.601941747522837,12.0904,8.271,0.083,,,,,,
39,1.56,0.0414,2.7474193572998047,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0211,1.7070269584655762,1.8125e-05,,,,,,,,,,,
41,1.64,0.0702,2.7155728340148926,1.8055555555555558e-05,,,,,,,,,,,
