step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.6642,18.520023345947266,0.0,,,,,,,,,,,
2,0.04,0.5524,16.798994064331055,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.4783,12.14057731628418,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.4956,15.855350494384766,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.3304,11.2557373046875,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.1743,10.25252914428711,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.1601,10.500160217285156,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.1206,9.43478775024414,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.1388,12.399209976196289,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.1266,8.823759078979492,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1392,9.969584465026855,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.0809,6.995096206665039,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1537,9.26723575592041,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1743,13.06722640991211,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0458,2.9605774879455566,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.045,3.2001049518585205,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0751,3.8218417167663574,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0658,2.7289013862609863,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0717,8.893919944763184,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0525,3.2120418548583984,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1025,5.064721584320068,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0321,4.139920234680176,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0231,1.627845048904419,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0863,4.455450534820557,2e-05,,,,,,,,,,,
25,0.5,0.0582,3.891139030456543,2e-05,,,,,,,,,,,
25,0.5,,,,0.6524590163433518,0.6524590163433518,12.3222,8.115,0.081,,,,,,
26,0.52,0.0165,1.5372366905212402,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0471,2.2101833820343018,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0269,4.098759174346924,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0364,2.4967284202575684,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0594,1.9259413480758667,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.0628,2.725165843963623,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.1217,28.497682571411133,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0847,6.456695079803467,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0675,2.385946750640869,1.96875e-05,,,,,,,,,,,
35,0.7,0.0575,4.606921195983887,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0429,4.276962757110596,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0245,1.1566463708877563,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0422,7.3046040534973145,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0678,4.8783135414123535,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0165,2.2013442516326904,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0565,2.707077741622925,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0496,1.9826465845108032,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0648,5.35157585144043,1.9375e-05,,,,,,,,,,,
44,0.88,0.0421,3.3579883575439453,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0193,1.483597993850708,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0126,0.7961825132369995,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0298,2.988271474838257,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0981,3.6522955894470215,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0559,2.3978378772735596,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0333,2.0285847187042236,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.725085910602839,0.725085910602839,12.384,8.075,0.081,,,,,,
51,1.02,0.0073,0.7176942229270935,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0493,2.7963767051696777,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.033,5.333988666534424,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0083,0.7277467846870422,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0059,0.6891814470291138,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0323,1.465145468711853,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0445,3.865424633026123,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.1396,6.317400932312012,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0408,7.212393760681152,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0233,4.05828857421875,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0282,2.2787320613861084,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0326,3.0091423988342285,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0546,2.930338144302368,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0349,1.1641290187835693,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0122,0.6675346493721008,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0175,2.0963399410247803,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.0157,2.1687800884246826,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0444,3.8134772777557373,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0123,1.209409236907959,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0053,2.5721144676208496,1.84375e-05,,,,,,,,,,,
71,1.42,0.0317,2.487142562866211,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0879,4.325249671936035,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0243,1.3115170001983643,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0267,2.238551616668701,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0045,0.45221617817878723,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.7596153845653432,0.7596153845653432,9.9971,10.003,0.1,,,,,,
76,1.52,0.0369,2.0210306644439697,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0242,1.3656460046768188,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0157,3.174607276916504,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0177,2.9263415336608887,1.8125e-05,,,,,,,,,,,
80,1.6,0.027,2.7354960441589355,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0093,3.538835287094116,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0321,1.8329776525497437,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0485,2.654780149459839,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.023,0.8010185956954956,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0186,1.376336693763733,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0545,4.334969520568848,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0238,1.4651083946228027,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.021,3.1219022274017334,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0172,0.8673049807548523,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0217,0.7476164102554321,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0159,0.9823804497718811,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0194,2.8100335597991943,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0284,4.99398136138916,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0255,0.9029586911201477,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0147,1.2591795921325684,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0055,0.46201232075691223,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0333,2.6128780841827393,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0366,3.123231887817383,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.011,1.5490624904632568,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0123,1.0106220245361328,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.7629204265290529,0.7629204265290529,10.3089,9.7,0.097,,,,,,
101,2.02,0.0109,1.1497503519058228,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.015,2.9742090702056885,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.0212,1.8040915727615356,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0202,1.2837331295013428,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.0125,2.198953151702881,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0084,0.4486033320426941,1.71875e-05,,,,,,,,,,,
107,2.14,0.0269,13.486881256103516,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0219,1.5169156789779663,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0086,1.132105827331543,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0221,1.9908578395843506,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.0141,1.078373908996582,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0153,1.3052623271942139,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.002,0.4588824212551117,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0064,0.8305915594100952,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.0096,1.4167932271957397,1.6875e-05,,,,,,,,,,,
116,2.32,0.0451,3.8600046634674072,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.0095,0.7400001883506775,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.0174,1.2584301233291626,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.0162,1.2674707174301147,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0322,1.4210504293441772,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.0447,2.496441125869751,1.6666666666666667e-05,,,,,,,,,,,
122,2.44,0.0147,1.4108039140701294,1.6631944444444445e-05,,,,,,,,,,,
123,2.46,0.0211,1.4756970405578613,1.6597222222222225e-05,,,,,,,,,,,
124,2.48,0.055,2.957315444946289,1.6562500000000003e-05,,,,,,,,,,,
125,2.5,0.0153,3.627671480178833,1.6527777777777777e-05,,,,,,,,,,,
125,2.5,,,,0.7226890755801328,0.7226890755801328,10.2879,9.72,0.097,,,,,,
126,2.52,0.007,0.7561055421829224,1.6493055555555557e-05,,,,,,,,,,,
127,2.54,0.0191,1.1093279123306274,1.6458333333333335e-05,,,,,,,,,,,
128,2.56,0.005,1.1495836973190308,1.6423611111111112e-05,,,,,,,,,,,
129,2.58,0.0263,3.061800241470337,1.638888888888889e-05,,,,,,,,,,,
130,2.6,0.0047,0.6845199465751648,1.635416666666667e-05,,,,,,,,,,,
131,2.62,0.0014,0.12560652196407318,1.6319444444444444e-05,,,,,,,,,,,
132,2.64,0.0364,1.1336147785186768,1.6284722222222225e-05,,,,,,,,,,,
133,2.66,0.0038,0.43667975068092346,1.6250000000000002e-05,,,,,,,,,,,
134,2.68,0.0027,1.2931511402130127,1.621527777777778e-05,,,,,,,,,,,
135,2.7,0.0131,4.070131778717041,1.6180555555555557e-05,,,,,,,,,,,
136,2.72,0.0239,3.5539116859436035,1.6145833333333334e-05,,,,,,,,,,,
137,2.74,0.0086,1.085451364517212,1.6111111111111115e-05,,,,,,,,,,,
138,2.76,0.0068,0.6749175190925598,1.607638888888889e-05,,,,,,,,,,,
139,2.78,0.0176,1.889615774154663,1.604166666666667e-05,,,,,,,,,,,
140,2.8,0.0011,0.11756651848554611,1.6006944444444447e-05,,,,,,,,,,,
141,2.82,0.0186,0.8977107405662537,1.5972222222222224e-05,,,,,,,,,,,
142,2.84,0.0267,0.9504170417785645,1.59375e-05,,,,,,,,,,,
143,2.86,0.0137,0.7801757454872131,1.590277777777778e-05,,,,,,,,,,,
144,2.88,0.0036,0.4984774589538574,1.5868055555555556e-05,,,,,,,,,,,
145,2.9,0.0038,0.3061317205429077,1.5833333333333333e-05,,,,,,,,,,,
146,2.92,0.0036,0.6233999729156494,1.5798611111111114e-05,,,,,,,,,,,
147,2.94,0.012,0.8294080495834351,1.576388888888889e-05,,,,,,,,,,,
148,2.96,0.0283,2.4124584197998047,1.572916666666667e-05,,,,,,,,,,,
149,2.98,0.003,0.7289482355117798,1.5694444444444446e-05,,,,,,,,,,,
150,3.0,0.0047,0.4826815128326416,1.5659722222222223e-05,,,,,,,,,,,
150,3.0,,,,0.7862190812221158,0.7862190812221158,9.5742,10.445,0.104,,,,,,
151,3.02,0.0025,0.6230213046073914,1.5625e-05,,,,,,,,,,,
152,3.04,0.0065,1.2177046537399292,1.5590277777777778e-05,,,,,,,,,,,
153,3.06,0.0481,1.8361537456512451,1.555555555555556e-05,,,,,,,,,,,
154,3.08,0.0191,4.21455717086792,1.5520833333333332e-05,,,,,,,,,,,
155,3.1,0.0006,0.16669350862503052,1.5486111111111113e-05,,,,,,,,,,,
156,3.12,0.0105,0.8138686418533325,1.545138888888889e-05,,,,,,,,,,,
157,3.14,0.0052,1.384261131286621,1.5416666666666668e-05,,,,,,,,,,,
158,3.16,0.0152,1.8878613710403442,1.5381944444444445e-05,,,,,,,,,,,
159,3.18,0.004,1.382910132408142,1.5347222222222226e-05,,,,,,,,,,,
160,3.2,0.0078,1.2243071794509888,1.5312500000000003e-05,,,,,,,,,,,
