step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.3223,21.323749542236328,0.0,,,,,,,,,,,
2,0.08,1.1523,19.124374389648438,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.2188,20.988454818725586,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.4961,28.908245086669922,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.0273,15.517945289611816,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.7363,17.023042678833008,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.457,8.910992622375488,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3167,8.268539428710938,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2126,4.614216327667236,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2539,12.732510566711426,1.853256816058254e-05,,,,,,,,,,,
11,0.44,1.2803,51.80154800415039,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.5942,22.872705459594727,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,8.4491,11.836,0.118,,,,,,
13,0.52,0.4976,210.56930541992188,2e-05,,,,,,,,,,,
14,0.56,0.2815,10.160687446594238,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1627,7.899542331695557,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.172,5.609796047210693,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1094,3.2682275772094727,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1595,4.236275672912598,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0975,2.6514952182769775,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1221,3.12689208984375,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0874,2.9791712760925293,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1192,3.1516873836517334,1.9375e-05,,,,,,,,,,,
23,0.92,0.0968,3.707487106323242,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.15,3.872607707977295,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.103,3.2790400981903076,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.159244264459039,0.159244264459039,6.3858,15.66,0.157,,,,,,
26,1.04,0.1262,3.4499504566192627,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.127,3.1305620670318604,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0704,1.676741361618042,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0565,2.4779887199401855,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0745,2.4578146934509277,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0639,2.269460678100586,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.049,1.3656370639801025,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0676,1.1943941116333008,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0697,1.6370127201080322,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.1096,3.2556300163269043,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0671,2.470102071762085,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0906,2.371819257736206,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0395,1.276334524154663,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.46265560161007163,0.46265560161007163,6.3581,15.728,0.157,,,,,,
39,1.56,0.0811,2.4879536628723145,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0702,2.426605224609375,1.8125e-05,,,,,,,,,,,
41,1.64,0.0848,2.1155855655670166,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.1081,3.6163251399993896,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.144,4.092300891876221,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0819,3.5642032623291016,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0955,6.641499042510986,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.076,2.3834495544433594,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0432,1.7280471324920654,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0554,2.3108246326446533,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0259,1.0994374752044678,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0325,0.9246494770050049,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.5086848634738241,0.5086848634738241,6.0593,16.504,0.165,,,,,,
51,2.04,0.0331,1.4681029319763184,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0269,1.373045563697815,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0813,3.9763288497924805,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0197,1.1349166631698608,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0592,2.1558151245117188,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.045,1.8632192611694336,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.064,1.6369487047195435,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0305,1.2762672901153564,1.6875e-05,,,,,,,,,,,
59,2.36,0.0366,1.5584927797317505,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0685,1.7486170530319214,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0148,1.2999404668807983,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0159,1.3361973762512207,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.40938722289744806,0.40938722289744806,6.3438,15.763,0.158,,,,,,
63,2.52,0.0439,1.488539218902588,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0196,1.1026220321655273,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0384,4.566052436828613,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0169,1.3315380811691284,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.032,1.768578290939331,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0754,3.91599178314209,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0842,2.053800344467163,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0226,1.031796932220459,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0142,0.7079604864120483,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0483,1.2528432607650757,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0347,1.4699523448944092,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0317,0.8850430846214294,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0306,2.5888681411743164,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.4345794392022622,0.4345794392022622,6.383,15.667,0.157,,,,,,
76,3.04,0.0437,1.4671207666397095,1.5625e-05,,,,,,,,,,,
77,3.08,0.0317,1.980086088180542,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0251,0.9838896989822388,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0313,1.2133095264434814,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0026,0.3068132698535919,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.0046,0.2736269235610962,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.018,1.2008552551269531,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0183,0.8472177982330322,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0264,1.248156189918518,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0677,2.2889492511749268,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0132,0.8046006560325623,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0261,3.393972635269165,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.0295,3.1132750511169434,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.45444566405535275,0.45444566405535275,6.3552,15.735,0.157,,,,,,
89,3.56,0.0244,1.0073120594024658,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0098,0.8084098696708679,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0045,0.7768321633338928,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0125,0.5537683367729187,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0295,1.6090693473815918,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0033,0.2973673939704895,1.4375e-05,,,,,,,,,,,
95,3.8,0.0048,0.8927268385887146,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0103,0.8558164238929749,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0044,0.46184879541397095,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0039,0.5631786584854126,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.0013,0.13552813231945038,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.0139,0.9957085847854614,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.559456398590873,0.559456398590873,6.3598,15.724,0.157,,,,,,
101,4.04,0.0313,0.8951226472854614,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0007,0.11735416948795319,1.3819444444444446e-05,,,,,,,,,,,
103,4.12,0.001,0.18421326577663422,1.375e-05,,,,,,,,,,,
104,4.16,0.0068,1.119226098060608,1.3680555555555557e-05,,,,,,,,,,,
105,4.2,0.0006,0.055188316851854324,1.3611111111111113e-05,,,,,,,,,,,
106,4.24,0.0103,0.716541051864624,1.3541666666666668e-05,,,,,,,,,,,
107,4.28,0.0049,0.6218482851982117,1.3472222222222224e-05,,,,,,,,,,,
108,4.32,0.0008,0.09468664973974228,1.3402777777777779e-05,,,,,,,,,,,
109,4.36,0.0019,0.34335261583328247,1.3333333333333333e-05,,,,,,,,,,,
110,4.4,0.0151,0.8843917846679688,1.326388888888889e-05,,,,,,,,,,,
111,4.44,0.0271,3.770172119140625,1.3194444444444446e-05,,,,,,,,,,,
112,4.48,0.0009,0.1418495774269104,1.3125e-05,,,,,,,,,,,
112,4.48,,,,0.5498891352049086,0.5498891352049086,6.3448,15.761,0.158,,,,,,
113,4.52,0.0065,0.365728497505188,1.3055555555555557e-05,,,,,,,,,,,
114,4.56,0.1122,3.430652141571045,1.2986111111111113e-05,,,,,,,,,,,
115,4.6,0.008,0.9320404529571533,1.2916666666666668e-05,,,,,,,,,,,
