step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.0977,19.699079513549805,0.0,,,,,,,,,,,
2,0.04,1.2773,20.78146743774414,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1045,17.501741409301758,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1289,20.9782657623291,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6953,15.237489700317383,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5513,13.570856094360352,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.4258,12.411075592041016,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.397,11.703350067138672,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2983,8.345015525817871,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.2976,9.112184524536133,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1816,3.671727180480957,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1801,4.840893268585205,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1436,3.491511344909668,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1296,6.410818099975586,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1138,4.291479110717773,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.126,4.21797513961792,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0892,3.3572990894317627,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.108,3.2271604537963867,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0663,2.0816850662231445,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.082,3.7972428798675537,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1772,5.333016872406006,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0689,3.383272171020508,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0683,1.9888787269592285,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0773,2.4369964599609375,2e-05,,,,,,,,,,,
25,0.5,0.0755,1.4010493755340576,2e-05,,,,,,,,,,,
25,0.5,,,,0.38176638171880584,0.38176638171880584,8.7543,11.423,0.114,,,,,,
26,0.52,0.0753,2.471487283706665,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.1051,2.039299249649048,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0378,1.3041309118270874,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.025,1.135153889656067,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0434,1.6593643426895142,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.1443,3.9741339683532715,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0725,2.943129062652588,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.1345,5.322317123413086,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0455,1.8673148155212402,1.96875e-05,,,,,,,,,,,
35,0.7,0.1034,2.2138144969940186,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0581,2.2845823764801025,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0775,3.2126259803771973,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0639,1.6188714504241943,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0902,2.5482566356658936,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.057,1.311440348625183,1.9479166666666668e-05,,,,,,,,,,,
