step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.6377,5.814748764038086,0.0,,,,,,,,,,,
2,0.08,1.0,8.582687377929688,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.752,7.893856048583984,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.6387,6.0712738037109375,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.5962,4.35896110534668,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.8174,10.392558097839355,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.5474,5.225543022155762,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.5156,4.690711975097656,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.3091,3.7576310634613037,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.4175,3.286435127258301,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.3308,2.9531869888305664,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.3477,3.9609639644622803,2e-05,,,,,,,,,,,
12,0.48,,,,0.026490066198720328,0.026490066198720328,17.4228,5.74,0.057,,,,,,
13,0.52,0.2563,3.288489580154419,2e-05,,,,,,,,,,,
14,0.56,0.2864,2.5572500228881836,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.2207,2.1109931468963623,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.2661,3.9303319454193115,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1531,1.909578800201416,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.218,2.333332061767578,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.2086,2.345425844192505,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.2026,2.839451789855957,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1587,1.8755685091018677,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1111,1.8344188928604126,1.9375e-05,,,,,,,,,,,
23,0.92,0.1545,2.176203489303589,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.131,1.181552529335022,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.1677,1.616366982460022,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.47772277222725773,0.47772277222725773,17.1233,5.84,0.058,,,,,,
26,1.04,0.1124,2.4824702739715576,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.1317,1.477512001991272,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.091,1.6931350231170654,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.1311,1.7728462219238281,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.1208,1.3422569036483765,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.1082,1.5481024980545044,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0405,0.7409307360649109,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.1025,1.5459028482437134,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0777,1.158490777015686,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.1143,1.6425637006759644,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0909,1.264648199081421,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.116,1.815022587776184,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.1016,1.121627688407898,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.5011764705386292,0.5011764705386292,16.6224,6.016,0.06,,,,,,
39,1.56,0.0742,1.4477545022964478,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0894,1.4113295078277588,1.8125e-05,,,,,,,,,,,
41,1.64,0.1259,2.7356154918670654,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0537,1.3204065561294556,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.061,1.2078633308410645,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0883,1.6228035688400269,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.1464,2.7724452018737793,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0728,1.0251095294952393,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0714,1.0280835628509521,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0552,1.124556064605713,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0637,0.7725147604942322,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0521,1.2253228425979614,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.5407319952278022,0.5407319952278022,16.961,5.896,0.059,,,,,,
51,2.04,0.0699,0.8891287446022034,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0511,1.389275312423706,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0761,1.6922380924224854,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0492,0.7219135165214539,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0428,1.5726892948150635,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.04,0.9493314623832703,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.046,0.9981780052185059,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0379,0.6602417230606079,1.6875e-05,,,,,,,,,,,
59,2.36,0.0423,1.4019479751586914,1.6805555555555558e-05,,,,,,,,,,,
