step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.835,48.44796371459961,0.0,,,,,,,,,,,
2,0.008,1.8186,48.21455383300781,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,1.7801,50.78706359863281,4.62224232422701e-06,,,,,,,,,,,
4,0.017,1.7833,46.084381103515625,5.832620421144215e-06,,,,,,,,,,,
5,0.021,1.4604,38.635868072509766,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,0.9352,25.059650421142578,7.538552534799117e-06,,,,,,,,,,,
7,0.029,0.6214,24.927188873291016,8.187117823896454e-06,,,,,,,,,,,
8,0.033,0.4222,10.704455375671387,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.3404,15.492696762084961,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.3157,15.685872077941895,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.2357,9.311263084411621,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.2561,12.52016544342041,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.1721,6.098864555358887,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.1905,11.297419548034668,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.1515,5.538381576538086,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.0998,4.47490930557251,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.1154,6.2525715827941895,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.1629,7.949573040008545,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.0924,4.364047527313232,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.108,3.499420166015625,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.1128,5.83128547668457,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.0893,4.726773262023926,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.0781,4.626464366912842,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.0758,3.416255474090576,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.0855,6.238329887390137,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.0577,2.1965527534484863,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.0857,5.2698469161987305,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.0817,4.778371810913086,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.0474,3.2459046840667725,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.0568,3.075180768966675,1.4310015146133373e-05,,,,,,,,,,,
31,0.129,0.1266,4.919702053070068,1.4447973285159907e-05,,,,,,,,,,,
32,0.133,0.0601,3.680513620376587,1.4581551052860538e-05,,,,,,,,,,,
33,0.138,0.0807,4.262368202209473,1.4711018076434953e-05,,,,,,,,,,,
34,0.142,0.0527,2.6442131996154785,1.4836619829844551e-05,,,,,,,,,,,
35,0.146,0.0662,4.59641170501709,1.495858043523071e-05,,,,,,,,,,,
36,0.15,0.0643,5.173828601837158,1.5077105069598234e-05,,,,,,,,,,,
37,0.154,0.096,4.445256233215332,1.5192382041682938e-05,,,,,,,,,,,
38,0.158,0.0461,1.526586890220642,1.530458459179782e-05,,,,,,,,,,,
39,0.163,0.0749,2.712557077407837,1.541387245784845e-05,,,,,,,,,,,
40,0.167,0.0799,3.7299671173095703,1.552039324305058e-05,,,,,,,,,,,
41,0.171,0.0884,2.4890856742858887,1.5624283614738782e-05,,,,,,,,,,,
42,0.175,0.0673,2.8127481937408447,1.5725670358695572e-05,,,,,,,,,,,
43,0.179,0.0841,3.450326681137085,1.582467130940528e-05,,,,,,,,,,,
44,0.183,0.0703,1.875715970993042,1.592139617335216e-05,,,,,,,,,,,
45,0.188,0.0735,1.8064138889312744,1.6015947259788277e-05,,,,,,,,,,,
46,0.192,0.0549,2.0531699657440186,1.610842013117671e-05,,,,,,,,,,,
47,0.196,0.0512,2.402275323867798,1.619890418367749e-05,,,,,,,,,,,
48,0.2,0.0622,1.7520837783813477,1.6287483166515442e-05,,,,,,,,,,,
49,0.204,0.0495,1.7000283002853394,1.6374235647792908e-05,,,,,,,,,,,
50,0.208,0.0844,3.1660125255584717,1.645923543324062e-05,,,,,,,,,,,
51,0.212,0.0493,1.2867923974990845,1.6542551943499452e-05,,,,,,,,,,,
52,0.217,0.0475,1.6550885438919067,1.6624250554765654e-05,,,,,,,,,,,
53,0.221,0.0559,2.2201287746429443,1.6704392906987488e-05,,,,,,,,,,,
54,0.225,0.0544,2.9753358364105225,1.6783037183253138e-05,,,,,,,,,,,
55,0.229,0.0653,3.074294090270996,1.68602383635422e-05,,,,,,,,,,,
56,0.233,0.0617,2.220520496368408,1.6936048455612778e-05,,,,,,,,,,,
57,0.237,0.1165,3.6335673332214355,1.701051670545272e-05,,,,,,,,,,,
58,0.242,0.0935,3.202014446258545,1.7083689789427894e-05,,,,,,,,,,,
59,0.246,0.0656,2.036029100418091,1.715561199000498e-05,,,,,,,,,,,
