step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.7565,16.921167373657227,0.0,,,,,,,,,,,
2,0.08,0.6474,17.250999450683594,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.5879,18.21280288696289,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.4404,12.732637405395508,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.3297,12.017325401306152,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.2754,18.161087036132812,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.2523,21.237573623657227,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.2176,11.748743057250977,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0929,8.22297191619873,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.1038,9.171286582946777,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1256,6.886548042297363,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.0632,5.945677280426025,2e-05,,,,,,,,,,,
12,0.48,,,,0.46045418945674754,0.46045418945674754,11.9209,8.389,0.084,,,,,,
13,0.52,0.0966,10.921388626098633,2e-05,,,,,,,,,,,
14,0.56,0.2547,18.18394660949707,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1592,24.5930233001709,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0943,9.061698913574219,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0755,4.166682720184326,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1277,11.36288833618164,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1501,8.44369888305664,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0894,6.479287624359131,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0694,3.4619765281677246,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1028,8.524930000305176,1.9375e-05,,,,,,,,,,,
23,0.92,0.0457,2.774470329284668,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0498,3.1092140674591064,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0435,4.621075630187988,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.604724409398922,0.604724409398922,9.4211,10.614,0.106,,,,,,
26,1.04,0.0242,1.8239760398864746,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0138,1.643735408782959,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0092,0.9226607084274292,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0907,6.015314102172852,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0793,5.195573806762695,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0821,6.8314690589904785,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0378,5.14748477935791,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0807,5.359806060791016,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0674,6.908108234405518,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0333,3.4830591678619385,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.026,3.804598569869995,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0499,3.7976956367492676,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0529,2.940070152282715,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.46731780611072127,0.46731780611072127,11.1639,8.957,0.09,,,,,,
39,1.56,0.0386,3.4957685470581055,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0195,2.1158623695373535,1.8125e-05,,,,,,,,,,,
41,1.64,0.0428,2.2065999507904053,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0758,5.773217678070068,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0363,3.109386920928955,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0367,2.56296706199646,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0202,1.6095619201660156,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0676,2.786498785018921,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.033,1.877474308013916,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0933,5.704701900482178,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0428,2.7529895305633545,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0198,4.974128723144531,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.6222990492166252,0.6222990492166252,11.093,9.015,0.09,,,,,,
51,2.04,0.0257,2.213113784790039,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0147,3.234591007232666,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0085,1.4668747186660767,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0585,12.574719429016113,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0233,9.205301284790039,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0847,7.111903190612793,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0544,5.01578950881958,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0148,2.53277325630188,1.6875e-05,,,,,,,,,,,
59,2.36,0.0721,2.855825185775757,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0108,1.2785667181015015,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0503,2.3280575275421143,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0597,2.313880205154419,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.6066350710401717,0.6066350710401717,8.0753,12.383,0.124,,,,,,
63,2.52,0.0219,2.4602527618408203,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0241,2.626554012298584,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0643,3.315063238143921,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0378,2.958876848220825,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0216,1.88163161277771,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0416,4.528594017028809,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0324,2.23629093170166,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0175,1.837281584739685,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0437,3.210498571395874,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0279,2.1106269359588623,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0338,2.304280996322632,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0252,3.495713472366333,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0388,2.0156567096710205,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.6687747035074323,0.6687747035074323,11.1112,9.0,0.09,,,,,,
