step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,2.6875,58.32579803466797,0.0,,,,,,,,,,,
2,0.007,2.9258,32.90707778930664,2.8391370018663067e-06,,,,,,,,,,,
3,0.011,2.3047,37.643592834472656,4.499925682367988e-06,,,,,,,,,,,
4,0.015,1.7344,39.64255142211914,5.678274003732613e-06,,,,,,,,,,,
5,0.018,2.2461,43.91764450073242,6.59227196986765e-06,,,,,,,,,,,
6,0.022,3.1641,32.02207946777344,7.339062684234294e-06,,,,,,,,,,,
7,0.025,1.8926,49.52302932739258,7.970465236585245e-06,,,,,,,,,,,
8,0.029,2.7148,53.504878997802734,8.517411005598921e-06,,,,,,,,,,,
9,0.033,2.0176,23.400724411010742,8.999851364735976e-06,,,,,,,,,,,
10,0.036,1.7783,35.951255798339844,9.43140897173396e-06,,,,,,,,,,,
11,0.04,1.4209,35.091529846191406,9.821800313899402e-06,,,,,,,,,,,
12,0.044,2.001,25.994871139526367,1.01781996861006e-05,,,,,,,,,,,
13,0.047,1.3164,17.884891510009766,1.0506055326950102e-05,,,,,,,,,,,
14,0.051,1.4131,24.768043518066406,1.0809602238451551e-05,,,,,,,,,,,
15,0.055,1.5615,11.217267036437988,1.109219765223564e-05,,,,,,,,,,,
16,0.058,0.6299,22.59369659423828,1.1356548007465227e-05,,,,,,,,,,,
17,0.062,1.0073,18.9196720123291,1.1604866996347426e-05,,,,,,,,,,,
18,0.065,0.8203,18.15895652770996,1.1838988366602282e-05,,,,,,,,,,,
19,0.069,0.2311,14.37466812133789,1.2060448184663616e-05,,,,,,,,,,,
20,0.073,0.1578,12.42923355102539,1.2270545973600265e-05,,,,,,,,,,,
21,0.076,0.4404,5.605878829956055,1.2470390918953232e-05,,,,,,,,,,,
22,0.08,0.5977,7.104940891265869,1.266093731576571e-05,,,,,,,,,,,
23,0.084,0.8078,5.788337707519531,1.2843012129676194e-05,,,,,,,,,,,
24,0.087,0.5013,4.247124195098877,1.3017336687966909e-05,,,,,,,,,,,
25,0.091,0.035,2.9251821041107178,1.31845439397353e-05,,,,,,,,,,,
26,0.095,0.3187,2.5122008323669434,1.334519232881641e-05,,,,,,,,,,,
27,0.098,0.3387,2.2921900749206543,1.3499777047103964e-05,,,,,,,,,,,
28,0.102,1.7363,11.885319709777832,1.3648739240317859e-05,,,,,,,,,,,
29,0.105,0.8739,7.123274326324463,1.3792473597629995e-05,,,,,,,,,,,
30,0.109,0.3231,2.7954020500183105,1.3931334654101947e-05,,,,,,,,,,,
31,0.113,0.3654,3.5538158416748047,1.4065642059328913e-05,,,,,,,,,,,
32,0.116,0.0079,0.8548001050949097,1.4195685009331534e-05,,,,,,,,,,,
33,0.12,0.5416,4.900290489196777,1.4321725996267388e-05,,,,,,,,,,,
34,0.124,0.0039,0.31376978754997253,1.4444003998213731e-05,,,,,,,,,,,
35,0.127,0.6209,6.39288854598999,1.4562737206452897e-05,,,,,,,,,,,
36,0.131,0.5923,4.834936141967773,1.4678125368468588e-05,,,,,,,,,,,
37,0.135,0.4709,5.639501094818115,1.4790351809854117e-05,,,,,,,,,,,
38,0.138,0.2239,2.3091909885406494,1.4899585186529924e-05,,,,,,,,,,,
39,0.142,0.4217,4.417369842529297,1.5005981009318089e-05,,,,,,,,,,,
40,0.145,0.0024,0.1976020634174347,1.5109682975466574e-05,,,,,,,,,,,
41,0.149,0.0016,0.13593511283397675,1.5210824135734208e-05,,,,,,,,,,,
42,0.153,0.6186,5.628596305847168,1.530952792081954e-05,,,,,,,,,,,
43,0.156,0.2072,2.3854410648345947,1.5405909046997724e-05,,,,,,,,,,,
