step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,2.8242,60.97563934326172,0.0,,,,,,,,,,,
2,0.005,1.7881,51.14109802246094,2.636796160574091e-06,,,,,,,,,,,
3,0.007,2.2344,38.86646270751953,4.179223036555455e-06,,,,,,,,,,,
4,0.01,2.4746,27.783506393432617,5.273592321148182e-06,,,,,,,,,,,
5,0.013,2.6367,51.70834732055664,6.122451085728111e-06,,,,,,,,,,,
6,0.015,2.2773,42.62056350708008,6.816019197129547e-06,,,,,,,,,,,
7,0.018,1.8828,39.2990837097168,7.402422679850267e-06,,,,,,,,,,,
8,0.02,2.4258,46.996036529541016,7.910388481722272e-06,,,,,,,,,,,
9,0.022,1.9922,23.611865997314453,8.35844607311091e-06,,,,,,,,,,,
10,0.025,1.5938,44.89659881591797,8.759247246302203e-06,,,,,,,,,,,
11,0.028,1.8789,33.92515182495117,9.12181600979144e-06,,,,,,,,,,,
12,0.03,1.5195,27.944881439208984,9.452815357703638e-06,,,,,,,,,,,
13,0.033,1.3418,31.021867752075195,9.757305241230304e-06,,,,,,,,,,,
14,0.035,1.6885,32.32844924926758,1.0039218840424359e-05,,,,,,,,,,,
15,0.037,1.0605,25.297527313232422,1.0301674122283567e-05,,,,,,,,,,,
16,0.04,0.7681,14.837211608886719,1.0547184642296364e-05,,,,,,,,,,,
17,0.043,1.2603,12.818351745605469,1.0777806326298162e-05,,,,,,,,,,,
18,0.045,0.3379,21.449304580688477,1.0995242233685e-05,,,,,,,,,,,
19,0.048,0.6963,14.936291694641113,1.1200918957845091e-05,,,,,,,,,,,
20,0.05,0.2843,18.484874725341797,1.1396043406876294e-05,,,,,,,,,,,
21,0.052,0.6508,10.717717170715332,1.1581645716405722e-05,,,,,,,,,,,
22,0.055,0.3976,3.3145663738250732,1.1758612170365531e-05,,,,,,,,,,,
23,0.058,0.4869,6.5851731300354,1.1927710797850159e-05,,,,,,,,,,,
24,0.06,0.5402,3.4321515560150146,1.208961151827773e-05,,,,,,,,,,,
25,0.062,0.8771,5.679905891418457,1.2244902171456222e-05,,,,,,,,,,,
26,0.065,0.4371,3.528895616531372,1.2394101401804395e-05,,,,,,,,,,,
27,0.068,1.1353,7.287696361541748,1.2537669109666364e-05,,,,,,,,,,,
28,0.07,0.4438,4.594052791595459,1.267601500099845e-05,,,,,,,,,,,
29,0.072,0.3079,2.366201162338257,1.2809505636094286e-05,,,,,,,,,,,
30,0.075,0.6408,4.352240562438965,1.2938470282857658e-05,,,,,,,,,,,
31,0.077,0.5755,4.125389575958252,1.3063205809958441e-05,,,,,,,,,,,
32,0.08,0.0124,1.405773639678955,1.3183980802870455e-05,,,,,,,,,,,
33,0.083,0.0035,0.3245031535625458,1.3301039046346894e-05,,,,,,,,,,,
34,0.085,0.6652,5.651617050170898,1.3414602486872252e-05,,,,,,,,,,,
35,0.087,0.5164,4.342194080352783,1.3524873765578379e-05,,,,,,,,,,,
36,0.09,0.2306,2.2028300762176514,1.3632038394259093e-05,,,,,,,,,,,
37,0.092,0.5336,4.84048318862915,1.373626663318019e-05,,,,,,,,,,,
38,0.095,0.5126,4.267730712890625,1.3837715118419184e-05,,,,,,,,,,,
39,0.098,0.4088,3.3874566555023193,1.3936528277785759e-05,,,,,,,,,,,
40,0.1,0.109,0.982093095779419,1.4032839567450384e-05,,,,,,,,,,,
41,0.102,0.429,3.327709197998047,1.412677255585299e-05,,,,,,,,,,,
42,0.105,0.1547,1.0241997241973877,1.4218441876979814e-05,,,,,,,,,,,
43,0.107,0.1614,1.5614721775054932,1.4307954071457004e-05,,,,,,,,,,,
44,0.11,0.2686,2.685539960861206,1.4395408330939623e-05,,,,,,,,,,,
45,0.113,0.2316,1.871230959892273,1.448089715883902e-05,,,,,,,,,,,
46,0.115,0.2053,2.471367597579956,1.456450695842425e-05,,,,,,,,,,,
47,0.117,0.0061,0.5271904468536377,1.4646318557671244e-05,,,,,,,,,,,
48,0.12,0.1987,2.7720959186553955,1.4726407678851819e-05,,,,,,,,,,,
49,0.122,0.1824,2.098112106323242,1.4804845359700534e-05,,,,,,,,,,,
50,0.125,0.4948,4.06272554397583,1.4881698332030312e-05,,,,,,,,,,,
51,0.128,0.0099,0.9829882383346558,1.4957029362853617e-05,,,,,,,,,,,
52,0.13,0.0054,0.6926604509353638,1.5030897562378488e-05,,,,,,,,,,,
53,0.133,0.0072,0.7871215343475342,1.5103358662666049e-05,,,,,,,,,,,
54,0.135,0.1267,1.6529628038406372,1.5174465270240457e-05,,,,,,,,,,,
55,0.138,0.2438,1.5809210538864136,1.5244267095519552e-05,,,,,,,,,,,
56,0.14,0.1528,1.9263331890106201,1.531281116157254e-05,,,,,,,,,,,
57,0.142,0.1756,2.0647733211517334,1.5380141994400547e-05,,,,,,,,,,,
58,0.145,0.2126,2.5824666023254395,1.5446301796668376e-05,,,,,,,,,,,
59,0.147,0.0092,1.1536197662353516,1.551133060658517e-05,,,,,,,,,,,
60,0.15,0.099,1.461371898651123,1.5575266443431746e-05,,,,,,,,,,,
61,0.152,0.2273,4.2901201248168945,1.5638145441059226e-05,,,,,,,,,,,
62,0.155,0.0047,0.6503292322158813,1.570000197053253e-05,,,,,,,,,,,
63,0.158,0.1718,2.2017741203308105,1.5760868752961176e-05,,,,,,,,,,,
64,0.16,0.2307,3.999413013458252,1.5820776963444545e-05,,,,,,,,,,,
65,0.163,0.0856,1.8798611164093018,1.5879756326958414e-05,,,,,,,,,,,
