step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.001,4.4062,33.412864685058594,0.0,,,,,,,,,,,
2,0.001,3.9258,71.90924835205078,2.031386949406506e-06,,,,,,,,,,,
3,0.002,4.1914,31.538999557495117,3.219672139263657e-06,,,,,,,,,,,
4,0.002,3.8984,62.264869689941406,4.062773898813012e-06,,,,,,,,,,,
5,0.003,4.2344,31.15286636352539,4.716734429414499e-06,,,,,,,,,,,
6,0.003,4.5039,37.231422424316406,5.2510590886701626e-06,,,,,,,,,,,
7,0.004,4.4102,39.25581741333008,5.702824151019936e-06,,,,,,,,,,,
8,0.004,3.5703,23.767498016357422,6.094160848219518e-06,,,,,,,,,,,
9,0.005,3.3242,22.761783599853516,6.439344278527314e-06,,,,,,,,,,,
10,0.005,3.6172,38.36742401123047,6.748121378821006e-06,,,,,,,,,,,
11,0.006,3.25,59.15212631225586,7.027444242464031e-06,,,,,,,,,,,
12,0.006,2.6406,23.570615768432617,7.2824460380766695e-06,,,,,,,,,,,
13,0.007,2.9023,33.16218185424805,7.517024950497304e-06,,,,,,,,,,,
14,0.007,2.6484,31.663211822509766,7.734211100426442e-06,,,,,,,,,,,
15,0.008,2.4434,23.829999923706055,7.936406568678157e-06,,,,,,,,,,,
16,0.008,2.1016,22.210081100463867,8.125547797626024e-06,,,,,,,,,,,
17,0.009,2.0762,33.94723892211914,8.303218671899978e-06,,,,,,,,,,,
18,0.009,2.0918,26.10504722595215,8.47073122793382e-06,,,,,,,,,,,
19,0.01,1.5547,16.405868530273438,8.62918451283413e-06,,,,,,,,,,,
20,0.01,1.3154,20.146881103515625,8.779508328227511e-06,,,,,,,,,,,
21,0.011,1.3213,18.622835159301758,8.922496290283594e-06,,,,,,,,,,,
22,0.011,1.3428,16.060741424560547,9.058831191870537e-06,,,,,,,,,,,
23,0.012,1.0205,11.515860557556152,9.189104722365983e-06,,,,,,,,,,,
24,0.013,1.0483,9.87497615814209,9.313832987483176e-06,,,,,,,,,,,
25,0.013,0.6345,11.956635475158691,9.433468858828999e-06,,,,,,,,,,,
26,0.014,1.0342,10.338051795959473,9.54841189990381e-06,,,,,,,,,,,
27,0.014,0.4169,7.394355773925781,9.65901641779097e-06,,,,,,,,,,,
28,0.015,0.4147,6.283712863922119,9.765598049832949e-06,,,,,,,,,,,
29,0.015,0.6631,9.26685905456543,9.868439193966983e-06,,,,,,,,,,,
30,0.016,0.4286,6.021512031555176,9.967793518084664e-06,,,,,,,,,,,
31,0.016,0.2812,5.390787601470947,1.0063889729717761e-05,,,,,,,,,,,
32,0.017,0.5493,7.198185443878174,1.015693474703253e-05,,,,,,,,,,,
33,0.017,0.2666,4.301624298095703,1.0247116381727689e-05,,,,,,,,,,,
34,0.018,0.2903,9.908519744873047,1.0334605621306485e-05,,,,,,,,,,,
35,0.018,0.5742,5.095743179321289,1.0419558580434434e-05,,,,,,,,,,,
36,0.019,0.1685,1.9542609453201294,1.0502118177340325e-05,,,,,,,,,,,
37,0.019,0.0558,1.6466052532196045,1.0582415580480447e-05,,,,,,,,,,,
38,0.02,0.2441,2.3926186561584473,1.0660571462240636e-05,,,,,,,,,,,
39,0.02,0.2313,3.600633382797241,1.073669708976096e-05,,,,,,,,,,,
40,0.021,0.2036,4.4140238761901855,1.0810895277634017e-05,,,,,,,,,,,
41,0.021,0.3843,11.325014114379883,1.0883261222947842e-05,,,,,,,,,,,
42,0.022,0.321,11.063563346862793,1.0953883239690099e-05,,,,,,,,,,,
43,0.022,0.2141,4.524542331695557,1.1022843406726337e-05,,,,,,,,,,,
44,0.023,0.1942,1.8825957775115967,1.1090218141277042e-05,,,,,,,,,,,
45,0.023,0.2992,4.91453218460083,1.1156078707941814e-05,,,,,,,,,,,
46,0.024,0.0989,3.8505544662475586,1.1220491671772488e-05,,,,,,,,,,,
47,0.025,0.1882,4.341411590576172,1.1283519302616823e-05,,,,,,,,,,,
48,0.025,0.2413,2.796285629272461,1.1345219936889682e-05,,,,,,,,,,,
49,0.026,0.0766,2.567305326461792,1.1405648302039871e-05,,,,,,,,,,,
50,0.026,0.0454,1.1229134798049927,1.1464855808235504e-05,,,,,,,,,,,
51,0.027,0.243,4.922501564025879,1.1522890811163633e-05,,,,,,,,,,,
52,0.027,0.1791,4.55742883682251,1.1579798849310317e-05,,,,,,,,,,,
53,0.028,0.1058,2.3425991535186768,1.1635622858638265e-05,,,,,,,,,,,
54,0.028,0.1093,4.304026126861572,1.1690403367197476e-05,,,,,,,,,,,
55,0.029,0.1166,5.030366897583008,1.1744178671878533e-05,,,,,,,,,,,
56,0.029,0.1675,1.4543414115905762,1.1796984999239456e-05,,,,,,,,,,,
57,0.03,0.2043,7.104104042053223,1.1848856652097787e-05,,,,,,,,,,,
58,0.03,0.2172,4.464217662811279,1.1899826143373488e-05,,,,,,,,,,,
59,0.031,0.046,1.288276195526123,1.1949924318490537e-05,,,,,,,,,,,
60,0.031,0.1431,2.566403865814209,1.1999180467491167e-05,,,,,,,,,,,
61,0.032,0.0433,0.6676044464111328,1.2047622427883137e-05,,,,,,,,,,,
62,0.032,0.1097,2.557234048843384,1.2095276679124268e-05,,,,,,,,,,,
63,0.033,0.2487,4.655020713806152,1.214216842954725e-05,,,,,,,,,,,
64,0.033,0.1219,2.1579408645629883,1.2188321696439036e-05,,,,,,,,,,,
65,0.034,0.1235,1.3717111349105835,1.2233759379911803e-05,,,,,,,,,,,
66,0.034,0.1162,9.827784538269043,1.2278503331134193e-05,,,,,,,,,,,
67,0.035,0.0912,1.42375648021698,1.2322574415431797e-05,,,,,,,,,,,
68,0.036,0.1066,4.616922855377197,1.236599257071299e-05,,,,,,,,,,,
69,0.036,0.0462,0.965194821357727,1.240877686162964e-05,,,,,,,,,,,
70,0.037,0.0612,1.209181547164917,1.2450945529840943e-05,,,,,,,,,,,
71,0.037,0.0705,1.2938315868377686,1.2492516040712064e-05,,,,,,,,,,,
72,0.038,0.0436,0.848667323589325,1.2533505126746832e-05,,,,,,,,,,,
73,0.038,0.1858,3.7510719299316406,1.257392882802475e-05,,,,,,,,,,,
74,0.039,0.0114,0.9894156455993652,1.2613802529886956e-05,,,,,,,,,,,
75,0.039,0.0365,2.277027130126953,1.2653140998092654e-05,,,,,,,,,,,
76,0.04,0.0264,0.7422881722450256,1.2691958411647143e-05,,,,,,,,,,,
77,0.04,0.0173,0.7415481209754944,1.2730268393483968e-05,,,,,,,,,,,
78,0.041,0.0925,3.298856735229492,1.2768084039167468e-05,,,,,,,,,,,
79,0.041,0.0495,1.213460087776184,1.2805417943766948e-05,,,,,,,,,,,
80,0.042,0.0253,3.7458434104919434,1.2842282227040524e-05,,,,,,,,,,,
81,0.042,0.0009,0.03942430019378662,1.2878688557054628e-05,,,,,,,,,,,
82,0.043,0.0039,0.2954697608947754,1.2914648172354347e-05,,,,,,,,,,,
83,0.043,0.0143,2.0395302772521973,1.2950171902790018e-05,,,,,,,,,,,
84,0.044,0.1016,1.3604710102081299,1.2985270189096604e-05,,,,,,,,,,,
85,0.044,0.0343,1.2178879976272583,1.3019953101314477e-05,,,,,,,,,,,
86,0.045,0.0084,4.176361560821533,1.3054230356132844e-05,,,,,,,,,,,
87,0.045,0.036,1.2530485391616821,1.3088111333230638e-05,,,,,,,,,,,
88,0.046,0.0018,0.11232755333185196,1.312160509068355e-05,,,,,,,,,,,
89,0.046,0.055,2.1947107315063477,1.3154720379500558e-05,,,,,,,,,,,
90,0.047,0.0338,1.3127442598342896,1.318746565734832e-05,,,,,,,,,,,
91,0.048,0.0104,0.5981194972991943,1.321984910151724e-05,,,,,,,,,,,
92,0.048,0.0087,1.092862844467163,1.3251878621178995e-05,,,,,,,,,,,
93,0.049,0.0066,0.6141262054443359,1.328356186898142e-05,,,,,,,,,,,
94,0.049,0.0059,0.23431719839572906,1.331490625202333e-05,,,,,,,,,,,
95,0.05,0.0162,0.5910681486129761,1.334591894224863e-05,,,,,,,,,,,
96,0.05,0.0668,4.9482598304748535,1.3376606886296187e-05,,,,,,,,,,,
97,0.051,0.1045,1.4431930780410767,1.3406976814839332e-05,,,,,,,,,,,
98,0.051,0.0014,0.07508289068937302,1.343703525144638e-05,,,,,,,,,,,
99,0.052,0.0743,4.4334516525268555,1.3466788520991345e-05,,,,,,,,,,,
100,0.052,0.0257,2.3373634815216064,1.3496242757642012e-05,,,,,,,,,,,
101,0.053,0.0141,0.7261412143707275,1.352540391245054e-05,,,,,,,,,,,
102,0.053,0.0024,0.10948111116886139,1.3554277760570138e-05,,,,,,,,,,,
103,0.054,0.0056,0.31146734952926636,1.3582869908119713e-05,,,,,,,,,,,
104,0.054,0.0227,3.509937047958374,1.3611185798716821e-05,,,,,,,,,,,
105,0.055,0.0078,0.532787024974823,1.3639230719698091e-05,,,,,,,,,,,
106,0.055,0.0052,0.4583568274974823,1.366700980804477e-05,,,,,,,,,,,
107,0.056,0.0362,1.2162361145019531,1.3694528056030097e-05,,,,,,,,,,,
