step,epoch,loss,grad_norm,learning_rate
1,0.003,8.7891,47.36148452758789,0.0
2,0.007,7.5312,74.84173583984375,2.7894294565112984e-06
3,0.01,8.8047,94.52198028564453,4.421141086977404e-06
4,0.013,6.8281,62.736083984375,5.578858913022597e-06
5,0.017,9.1094,121.03602600097656,6.47685462377997e-06
6,0.02,8.6328,70.97965240478516,7.210570543488702e-06
7,0.023,9.0078,127.46318817138672,7.830918514469461e-06
8,0.027,8.8359,143.62313842773438,8.368288369533896e-06
9,0.03,8.875,100.50221252441406,8.842282173954808e-06
10,0.033,7.0547,47.22395706176758,9.26628408029127e-06
11,0.037,7.7734,43.788875579833984,9.64984045981344e-06
12,0.04,7.9141,58.90530776977539,1e-05
13,0.043,7.9062,89.81726837158203,1.032211555182713e-05
14,0.047,8.4766,79.04191589355469,1.062034797098076e-05
15,0.05,6.625,51.74964904785156,1.0897995710757375e-05
16,0.053,7.6953,83.07491302490234,1.1157717826045193e-05
17,0.057,7.7656,56.367218017578125,1.1401689251779062e-05
18,0.06,7.8203,60.01545715332031,1.1631711630466105e-05
19,0.063,6.8047,61.52165985107422,1.1849294135124332e-05
20,0.067,7.0234,45.96867752075195,1.2055713536802568e-05
21,0.07,7.0938,50.554420471191406,1.2252059601446866e-05
22,0.073,6.6797,46.383697509765625,1.2439269916324738e-05
23,0.077,5.4297,63.389373779296875,1.26181569685793e-05
24,0.08,6.4453,36.31790542602539,1.27894294565113e-05
25,0.083,6.3203,32.88780212402344,1.295370924755994e-05
26,0.087,6.2266,30.186307907104492,1.3111545008338429e-05
27,0.09,5.7734,44.936222076416016,1.3263423260932211e-05
28,0.093,6.0781,40.412113189697266,1.3409777427492059e-05
