step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.001,10.7067,409.2243347167969,0.0,,,,,,,,,,,
2,0.003,10.9035,394.1633605957031,2.329654905111112e-06,,,,,,,,,,,
3,0.004,10.7608,404.60308837890625,3.6924156642222166e-06,,,,,,,,,,,
4,0.005,10.4812,358.3272705078125,4.659309810222224e-06,,,,,,,,,,,
5,0.006,8.6032,221.9820098876953,5.409291175569643e-06,,,,,,,,,,,
6,0.007,5.7699,204.4575958251953,6.022070569333328e-06,,,,,,,,,,,
7,0.009,1.0631,132.65826416015625,6.540168164559322e-06,,,,,,,,,,,
8,0.01,0.482,73.59219360351562,6.988964715333337e-06,,,,,,,,,,,
9,0.011,0.1111,21.011926651000977,7.384831328444433e-06,,,,,,,,,,,
10,0.013,0.0002,0.04470399394631386,7.738946080680758e-06,,,,,,,,,,,
11,0.014,0.0,0.011421561241149902,8.059281839254854e-06,,,,,,,,,,,
12,0.015,0.0,0.004187644924968481,8.351725474444441e-06,,,,,,,,,,,
13,0.016,0.0,0.0029490203596651554,8.620747540435376e-06,,,,,,,,,,,
14,0.018,0.0,0.001955980435013771,8.869823069670434e-06,,,,,,,,,,,
15,0.019,3.8351,103.60649108886719,9.10170683979186e-06,,,,,,,,,,,
16,0.02,0.0001,0.1553693562746048,9.318619620444449e-06,,,,,,,,,,,
17,0.021,0.0,0.010538972914218903,9.522377857578256e-06,,,,,,,,,,,
18,0.022,2.5391,50.86005783081055,9.714486233555544e-06,,,,,,,,,,,
19,0.024,1.0052,514.7889404296875,9.896205168250299e-06,,,,,,,,,,,
20,0.025,2.3281,38.903045654296875,1.0068600985791868e-05,,,,,,,,,,,
21,0.026,0.0001,0.027294520288705826,1.0232583828781536e-05,,,,,,,,,,,
22,0.028,0.0001,0.07492679357528687,1.0388936744365967e-05,,,,,,,,,,,
23,0.029,0.0003,0.14970846474170685,1.0538338299502237e-05,,,,,,,,,,,
24,0.03,0.0,0.01172544527798891,1.0681380379555553e-05,,,,,,,,,,,
25,0.031,0.0,0.003618206363171339,1.0818582351139286e-05,,,,,,,,,,,
26,0.033,0.0,0.0015874337404966354,1.095040244554649e-05,,,,,,,,,,,
27,0.034,0.0,0.0010824938071891665,1.1077246992666648e-05,,,,,,,,,,,
28,0.035,0.0,0.0012726952554658055,1.1199477974781545e-05,,,,,,,,,,,
29,0.036,3.025,81.59425354003906,1.131741925423551e-05,,,,,,,,,,,
30,0.037,0.0,0.0008969830232672393,1.1431361744902973e-05,,,,,,,,,,,
31,0.039,0.0,0.00398615887388587,1.1541567735376157e-05,,,,,,,,,,,
32,0.04,0.7635,23.096498489379883,1.164827452555556e-05,,,,,,,,,,,
33,0.041,0.0011,0.5621731877326965,1.1751697503477071e-05,,,,,,,,,,,
34,0.043,0.7109,35.518836975097656,1.1852032762689369e-05,,,,,,,,,,,
35,0.044,1.2158,29.409231185913086,1.1949459340128964e-05,,,,,,,,,,,
36,0.045,0.0001,0.043642591685056686,1.2044141138666657e-05,,,,,,,,,,,
37,0.046,0.0006,0.35226717591285706,1.2136228586185074e-05,,,,,,,,,,,
38,0.048,0.0005,0.7489953637123108,1.2225860073361412e-05,,,,,,,,,,,
39,0.049,0.0,0.000516662432346493,1.2313163204657592e-05,,,,,,,,,,,
40,0.05,1.3461,30.85386085510254,1.2398255890902979e-05,,,,,,,,,,,
41,0.051,2.0315,28.32510757446289,1.2481247306946392e-05,,,,,,,,,,,
42,0.052,0.9898,15.918961524963379,1.2562238733892651e-05,,,,,,,,,,,
43,0.054,0.0,0.0001202126732096076,1.2641324302223288e-05,,,,,,,,,,,
44,0.055,0.0,0.00036324368556961417,1.2718591649477079e-05,,,,,,,,,,,
45,0.056,0.0,0.0011952748754993081,1.2794122504014076e-05,,,,,,,,,,,
46,0.058,0.0,0.003307815408334136,1.286799320461335e-05,,,,,,,,,,,
47,0.059,0.0,0.006414653733372688,1.2940275164186307e-05,,,,,,,,,,,
48,0.06,0.0,0.010035954415798187,1.3011035284666666e-05,,,,,,,,,,,
49,0.061,0.0,0.015222578309476376,1.3080336329118644e-05,,,,,,,,,,,
50,0.062,0.0001,0.020743070170283318,1.3148237256250401e-05,,,,,,,,,,,
51,0.064,0.0001,0.019161632284522057,1.3214793521800473e-05,,,,,,,,,,,
52,0.065,0.0,0.01362830400466919,1.3280057350657602e-05,,,,,,,,,,,
53,0.066,0.0,0.008827246725559235,1.3344077983059429e-05,,,,,,,,,,,
54,0.068,1.6669,48.048004150390625,1.3406901897777763e-05,,,,,,,,,,,
55,0.069,0.0,0.005262863356620073,1.34685730148245e-05,,,,,,,,,,,
56,0.07,0.0,0.0054629649966955185,1.3529132879892659e-05,,,,,,,,,,,
57,0.071,0.0,0.005348949693143368,1.3588620832472517e-05,,,,,,,,,,,
58,0.072,0.0,0.005640226416289806,1.3647074159346622e-05,,,,,,,,,,,
59,0.074,0.0,0.00547292223200202,1.3704528234963606e-05,,,,,,,,,,,
60,0.075,0.0,0.0051274411380290985,1.3761016650014083e-05,,,,,,,,,,,
61,0.076,0.0,0.004581491928547621,1.3816571329378995e-05,,,,,,,,,,,
62,0.077,1.1016,13.791295051574707,1.3871222640487272e-05,,,,,,,,,,,
63,0.079,0.0,0.008854348212480545,1.3924999493003755e-05,,,,,,,,,,,
64,0.08,1.1658,16.358884811401367,1.3977929430666673e-05,,,,,,,,,,,
65,0.081,1.0107,13.442155838012695,1.403003871600502e-05,,,,,,,,,,,
66,0.083,0.0036,1.1471513509750366,1.4081352408588183e-05,,,,,,,,,,,
67,0.084,0.0,0.0039728074334561825,1.4131894437391444e-05,,,,,,,,,,,
68,0.085,0.0,0.00011235207784920931,1.418168766780048e-05,,,,,,,,,,,
69,0.086,0.0,2.6319556127418764e-05,1.4230753963724456e-05,,,,,,,,,,,
70,0.087,0.0,1.919285386975389e-05,1.427911424524008e-05,,,,,,,,,,,
71,0.089,0.0,1.582754703122191e-05,1.4326788542147016e-05,,,,,,,,,,,
72,0.09,0.0,1.79581948032137e-05,1.437379604377777e-05,,,,,,,,,,,
73,0.091,0.8085,16.177154541015625,1.4420155145372058e-05,,,,,,,,,,,
74,0.092,1.0381,19.42099380493164,1.4465883491296189e-05,,,,,,,,,,,
75,0.094,0.0001,0.022157449275255203,1.4510998015361503e-05,,,,,,,,,,,
76,0.095,0.0013,0.4781070947647095,1.4555514978472523e-05,,,,,,,,,,,
77,0.096,0.0001,0.02812523953616619,1.4599450003814177e-05,,,,,,,,,,,
78,0.098,0.7382,9.604011535644531,1.4642818109768706e-05,,,,,,,,,,,
79,0.099,0.6109,7.148540019989014,1.4685633740735785e-05,,,,,,,,,,,
80,0.1,0.0,0.0005308346007950604,1.472791079601409e-05,,,,,,,,,,,
