step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.0,10.8632,221.9501190185547,0.0,,,,,,,,,,,
2,0.001,10.6847,188.82044982910156,1.8550535861363603e-06,,,,,,,,,,,
3,0.001,10.7837,295.28955078125,2.940190370854435e-06,,,,,,,,,,,
4,0.001,10.9284,288.3695983886719,3.7101071722727205e-06,,,,,,,,,,,
5,0.001,9.9152,111.93099212646484,4.3073010391715685e-06,,,,,,,,,,,
6,0.002,7.7937,156.2901153564453,4.795243956990795e-06,,,,,,,,,,,
7,0.002,7.5691,127.4857177734375,5.207793815720521e-06,,,,,,,,,,,
8,0.002,6.9561,86.10517883300781,5.56516075840908e-06,,,,,,,,,,,
9,0.002,5.3002,73.72453308105469,5.88038074170887e-06,,,,,,,,,,,
10,0.003,4.3168,50.24716567993164,6.16235462530793e-06,,,,,,,,,,,
11,0.003,3.1312,84.43006896972656,6.417431030146632e-06,,,,,,,,,,,
12,0.003,3.7142,56.19374084472656,6.6502975431271555e-06,,,,,,,,,,,
13,0.004,3.0909,52.376895904541016,6.864513969419055e-06,,,,,,,,,,,
14,0.004,0.9318,18.096982955932617,7.06284740185688e-06,,,,,,,,,,,
15,0.004,2.3558,42.13066482543945,7.247491410026003e-06,,,,,,,,,,,
16,0.004,1.9262,44.918460845947266,7.420214344545441e-06,,,,,,,,,,,
17,0.005,1.6477,29.967727661132812,7.582462601860559e-06,,,,,,,,,,,
18,0.005,2.377,98.19731903076172,7.735434327845229e-06,,,,,,,,,,,
19,0.005,2.2323,36.930667877197266,7.880133167460836e-06,,,,,,,,,,,
20,0.005,0.7203,23.918310165405273,8.01740821144429e-06,,,,,,,,,,,
21,0.006,1.6225,29.291378021240234,8.147984186574955e-06,,,,,,,,,,,
22,0.006,1.8369,32.24013900756836,8.272484616282994e-06,,,,,,,,,,,
23,0.006,1.8308,43.728858947753906,8.39144982869357e-06,,,,,,,,,,,
24,0.007,0.8558,82.47196197509766,8.505351129263515e-06,,,,,,,,,,,
25,0.007,1.5242,25.940671920776367,8.614602078343137e-06,,,,,,,,,,,
26,0.007,0.8227,18.228139877319336,8.719567555555415e-06,,,,,,,,,,,
27,0.007,1.0441,21.91673469543457,8.820571112563303e-06,,,,,,,,,,,
28,0.008,0.5973,25.20112419128418,8.917900987993241e-06,,,,,,,,,,,
29,0.008,0.849,21.605012893676758,9.011815066393688e-06,,,,,,,,,,,
30,0.008,1.226,21.071590423583984,9.102544996162364e-06,,,,,,,,,,,
