step,epoch,loss,grad_norm,learning_rate
1,0.003,12.6647,154.46365356445312,0.0
2,0.006,14.9102,208.33705139160156,2.745215624227179e-06
3,0.009,13.0192,153.86463928222656,4.3510638207939e-06
4,0.012,14.8242,204.3506317138672,5.490431248454358e-06
5,0.015,13.862,202.00033569335938,6.374193284416834e-06
6,0.018,11.0703,184.26275634765625,7.0962794450210784e-06
7,0.022,6.9308,117.3460922241211,7.706794594783609e-06
8,0.025,5.0925,100.21113586425781,8.235646872681536e-06
9,0.028,0.7007,100.05668640136719,8.7021276415878e-06
10,0.031,0.0499,10.948195457458496,9.119408908644014e-06
11,0.034,1.8418,15.494884490966797,9.496885730428628e-06
12,0.037,0.0008,0.1482754945755005,9.841495069248257e-06
