step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,14.2587,563.4014892578125,0.0,,,,,,,,,,,
2,0.006,16.7295,714.34814453125,2.745215624227179e-06,,,,,,,,,,,
3,0.009,14.6736,514.563720703125,4.3510638207939e-06,,,,,,,,,,,
4,0.012,15.6604,855.067626953125,5.490431248454358e-06,,,,,,,,,,,
5,0.015,14.0863,599.8853149414062,6.374193284416834e-06,,,,,,,,,,,
6,0.018,11.5857,376.9996337890625,7.0962794450210784e-06,,,,,,,,,,,
7,0.022,9.3902,404.79315185546875,7.706794594783609e-06,,,,,,,,,,,
8,0.025,7.3776,307.2028503417969,8.235646872681536e-06,,,,,,,,,,,
9,0.028,2.2995,413.0477294921875,8.7021276415878e-06,,,,,,,,,,,
10,0.031,0.1504,172.73153686523438,9.119408908644014e-06,,,,,,,,,,,
11,0.034,2.0302,28.927289962768555,9.496885730428628e-06,,,,,,,,,,,
12,0.037,0.0017,0.8902212381362915,9.841495069248257e-06,,,,,,,,,,,
13,0.04,2.762,58.277828216552734,1.0158504930751744e-05,,,,,,,,,,,
14,0.043,2.2408,65.92884063720703,1.0452010219010787e-05,,,,,,,,,,,
15,0.046,0.0,0.0032992346677929163,1.0725257105210733e-05,,,,,,,,,,,
16,0.049,1.3906,27.52156639099121,1.0980862496908715e-05,,,,,,,,,,,
17,0.052,0.0001,0.08180221915245056,1.122096685524845e-05,,,,,,,,,,,
18,0.055,0.0003,0.20671288669109344,1.1447343265814976e-05,,,,,,,,,,,
19,0.058,0.0002,0.11410579085350037,1.1661476980489838e-05,,,,,,,,,,,
20,0.062,2.2296,45.718833923339844,1.1864624532871192e-05,,,,,,,,,,,
21,0.065,0.0001,0.2985784709453583,1.2057858415577509e-05,,,,,,,,,,,
22,0.068,0.0,0.03809509053826332,1.2242101354655807e-05,,,,,,,,,,,
23,0.071,0.8957,74.66638946533203,1.241815295892737e-05,,,,,,,,,,,
24,0.074,0.0,0.007088995538651943,1.2586710693475437e-05,,,,,,,,,,,
25,0.077,0.8235,91.5543441772461,1.2748386568833668e-05,,,,,,,,,,,
26,0.08,0.9297,269.7770080566406,1.2903720554978922e-05,,,,,,,,,,,
27,0.083,0.0,0.03661584481596947,1.3053191462381697e-05,,,,,,,,,,,
28,0.086,0.0001,0.04391096532344818,1.3197225843237967e-05,,,,,,,,,,,
