step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.008,3.4922,32.87856465139482,2.9270191615172394e-06,,,,,,,,,,,
4,0.017,3.5469,17.449585330010883,5.854038323034479e-06,,,,,,,,,,,
6,0.025,3.1816,27.045096535273956,7.566234771414346e-06,,,,,,,,,,,
8,0.034,3.4844,34.759995427879666,8.781057484551718e-06,,,,,,,,,,,
10,0.042,3.5801,24.84637978893141,9.72334718691777e-06,,,,,,,,,,,
12,0.051,3.2344,26.62943156276853,1.0493253932931586e-05,,,,,,,,,,,
14,0.059,2.8516,25.807627602661068,1.1144200811559583e-05,,,,,,,,,,,
16,0.068,2.915,23.965830695118818,1.1708076646068958e-05,,,,,,,,,,,
18,0.076,2.9258,30.619621175145294,1.220545038131145e-05,,,,,,,,,,,
20,0.084,2.7607,15.456247871997633,1.2650366348435008e-05,,,,,,,,,,,
22,0.093,1.9316,28.571095340575003,1.3052841797227209e-05,,,,,,,,,,,
24,0.101,2.3223,15.744597586421662,1.3420273094448826e-05,,,,,,,,,,,
26,0.11,2.4717,14.72070745088254,1.375827712255567e-05,,,,,,,,,,,
28,0.118,1.6777,18.772989706414137,1.4071219973076822e-05,,,,,,,,,,,
30,0.127,2.3174,10.588166285582112,1.4362562796814874e-05,,,,,,,,,,,
32,0.135,2.2231,11.138853927316642,1.4635095807586197e-05,,,,,,,,,,,
34,0.143,1.2679,12.736283248400037,1.4891101219846681e-05,,,,,,,,,,,
36,0.152,1.7449,10.60807171591639,1.5132469542828692e-05,,,,,,,,,,,
38,0.16,1.519,8.811516728868963,1.5360784390102897e-05,,,,,,,,,,,
40,0.169,2.0103,8.520858881810831,1.557738550995225e-05,,,,,,,,,,,
42,0.177,1.741,8.138744765706964,1.578341642145669e-05,,,,,,,,,,,
44,0.186,1.2224,8.311324218092459,1.597986095874445e-05,,,,,,,,,,,
46,0.194,1.343,6.560795622748726,1.616757168520652e-05,,,,,,,,,,,
48,0.203,1.6906,7.9941651311727675,1.6347292255966065e-05,,,,,,,,,,,
50,0.211,1.3411,8.683617921884712,1.6519675212318297e-05,,,,,,,,,,,
52,0.219,1.4043,7.659951078145072,1.668529628407291e-05,,,,,,,,,,,
54,0.228,1.8193,12.80105620633124,1.684466599120856e-05,,,,,,,,,,,
56,0.236,1.6112,6.038352731034997,1.6998239134594067e-05,,,,,,,,,,,
