step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.005,3.6621,23.207300192097637,2.583489671290015e-06,,,,,,,,,,,
4,0.009,3.7461,18.72048597890515,5.16697934258003e-06,,,,,,,,,,,
6,0.014,3.5312,21.91363942053014,6.678223921285115e-06,,,,,,,,,,,
8,0.018,3.1289,30.458933222463692,7.750469013870044e-06,,,,,,,,,,,
10,0.023,3.3652,27.049179873053195,8.582166921909619e-06,,,,,,,,,,,
12,0.027,3.4316,22.294458062406584,9.26171359257513e-06,,,,,,,,,,,
14,0.032,3.1465,22.991463932244557,9.836262116071019e-06,,,,,,,,,,,
16,0.036,3.084,25.478330461852423,1.033395868516006e-05,,,,,,,,,,,
18,0.041,3.2285,20.31066986579227,1.0772958171280215e-05,,,,,,,,,,,
20,0.045,2.498,19.1065292942132,1.1165656593199631e-05,,,,,,,,,,,
22,0.05,2.5571,18.702763915872698,1.1520895526573573e-05,,,,,,,,,,,
24,0.054,2.4932,18.696039234955656,1.1845203263865145e-05,,,,,,,,,,,
26,0.059,2.8457,15.731971615361196,1.2143537462338861e-05,,,,,,,,,,,
28,0.063,2.1387,18.949738060003465,1.2419751787361035e-05,,,,,,,,,,,
30,0.068,2.0586,13.766666287538952,1.2676901171904718e-05,,,,,,,,,,,
32,0.072,2.0972,16.477937318606166,1.2917448356450076e-05,,,,,,,,,,,
34,0.077,1.2991,12.472189581833318,1.3143407703442005e-05,,,,,,,,,,,
36,0.081,2.0229,11.176771639924018,1.335644784257023e-05,,,,,,,,,,,
38,0.086,1.6799,9.858928121636213,1.3557966526660194e-05,,,,,,,,,,,
40,0.09,2.3896,9.836968723584231,1.3749146264489647e-05,,,,,,,,,,,
42,0.095,1.3102,7.7671834462364275,1.393099636606612e-05,,,,,,,,,,,
44,0.099,1.7279,9.888585910974298,1.4104385197863585e-05,,,,,,,,,,,
46,0.104,1.4954,10.711692214116635,1.4270065262203765e-05,,,,,,,,,,,
48,0.108,1.6084,7.893405192348987,1.4428692935155161e-05,,,,,,,,,,,
50,0.113,1.4297,9.383130939983243,1.458084417252922e-05,,,,,,,,,,,
52,0.117,1.7281,9.438345188554685,1.4727027133628877e-05,,,,,,,,,,,
54,0.122,1.571,7.257555042105149,1.4867692421275316e-05,,,,,,,,,,,
56,0.126,0.8618,6.6516596395368985,1.5003241458651052e-05,,,,,,,,,,,
58,0.131,1.3369,9.545429745659243,1.5134033395525285e-05,,,,,,,,,,,
60,0.135,1.0944,5.644464845689499,1.5260390843194732e-05,,,,,,,,,,,
62,0.14,1.0276,7.363573509170619,1.538260466871761e-05,,,,,,,,,,,
64,0.144,1.2354,7.637873754566543,1.550093802774009e-05,,,,,,,,,,,
66,0.149,1.4148,7.767599107386505,1.561562977656867e-05,,,,,,,,,,,
68,0.153,1.3413,9.945857476282004,1.5726897374732023e-05,,,,,,,,,,,
70,0.158,1.293,11.31951808825437,1.5834939366690625e-05,,,,,,,,,,,
72,0.162,1.1857,6.004810359792551,1.5939937513860243e-05,,,,,,,,,,,
74,0.167,1.036,7.871789726517103,1.6042058634459413e-05,,,,,,,,,,,
76,0.171,0.6837,7.8484891923256725,1.6141456197950208e-05,,,,,,,,,,,
78,0.176,1.1566,6.371859439537356,1.623827171233396e-05,,,,,,,,,,,
80,0.18,0.9598,6.1309922432556645,1.633263593577966e-05,,,,,,,,,,,
82,0.185,1.0391,7.395413791571105,1.642466993861995e-05,,,,,,,,,,,
84,0.189,1.4125,6.42892817519291,1.6514486037356136e-05,,,,,,,,,,,
86,0.194,1.2206,6.858971626456186,1.660218861874793e-05,,,,,,,,,,,
88,0.198,1.0902,7.1397743129687115,1.66878748691536e-05,,,,,,,,,,,
90,0.203,1.2305,10.186985519974908,1.6771635421899816e-05,,,,,,,,,,,
92,0.207,1.0644,9.090774772002623,1.685355493349378e-05,,,,,,,,,,,
94,0.212,1.0024,5.540921318512928,1.6933712597861854e-05,,,,,,,,,,,
96,0.216,0.8314,8.511108459828241,1.7012182606445175e-05,,,,,,,,,,,
98,0.221,1.0426,8.87101586540241,1.7089034560852026e-05,,,,,,,,,,,
100,0.225,0.4888,4.557401195384726,1.7164333843819238e-05,,,,,,,,,,,
102,0.23,0.9604,6.784009395899579,1.7238141953437103e-05,,,,,,,,,,,
104,0.234,0.8141,6.115475768743649,1.731051680491889e-05,,,,,,,,,,,
106,0.239,1.2025,7.503471839664079,1.738151300362485e-05,,,,,,,,,,,
108,0.243,0.8516,11.240465990250136,1.745118209256533e-05,,,,,,,,,,,
110,0.248,0.5108,4.7671520258665785,1.7519572777193174e-05,,,,,,,,,,,
112,0.252,0.7303,7.619015580207268,1.7586731129941065e-05,,,,,,,,,,,
114,0.257,1.1063,7.0558688552230695,1.7652700776655295e-05,,,,,,,,,,,
116,0.261,0.8939,6.092805104858151,1.77175230668153e-05,,,,,,,,,,,
118,0.266,0.5487,5.665365292296529,1.778123722920233e-05,,,,,,,,,,,
120,0.27,0.9968,6.936762506781544,1.7843880514484745e-05,,,,,,,,,,,
122,0.275,0.5679,5.406013389285438,1.7905488326017774e-05,,,,,,,,,,,
124,0.279,1.0662,8.646897999028024,1.7966094340007625e-05,,,,,,,,,,,
126,0.284,1.0873,7.568609330307971,1.802573061606122e-05,,,,,,,,,,,
128,0.288,0.7599,5.275457966121014,1.8084427699030104e-05,,,,,,,,,,,
130,0.293,0.8211,4.785935261395234,1.8142214712958462e-05,,,,,,,,,,,
132,0.297,0.5271,6.502952654995318,1.8199119447858685e-05,,,,,,,,,,,
134,0.302,0.9941,6.795192592466866,1.825516843996168e-05,,,,,,,,,,,
136,0.306,0.7947,6.0992074267773555,1.8310387046022035e-05,,,,,,,,,,,
138,0.311,0.9368,5.40935492917333,1.8364799512198866e-05,,,,,,,,,,,
140,0.315,0.7423,5.8787065750012735,1.8418429037980638e-05,,,,,,,,,,,
142,0.32,0.5225,4.961602076717684,1.8471297835575884e-05,,,,,,,,,,,
144,0.324,0.6959,4.396798520442981,1.852342718515026e-05,,,,,,,,,,,
146,0.329,0.9919,6.62017133189648,1.857483748625381e-05,,,,,,,,,,,
148,0.333,0.7111,3.7407801841065997,1.8625548305749425e-05,,,,,,,,,,,
150,0.338,0.4107,4.710477416081805,1.8675578422524318e-05,,,,,,,,,,,
152,0.342,0.841,8.746045531752628,1.8724945869240224e-05,,,,,,,,,,,
154,0.347,0.8697,7.705978025037339,1.8773667971354578e-05,,,,,,,,,,,
156,0.351,0.9393,5.703186955984112,1.8821761383623976e-05,,,,,,,,,,,
158,0.356,0.9097,6.036942821501485,1.8869242124282404e-05,,,,,,,,,,,
160,0.36,0.8956,6.142248982879342,1.8916125607069677e-05,,,,,,,,,,,
162,0.365,0.8899,5.619250027119566,1.8962426671270413e-05,,,,,,,,,,,
164,0.369,1.0327,8.11402515246028,1.9008159609909967e-05,,,,,,,,,,,
166,0.374,0.6614,5.309095358108721,1.9053338196241366e-05,,,,,,,,,,,
168,0.378,0.8696,6.246222483612008,1.9097975708646152e-05,,,,,,,,,,,
170,0.383,0.9546,5.877460160262233,1.914208495406161e-05,,,,,,,,,,,
172,0.387,0.7341,5.193316146295142,1.9185678290037947e-05,,,,,,,,,,,
174,0.392,0.5957,5.723079336809399,1.9228767645520388e-05,,,,,,,,,,,
176,0.396,0.5991,4.658303230375111,1.9271364540443614e-05,,,,,,,,,,,
178,0.401,0.8896,5.284895103362115,1.9313480104219157e-05,,,,,,,,,,,
180,0.405,0.8633,4.463577940952962,1.9355125093189832e-05,,,,,,,,,,,
182,0.41,0.8696,4.671777905868712,1.9396309907119866e-05,,,,,,,,,,,
184,0.414,0.7289,4.15738552749817,1.9437044604783795e-05,,,,,,,,,,,
186,0.419,0.6832,3.8491777096338176,1.947733891871271e-05,,,,,,,,,,,
188,0.423,0.5137,3.603669487749182,1.951720226915187e-05,,,,,,,,,,,
190,0.428,0.7661,5.470011925438531,1.9556643777279797e-05,,,,,,,,,,,
192,0.432,1.0382,5.696905221555362,1.9595672277735188e-05,,,,,,,,,,,
194,0.437,0.7743,4.368475366571962,1.9634296330494785e-05,,,,,,,,,,,
196,0.441,0.4988,4.965052233421324,1.9672524232142038e-05,,,,,,,,,,,
198,0.446,0.7258,6.826654287762533,1.971036402656377e-05,,,,,,,,,,,
200,0.45,0.5114,4.668939193744481,1.9747823515109247e-05,,,,,,,,,,,
202,0.455,0.9528,6.092234467727267,1.9784910266243853e-05,,,,,,,,,,,
204,0.459,0.6383,4.750127238354133,1.982163162472712e-05,,,,,,,,,,,
206,0.464,0.5848,5.120574061391207,1.9857994720343102e-05,,,,,,,,,,,
208,0.468,0.6312,3.7123619452605063,1.9894006476208905e-05,,,,,,,,,,,
210,0.473,0.6077,5.389459054905512,1.992967361668572e-05,,,,,,,,,,,
212,0.477,0.5213,3.786318367047575,1.996500267491486e-05,,,,,,,,,,,
214,0.482,0.7596,4.185781159870241,2e-05,,,,,,,,,,,
216,0.486,0.7141,4.31422962707672,2e-05,,,,,,,,,,,
218,0.491,0.8635,6.892578694470112,2e-05,,,,,,,,,,,
220,0.495,0.3694,4.248100318561828,2e-05,,,,,,,,,,,
222,0.5,0.7285,4.945842996436248,2e-05,,,,,,,,,,,
222,0.5,,,,0.0,0.0,10.5397,309.59,3.131,,,,,,
224,0.505,0.6724,4.30579293610181,2e-05,,,,,,,,,,,
226,0.509,0.9194,6.835044631733606,2e-05,,,,,,,,,,,
228,0.514,0.667,3.8418126452615473,2e-05,,,,,,,,,,,
230,0.518,0.5772,5.2644354832613915,2e-05,,,,,,,,,,,
232,0.523,0.5884,4.662709042217491,2e-05,,,,,,,,,,,
234,0.527,0.6611,5.042566163291141,2e-05,,,,,,,,,,,
236,0.532,0.7676,6.113491668075191,2e-05,,,,,,,,,,,
238,0.536,0.6533,4.8665906232793175,2e-05,,,,,,,,,,,
240,0.541,0.7385,5.102287281922161,2e-05,,,,,,,,,,,
242,0.545,0.676,6.485424680041793,2e-05,,,,,,,,,,,
244,0.55,0.7698,3.817539728456347,2e-05,,,,,,,,,,,
246,0.554,0.5935,6.143880657604412,2e-05,,,,,,,,,,,
248,0.559,0.4862,3.893930342329321,2e-05,,,,,,,,,,,
250,0.563,0.6721,7.282421556115851,2e-05,,,,,,,,,,,
252,0.568,0.5439,4.835064299982698,2e-05,,,,,,,,,,,
254,0.572,0.5637,7.619888921148799,2e-05,,,,,,,,,,,
256,0.577,0.5767,4.797007096789174,2e-05,,,,,,,,,,,
258,0.581,0.7102,5.808868784816405,2e-05,,,,,,,,,,,
260,0.586,0.8687,5.644202811460355,2e-05,,,,,,,,,,,
262,0.59,0.6433,6.849658326317251,2e-05,,,,,,,,,,,
