step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
2,0.003,3.5623,18.435750181038806,2.3410892550558788e-06,,,,,
4,0.005,3.7341,16.12370129186311,4.6821785101117575e-06,,,,,
6,0.008,3.6321,17.529463510580864,6.051627935160672e-06,,,,,
8,0.01,3.6621,15.578192149985583,7.0232677651676355e-06,,,,,
10,0.013,3.6155,16.733076509390255,7.77693016900905e-06,,,,,
12,0.015,3.5618,16.76954354240324,8.392717190216552e-06,,,,,
14,0.018,3.3223,16.69787679981664,8.913357698213169e-06,,,,,
16,0.021,3.0822,18.09959933193342,9.364357020223515e-06,,,,,
18,0.023,3.2279,15.045099530409368,9.762166615265466e-06,,,,,
20,0.026,2.9393,16.429157336928654,1.0118019424064926e-05,,,,,
22,0.028,2.6295,13.567859212394932,1.0439927446048221e-05,,,,,
24,0.031,2.6556,12.828286213357563,1.073380644527243e-05,,,,,
26,0.033,2.4467,13.011394347219493,1.1004148918177996e-05,,,,,
28,0.036,2.609,9.759621638378299,1.1254446953269047e-05,,,,,
30,0.039,2.3975,10.656837553132135,1.1487468849113843e-05,,,,,
32,0.041,1.8409,8.14678248074021,1.1705446275279393e-05,,,,,
34,0.044,2.0714,7.33874775450144,1.1910204593147221e-05,,,,,
36,0.046,1.8441,5.814658119834947,1.2103255870321344e-05,,,,,
38,0.049,1.5774,5.26648609317943,1.2285866713034894e-05,,,,,
40,0.051,1.9031,6.426808826659778,1.2459108679120806e-05,,,,,
42,0.054,1.7132,5.057005930354541,1.2623896378317964e-05,,,,,
44,0.057,1.5535,5.036254584487681,1.2781016701104099e-05,,,,,
46,0.059,1.558,3.884513892479988,1.2931151544960505e-05,,,,,
48,0.062,1.581,4.472300826049102,1.307489570032831e-05,,,,,
50,0.064,1.4983,4.110342350951246,1.3212771082962219e-05,,,,,
52,0.067,1.3867,3.8430261950784326,1.3345238173233872e-05,,,,,
54,0.069,1.3902,3.896358450214032,1.3472705295370261e-05,,,,,
56,0.072,1.461,4.187605799818339,1.3595536208324928e-05,,,,,
58,0.075,1.2148,3.0827152175213794,1.37140563640147e-05,,,,,
60,0.077,1.2931,3.218094707980094,1.382855810416972e-05,,,,,
62,0.08,1.1823,3.832109348628759,1.3939305004740072e-05,,,,,
64,0.082,1.3658,3.9382215253439083,1.4046535530335271e-05,,,,,
66,0.085,1.2071,3.087463103579381,1.4150466126153014e-05,,,,,
68,0.088,0.9845,4.373132439436462,1.42512938482031e-05,,,,,
70,0.09,1.1076,3.3169403365125447,1.4349198612166341e-05,,,,,
72,0.093,1.1006,2.758022071483,1.4444345125377224e-05,,,,,
74,0.095,1.1733,2.940844391308266,1.4536884554044497e-05,,,,,
76,0.098,1.1648,3.4437337042622125,1.4626955968090772e-05,,,,,
78,0.1,1.135,2.824126567379671,1.4714687598282789e-05,,,,,
80,0.103,1.0987,3.3743655038142424,1.4800197934176684e-05,,,,,
82,0.106,1.0417,2.694674557604863,1.488359668647036e-05,,,,,
84,0.108,1.0362,2.3202254366247934,1.496498563337384e-05,,,,,
86,0.111,0.9495,2.6976895679323243,1.5044459367377382e-05,,,,,
88,0.113,1.0528,2.598491191815239,1.512210595615998e-05,,,,,
90,0.116,0.9598,3.1070362860251937,1.5198007529218637e-05,,,,,
92,0.118,0.9367,2.446014337588157,1.5272240800016383e-05,,,,,
94,0.121,1.0131,2.417260868584303,1.5344877531971568e-05,,,,,
96,0.124,0.9981,2.5065395501427554,1.5415984955384188e-05,,,,,
98,0.126,0.9002,2.7956142529036727,1.5485626141370464e-05,,,,,
100,0.129,0.8993,2.06735587628745,1.55538603380181e-05,,,,,
102,0.131,0.8844,2.340281371221618,1.562074327325201e-05,,,,,
104,0.134,0.9634,2.299883190098272,1.5686327428289748e-05,,,,,
106,0.136,0.8775,2.3935557596754524,1.5750662285048566e-05,,,,,
108,0.139,0.9394,2.215880600309798,1.581379455042614e-05,,,,,
110,0.142,0.8567,2.3255749886055916,1.5875768360001393e-05,,,,,
112,0.144,0.8977,2.034665298732243,1.5936625463380803e-05,,,,,
114,0.147,0.7701,2.016747456271952,1.5996405393139685e-05,,,,,
116,0.149,0.8144,2.349670374732217,1.6055145619070582e-05,,,,,
118,0.152,0.9256,3.305826595566885,1.6112881689246035e-05,,,,,
120,0.154,0.9009,2.2562052454482933,1.61696473592256e-05,,,,,
122,0.157,0.7894,2.008784839962434,1.6225474710583063e-05,,,,,
124,0.16,0.8281,2.079494509388641,1.628039425979595e-05,,,,,
126,0.162,0.8808,2.521784817351242,1.633443505842276e-05,,,,,
128,0.165,0.8765,2.712486047148441,1.638762478539115e-05,,,,,
130,0.167,0.7747,1.9916624429107186,1.6439989832131163e-05,,,,,
132,0.17,0.8216,2.2777084369316953,1.6491555381208892e-05,,,,,
134,0.172,0.757,1.7370610413928174,1.654234547904718e-05,,,,,
136,0.175,0.8331,2.1366371283472523,1.659238310325898e-05,,,,,
138,0.178,0.7854,2.197934980105525,1.66416902250653e-05,,,,,
140,0.18,0.8022,2.093610871392434,1.6690287867222218e-05,,,,,
142,0.183,0.7073,1.6924985825642118,1.673819615783913e-05,,,,,
144,0.185,0.8081,2.092627803527102,1.6785434380433105e-05,,,,,
146,0.188,0.7466,2.0575031201232674,1.683202102053088e-05,,,,,
148,0.19,0.6733,2.3367040743273346,1.6877973809100375e-05,,,,,
150,0.193,0.7646,2.2746468808346014,1.6923309763067014e-05,,,,,
152,0.196,0.7421,2.093472275860114,1.696804522314665e-05,,,,,
154,0.198,0.7717,2.3248686082880905,1.7012195889205514e-05,,,,,
156,0.201,0.7888,2.020129364828946,1.7055776853338665e-05,,,,,
158,0.203,0.8561,2.076031912499029,1.7098802630841403e-05,,,,,
160,0.206,0.7087,1.5902672866085839,1.7141287189232564e-05,,,,,
162,0.208,0.7201,2.1500109546886677,1.718324397547505e-05,,,,,
164,0.211,0.7149,2.02860733327213,1.722468594152624e-05,,,,,
166,0.214,0.7334,2.1757228770365886,1.7265625568339705e-05,,,,,
168,0.216,0.8275,2.2610794432259502,1.730607488842972e-05,,,,,
170,0.219,0.7426,1.8080623800841196,1.7346045507100393e-05,,,,,
172,0.221,0.7447,2.902914349166842,1.738554862243326e-05,,,,,
174,0.224,0.7558,2.570330908534435,1.7424595044119495e-05,,,,,
176,0.227,0.7684,2.0265636987866515,1.7463195211215857e-05,,,,,
178,0.229,0.6635,2.2496065055267973,1.750135920889745e-05,,,,,
180,0.232,0.7582,2.225588071865311,1.7539096784274516e-05,,,,,
182,0.234,0.6867,1.9163347974312714,1.7576417361335283e-05,,,,,
184,0.237,0.7196,1.8456304014588865,1.761333005507226e-05,,,,,
186,0.239,0.7216,2.2714803074002865,1.7649843684844867e-05,,,,,
188,0.242,0.7368,1.6895025963130412,1.7685966787027446e-05,,,,,
190,0.245,0.6553,1.633184181747774,1.7721707626988064e-05,,,,,
192,0.247,0.7555,1.9627602593206788,1.7757074210440066e-05,,,,,
194,0.25,0.7101,2.1122312750412484,1.7792074294205467e-05,,,,,
196,0.252,0.6284,1.6390738055157092,1.7826715396426338e-05,,,,,
198,0.255,0.7305,1.905730662220959,1.786100480625781e-05,,,,,
200,0.257,0.655,1.5900544985135785,1.7894949593073975e-05,,,,,
202,0.26,0.6949,1.6980172512196499,1.7928556615215774e-05,,,,,
204,0.263,0.6707,1.7887926750917564,1.7961832528307892e-05,,,,,
206,0.265,0.6963,1.6342847387233026,1.799478379316998e-05,,,,,
208,0.268,0.6793,1.787297507907252,1.802741668334563e-05,,,,,
210,0.27,0.6718,1.814080880664173,1.8059737292271135e-05,,,,,
212,0.273,0.6502,2.0011452084802674,1.8091751540104448e-05,,,,,
214,0.275,0.654,2.400229492725319,1.812346518023354e-05,,,,,
216,0.278,0.5563,1.4775220301186607,1.815488380548202e-05,,,,,
218,0.281,0.7048,1.687406549829045,1.8186012854028766e-05,,,,,
220,0.283,0.7143,1.694021714080608,1.821685761505727e-05,,,,,
222,0.286,0.6212,1.3950999224978133,1.8247423234149292e-05,,,,,
224,0.288,0.6113,1.77304767935128,1.8277714718436684e-05,,,,,
226,0.291,0.6174,1.4051995088674902,1.830773694152423e-05,,,,,
228,0.293,0.6369,1.5776929572988612,1.8337494648195567e-05,,,,,
230,0.296,0.6621,1.5588651198358947,1.8366992458913676e-05,,,,,
232,0.299,0.6477,1.667305433085535,1.839623487412646e-05,,,,,
234,0.301,0.712,1.7803561288147374,1.8425226278387582e-05,,,,,
236,0.304,0.6829,1.9080246932387117,1.8453970944301913e-05,,,,,
238,0.306,0.6416,1.794345822251083,1.8482473036304514e-05,,,,,
240,0.309,0.6078,1.9696608608445771,1.851073661428148e-05,,,,,
242,0.311,0.5914,1.4550897553378868,1.8538765637040564e-05,,,,,
244,0.314,0.6052,1.6966489058214917,1.856656396563894e-05,,,,,
246,0.317,0.5739,1.8346659928637588,1.859413536657515e-05,,,,,
248,0.319,0.6597,1.5865783517007122,1.8621483514851828e-05,,,,,
250,0.322,0.5868,1.3477157149599084,1.864861199691539e-05,,,,,
252,0.324,0.5658,1.515699985159175,1.8675524313478637e-05,,,,,
254,0.327,0.6313,1.6673195043645952,1.8702223882231755e-05,,,,,
256,0.329,0.6451,1.698291881881161,1.872871404044703e-05,,,,,
258,0.332,0.6716,2.027292908668899,1.8754998047482177e-05,,,,,
260,0.335,0.6359,1.6793326071943455,1.878107908718704e-05,,,,,
262,0.337,0.6503,1.3160797675706493,1.8806960270218068e-05,,,,,
264,0.34,0.6233,1.5288390929377014,1.883264463626477e-05,,,,,
266,0.342,0.6508,1.6525362346921182,1.885813515619218e-05,,,,,
268,0.345,0.5556,1.7030286067296654,1.888343473410306e-05,,,,,
270,0.347,0.5924,1.8550313724335914,1.8908546209323433e-05,,,,,
272,0.35,0.5815,1.457078559133053,1.8933472358314857e-05,,,,,
274,0.353,0.5837,1.3096066838485105,1.8958215896516665e-05,,,,,
276,0.355,0.576,1.549926055746957,1.8982779480121175e-05,,,,,
278,0.358,0.5799,1.4417848068170716,1.900716570778485e-05,,,,,
280,0.36,0.5808,1.66503335347368,1.9031377122278096e-05,,,,,
282,0.363,0.6109,1.5775161528057606,1.9055416212076363e-05,,,,,
284,0.366,0.6005,2.1323901976827786,1.907928541289501e-05,,,,,
286,0.368,0.5904,1.5875201635083247,1.9102987109170334e-05,,,,,
288,0.371,0.6712,1.8868915883238382,1.9126523635488983e-05,,,,,
290,0.373,0.6239,1.4351394057351239,1.914989727796787e-05,,,,,
292,0.376,0.5551,2.208782933194806,1.917311027558676e-05,,,,,
294,0.378,0.5569,1.7361402462434679,1.9196164821475255e-05,,,,,
296,0.381,0.5719,1.3590690654526705,1.9219063064156253e-05,,,,,
298,0.384,0.5982,1.6198138842372243,1.924180710874749e-05,,,,,
300,0.386,0.5939,1.400186121760826,1.9264399018122892e-05,,,,,
302,0.389,0.5351,1.4008223244658524,1.9286840814035372e-05,,,,,
304,0.391,0.5443,1.9332102996358573,1.9309134478202528e-05,,,,,
306,0.394,0.6105,2.0992219110385264,1.933128195335681e-05,,,,,
308,0.396,0.5851,1.8044761382250618,1.935328514426139e-05,,,,,
310,0.399,0.6111,1.6450358997480865,1.9375145918693242e-05,,,,,
312,0.402,0.5896,1.992772173565022,1.9396866108394546e-05,,,,,
314,0.404,0.5176,1.4884680408508748,1.9418447509993732e-05,,,,,
316,0.407,0.5537,1.775961714888903,1.943989188589728e-05,,,,,
318,0.409,0.509,1.3444561628235752,1.946120096515336e-05,,,,,
320,0.412,0.5583,1.8789289409896357,1.948237644428844e-05,,,,,
322,0.414,0.5584,1.377797301149711,1.9503419988117796e-05,,,,,
324,0.417,0.5527,1.3473946583583567,1.9524333230530932e-05,,,,,
326,0.42,0.5208,1.2050440936693687,1.9545117775252875e-05,,,,,
328,0.422,0.516,1.4339860209969435,1.9565775196582117e-05,,,,,
330,0.425,0.5275,1.5429431804747842,1.9586307040106185e-05,,,,,
332,0.427,0.5547,1.7070106660279125,1.960671482339558e-05,,,,,
334,0.43,0.5481,1.8247476052140954,1.9627000036676852e-05,,,,,
336,0.432,0.5006,1.8675567360102785,1.96471641434856e-05,,,,,
338,0.435,0.5338,1.7073183635214713,1.9667208581300106e-05,,,,,
340,0.438,0.5221,1.6320090798564653,1.968713476215627e-05,,,,,
342,0.44,0.5516,1.8412243693071655,1.970694407324448e-05,,,,,
344,0.443,0.5697,1.4084429649967325,1.9726637877489138e-05,,,,,
346,0.445,0.5172,1.5046712347989235,1.9746217514111347e-05,,,,,
348,0.448,0.5236,1.6074329953701385,1.9765684299175377e-05,,,,,
