step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.004,4.7788,284.43914794921875,2.484518792762268e-06,,,,,,,,,,,
4,0.007,4.5879,329.59765625,4.969037585524536e-06,,,,,,,,,,,
6,0.011,2.1009,90.04692840576172,6.422387911627459e-06,,,,,,,,,,,
8,0.015,0.8771,19.615917205810547,7.453556378286803e-06,,,,,,,,,,,
10,0.018,0.6399,39.932952880859375,8.253392779952611e-06,,,,,,,,,,,
12,0.022,0.4773,17.900611877441406,8.906906704389727e-06,,,,,,,,,,,
14,0.025,0.4744,14.745294570922852,9.459444854568035e-06,,,,,,,,,,,
16,0.029,0.2971,16.84911346435547,9.938075171049072e-06,,,,,,,,,,,
18,0.033,0.3362,16.06626319885254,1.0360257030492651e-05,,,,,,,,,,,
20,0.036,0.2755,9.086955070495605,1.0737911572714876e-05,,,,,,,,,,,
22,0.04,0.2467,7.539778709411621,1.1079541661542623e-05,,,,,,,,,,,
24,0.044,0.223,6.985536098480225,1.1391425497151996e-05,,,,,,,,,,,
26,0.047,0.1781,6.255896091461182,1.167833081396772e-05,,,,,,,,,,,
28,0.051,0.1652,7.974462509155273,1.1943963647330303e-05,,,,,,,,,,,
30,0.054,0.2038,11.506986618041992,1.21912618988178e-05,,,,,,,,,,,
32,0.058,0.1723,3.927272081375122,1.2422593963811338e-05,,,,,,,,,,,
34,0.062,0.2691,8.764242172241211,1.2639897036566191e-05,,,,,,,,,,,
36,0.065,0.2222,11.912129402160645,1.2844775823254917e-05,,,,,,,,,,,
38,0.069,0.1739,10.19195556640625,1.3038574530204745e-05,,,,,,,,,,,
40,0.073,0.1427,6.894964218139648,1.3222430365477144e-05,,,,,,,,,,,
42,0.076,0.1874,7.669395446777344,1.3397313973433228e-05,,,,,,,,,,,
44,0.08,0.1831,4.672040939331055,1.356406045430489e-05,,,,,,,,,,,
46,0.083,0.1495,7.342724323272705,1.3723393482810361e-05,,,,,,,,,,,
48,0.087,0.1433,4.5387468338012695,1.3875944289914262e-05,,,,,,,,,,,
50,0.091,0.1544,4.381418228149414,1.4022266767142951e-05,,,,,,,,,,,
52,0.094,0.1063,4.715795516967773,1.416284960672999e-05,,,,,,,,,,,
54,0.098,0.1812,7.6844892501831055,1.4298126149357842e-05,,,,,,,,,,,
56,0.102,0.1422,5.419586658477783,1.4428482440092573e-05,,,,,,,,,,,
58,0.105,0.1475,8.794548988342285,1.4554263870038663e-05,,,,,,,,,,,
60,0.109,0.1432,3.7104744911193848,1.4675780691580068e-05,,,,,,,,,,,
62,0.113,0.1315,4.594625473022461,1.4793312628951947e-05,,,,,,,,,,,
64,0.116,0.1421,4.962892532348633,1.4907112756573606e-05,,,,,,,,,,,
66,0.12,0.1654,4.058490753173828,1.5017410780407813e-05,,,,,,,,,,,
68,0.123,0.1199,4.928914546966553,1.5124415829328457e-05,,,,,,,,,,,
70,0.127,0.111,3.7366902828216553,1.522831884175838e-05,,,,,,,,,,,
72,0.131,0.1864,5.435059070587158,1.532929461601719e-05,,,,,,,,,,,
74,0.134,0.1154,3.446692705154419,1.542750357968604e-05,,,,,,,,,,,
76,0.138,0.1295,3.0998928546905518,1.5523093322967013e-05,,,,,,,,,,,
78,0.142,0.1505,8.337174415588379,1.561619993283291e-05,,,,,,,,,,,
80,0.145,0.1343,3.8506877422332764,1.570694915823941e-05,,,,,,,,,,,
82,0.149,0.1107,5.5559468269348145,1.579545743143706e-05,,,,,,,,,,,
84,0.152,0.1258,3.561452865600586,1.5881832766195496e-05,,,,,,,,,,,
86,0.156,0.1329,5.897721290588379,1.5966175550323165e-05,,,,,,,,,,,
88,0.16,0.1408,4.483907699584961,1.604857924706716e-05,,,,,,,,,,,
90,0.163,0.1421,5.7777886390686035,1.6129131017682994e-05,,,,,,,,,,,
92,0.167,0.1248,2.2630739212036133,1.620791227557263e-05,,,,,,,,,,,
94,0.171,0.1266,3.91054368019104,1.628499918082314e-05,,,,,,,,,,,
96,0.174,0.1304,6.27825403213501,1.636046308267653e-05,,,,,,,,,,,
98,0.178,0.1394,4.561892509460449,1.6434370916373806e-05,,,,,,,,,,,
100,0.181,0.1028,3.7212371826171875,1.6506785559905222e-05,,,,,,,,,,,
102,0.185,0.1345,4.283798694610596,1.6577766155431382e-05,,,,,,,,,,,
104,0.189,0.1243,5.636763095855713,1.6647368399492253e-05,,,,,,,,,,,
106,0.192,0.1383,4.145629405975342,1.6715644805571928e-05,,,,,,,,,,,
108,0.196,0.1286,5.241494655609131,1.678264494212011e-05,,,,,,,,,,,
110,0.2,0.14,5.851038932800293,1.6848415648732967e-05,,,,,,,,,,,
112,0.203,0.1018,3.936069965362549,1.6913001232854837e-05,,,,,,,,,,,
114,0.207,0.1349,4.28786563873291,1.697644364906994e-05,,,,,,,,,,,
116,0.211,0.1354,3.1779191493988037,1.703878266280093e-05,,,,,,,,,,,
118,0.214,0.1213,3.9102940559387207,1.7100056000014097e-05,,,,,,,,,,,
120,0.218,0.1304,6.219655513763428,1.7160299484342336e-05,,,,,,,,,,,
122,0.221,0.1292,5.394655704498291,1.7219547162874117e-05,,,,,,,,,,,
124,0.225,0.1044,2.720872163772583,1.727783142171422e-05,,,,,,,,,,,
126,0.229,0.1202,4.021844863891602,1.733518309229842e-05,,,,,,,,,,,
128,0.232,0.1223,5.3263726234436035,1.7391631549335872e-05,,,,,,,,,,,
130,0.236,0.1489,4.428925037384033,1.7447204801158062e-05,,,,,,,,,,,
132,0.24,0.1268,3.288557767868042,1.7501929573170084e-05,,,,,,,,,,,
134,0.243,0.0947,2.6878862380981445,1.7555831385026653e-05,,,,,,,,,,,
136,0.247,0.1317,1.8204171657562256,1.7608934622090724e-05,,,,,,,,,,,
138,0.25,0.0768,3.028857946395874,1.7661262601675552e-05,,,,,,,,,,,
140,0.254,0.118,3.58518648147583,1.7712837634520643e-05,,,,,,,,,,,
142,0.258,0.1099,4.376481533050537,1.7763681081907275e-05,,,,,,,,,,,
144,0.261,0.1167,2.901618480682373,1.7813813408779453e-05,,,,,,,,,,,
146,0.265,0.0763,2.639270544052124,1.7863254233201082e-05,,,,,,,,,,,
148,0.269,0.1147,2.7259695529937744,1.7912022372448306e-05,,,,,,,,,,,
150,0.272,0.1019,4.376730442047119,1.7960135886008142e-05,,,,,,,,,,,
152,0.276,0.0982,2.9185869693756104,1.800761211572928e-05,,,,,,,,,,,
154,0.279,0.1737,3.554434061050415,1.805446772334839e-05,,,,,,,,,,,
156,0.283,0.1357,5.220046043395996,1.810071872559518e-05,,,,,,,,,,,
158,0.287,0.1251,5.25414514541626,1.814638052706127e-05,,,,,,,,,,,
160,0.29,0.1608,5.0552544593811035,1.819146795100168e-05,,,,,,,,,,,
162,0.294,0.1359,5.0286407470703125,1.823599526822303e-05,,,,,,,,,,,
164,0.298,0.0829,2.463992118835449,1.8279976224199323e-05,,,,,,,,,,,
166,0.301,0.1288,4.9956560134887695,1.8323424064544185e-05,,,,,,,,,,,
168,0.305,0.0973,7.549368381500244,1.8366351558957764e-05,,,,,,,,,,,
170,0.309,0.1313,2.4250845909118652,1.8408771023756533e-05,,,,,,,,,,,
172,0.312,0.0985,2.3687143325805664,1.8450694343085433e-05,,,,,,,,,,,
174,0.316,0.1818,5.420084476470947,1.8492132988903854e-05,,,,,,,,,,,
