step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.008,6.0791,382.532470703125,2.9270191615172394e-06,,,,,,,,,,,
4,0.017,5.2708,423.1876525878906,5.854038323034479e-06,,,,,,,,,,,
6,0.025,2.0813,172.26153564453125,7.566234771414346e-06,,,,,,,,,,,
8,0.034,0.5517,40.827632904052734,8.781057484551718e-06,,,,,,,,,,,
10,0.042,0.8559,32.41841125488281,9.72334718691777e-06,,,,,,,,,,,
12,0.051,0.622,33.069637298583984,1.0493253932931586e-05,,,,,,,,,,,
14,0.059,0.5645,24.07502555847168,1.1144200811559583e-05,,,,,,,,,,,
16,0.068,0.3586,12.608190536499023,1.1708076646068958e-05,,,,,,,,,,,
18,0.076,0.5455,19.90584373474121,1.220545038131145e-05,,,,,,,,,,,
20,0.084,0.497,25.341503143310547,1.2650366348435008e-05,,,,,,,,,,,
22,0.093,0.2335,25.18999671936035,1.3052841797227209e-05,,,,,,,,,,,
24,0.101,0.3765,20.094173431396484,1.3420273094448826e-05,,,,,,,,,,,
26,0.11,0.614,15.773850440979004,1.375827712255567e-05,,,,,,,,,,,
28,0.118,0.4865,27.261966705322266,1.4071219973076822e-05,,,,,,,,,,,
30,0.127,0.3851,17.432350158691406,1.4362562796814874e-05,,,,,,,,,,,
32,0.135,0.413,8.929561614990234,1.4635095807586197e-05,,,,,,,,,,,
34,0.143,0.2782,16.44295310974121,1.4891101219846681e-05,,,,,,,,,,,
36,0.152,0.2342,8.198808670043945,1.5132469542828692e-05,,,,,,,,,,,
38,0.16,0.2619,9.056573867797852,1.5360784390102897e-05,,,,,,,,,,,
40,0.169,0.2742,19.084325790405273,1.557738550995225e-05,,,,,,,,,,,
42,0.177,0.249,8.676910400390625,1.578341642145669e-05,,,,,,,,,,,
44,0.186,0.2146,28.108051300048828,1.597986095874445e-05,,,,,,,,,,,
46,0.194,0.3621,12.931632041931152,1.616757168520652e-05,,,,,,,,,,,
48,0.203,0.2075,12.377633094787598,1.6347292255966065e-05,,,,,,,,,,,
50,0.211,0.361,11.34411334991455,1.6519675212318297e-05,,,,,,,,,,,
52,0.219,0.2761,14.335756301879883,1.668529628407291e-05,,,,,,,,,,,
54,0.228,0.6661,16.820404052734375,1.684466599120856e-05,,,,,,,,,,,
56,0.236,0.2198,7.462259769439697,1.6998239134594067e-05,,,,,,,,,,,
58,0.245,0.2969,10.819076538085938,1.714642262054223e-05,,,,,,,,,,,
60,0.253,0.2289,11.386962890625,1.7289581958332114e-05,,,,,,,,,,,
62,0.262,0.2688,8.15050983428955,1.7428046691937636e-05,,,,,,,,,,,
64,0.27,0.2845,12.675537109375,1.7562114969103437e-05,,,,,,,,,,,
66,0.278,0.4654,18.868656158447266,1.769205740712431e-05,,,,,,,,,,,
68,0.287,0.1864,11.140878677368164,1.7818120381363922e-05,,,,,,,,,,,
70,0.295,0.3285,20.78061294555664,1.7940528836960115e-05,,,,,,,,,,,
72,0.304,0.392,13.026400566101074,1.805948870434593e-05,,,,,,,,,,,
74,0.312,0.2509,7.656500816345215,1.8175188983743654e-05,,,,,,,,,,,
76,0.321,0.2647,11.031022071838379,1.8287803551620137e-05,,,,,,,,,,,
78,0.329,0.3415,16.620777130126953,1.8397492732452774e-05,,,,,,,,,,,
80,0.338,0.3402,12.878279685974121,1.8504404671469485e-05,,,,,,,,,,,
82,0.346,0.1996,8.650766372680664,1.8608676537859472e-05,,,,,,,,,,,
84,0.354,0.4952,6.751451015472412,1.8710435582973928e-05,,,,,,,,,,,
86,0.363,0.146,9.877062797546387,1.880980007399592e-05,,,,,,,,,,,
88,0.371,0.2586,11.023207664489746,1.890688012026169e-05,,,,,,,,,,,
90,0.38,0.1758,9.719953536987305,1.900177840671198e-05,,,,,,,,,,,
92,0.388,0.1669,7.414414405822754,1.909459084672376e-05,,,,,,,,,,,
94,0.397,0.1314,0.32875746488571167,1.9185407164727725e-05,,,,,,,,,,,
96,0.405,0.2459,37.736759185791016,1.92743114174833e-05,,,,,,,,,,,
98,0.414,0.7796,15.131640434265137,1.936138246160193e-05,,,,,,,,,,,
100,0.422,0.3843,11.429038047790527,1.944669437383554e-05,,,,,,,,,,,
102,0.43,0.2764,11.72522258758545,1.9530316829743787e-05,,,,,,,,,,,
104,0.439,0.1812,7.152556419372559,1.961231544559015e-05,,,,,,,,,,,
106,0.447,0.1688,6.793094158172607,1.969275208767026e-05,,,,,,,,,,,
108,0.456,0.1594,4.944337368011475,1.9771685152725798e-05,,,,,,,,,,,
110,0.464,0.1239,7.851224422454834,1.9849169822627737e-05,,,,,,,,,,,
112,0.473,0.0644,11.487022399902344,1.99252582961113e-05,,,,,,,,,,,
114,0.481,0.2418,3.844768762588501,2e-05,,,,,,,,,,,
116,0.489,0.1632,6.923622131347656,1.9992673992673993e-05,,,,,,,,,,,
118,0.498,0.3798,11.910393714904785,1.997802197802198e-05,,,,,,,,,,,
118,0.498,,,,0.44902912616374835,0.44902912616374835,13.8913,233.384,2.376,,,,,,
120,0.506,0.3265,8.822521209716797,1.9963369963369966e-05,,,,,,,,,,,
122,0.515,0.2144,8.989259719848633,1.994871794871795e-05,,,,,,,,,,,
124,0.523,0.1749,4.350594520568848,1.9934065934065935e-05,,,,,,,,,,,
126,0.532,0.383,19.62952995300293,1.9919413919413922e-05,,,,,,,,,,,
128,0.54,0.1514,8.422277450561523,1.9904761904761908e-05,,,,,,,,,,,
130,0.549,0.2509,15.34694766998291,1.989010989010989e-05,,,,,,,,,,,
132,0.557,0.2629,10.535404205322266,1.9875457875457878e-05,,,,,,,,,,,
134,0.565,0.2202,4.42251443862915,1.9860805860805864e-05,,,,,,,,,,,
136,0.574,0.1118,6.373553276062012,1.9846153846153847e-05,,,,,,,,,,,
138,0.582,0.3275,14.444755554199219,1.9831501831501833e-05,,,,,,,,,,,
140,0.591,0.1965,2.3799123764038086,1.981684981684982e-05,,,,,,,,,,,
142,0.599,0.1829,5.6176934242248535,1.9802197802197806e-05,,,,,,,,,,,
144,0.608,0.3312,10.341553688049316,1.978754578754579e-05,,,,,,,,,,,
146,0.616,0.0947,5.243725776672363,1.9772893772893776e-05,,,,,,,,,,,
148,0.624,0.1551,6.826562881469727,1.9758241758241762e-05,,,,,,,,,,,
150,0.633,0.1441,5.944207668304443,1.9743589743589745e-05,,,,,,,,,,,
152,0.641,0.265,5.63497257232666,1.972893772893773e-05,,,,,,,,,,,
154,0.65,0.1383,16.2364444732666,1.9714285714285718e-05,,,,,,,,,,,
156,0.658,0.1221,6.4277024269104,1.96996336996337e-05,,,,,,,,,,,
158,0.667,0.0537,6.116844654083252,1.9684981684981687e-05,,,,,,,,,,,
160,0.675,0.1669,10.198923110961914,1.967032967032967e-05,,,,,,,,,,,
162,0.684,0.0797,14.889159202575684,1.9655677655677656e-05,,,,,,,,,,,
164,0.692,0.1908,7.152231216430664,1.9641025641025643e-05,,,,,,,,,,,
166,0.7,0.2129,8.655505180358887,1.9626373626373626e-05,,,,,,,,,,,
168,0.709,0.0566,5.430291175842285,1.9611721611721612e-05,,,,,,,,,,,
170,0.717,0.3609,23.79311180114746,1.95970695970696e-05,,,,,,,,,,,
172,0.726,0.4262,17.708419799804688,1.958241758241758e-05,,,,,,,,,,,
