step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,13.3033,539.8605346679688,0.0,,,,,,,,,,,
2,0.007,13.2983,369.6859436035156,2.7894294565112984e-06,,,,,,,,,,,
3,0.01,14.4704,459.1454772949219,4.421141086977404e-06,,,,,,,,,,,
4,0.013,15.662,714.1246948242188,5.578858913022597e-06,,,,,,,,,,,
5,0.017,13.55,720.525390625,6.47685462377997e-06,,,,,,,,,,,
6,0.02,11.8234,364.8675842285156,7.210570543488702e-06,,,,,,,,,,,
7,0.023,9.1161,393.7449035644531,7.830918514469461e-06,,,,,,,,,,,
8,0.027,7.0169,368.5511474609375,8.368288369533896e-06,,,,,,,,,,,
9,0.03,1.9752,293.440673828125,8.842282173954808e-06,,,,,,,,,,,
10,0.033,6.6932,121.33675384521484,9.26628408029127e-06,,,,,,,,,,,
11,0.037,2.9373,58.507320404052734,9.64984045981344e-06,,,,,,,,,,,
12,0.04,1.7816,26.67609977722168,1e-05,,,,,,,,,,,
13,0.043,1.1628,18.234859466552734,1.032211555182713e-05,,,,,,,,,,,
14,0.047,0.0082,14.594012260437012,1.062034797098076e-05,,,,,,,,,,,
15,0.05,2.1073,23.686494827270508,1.0897995710757375e-05,,,,,,,,,,,
16,0.053,0.0,0.04241747409105301,1.1157717826045193e-05,,,,,,,,,,,
17,0.057,0.0001,0.043915439397096634,1.1401689251779062e-05,,,,,,,,,,,
18,0.06,0.0002,0.264809250831604,1.1631711630466105e-05,,,,,,,,,,,
19,0.063,2.084,24.78647804260254,1.1849294135124332e-05,,,,,,,,,,,
20,0.067,0.0007,0.6242474913597107,1.2055713536802568e-05,,,,,,,,,,,
21,0.07,0.7877,11.462662696838379,1.2252059601446866e-05,,,,,,,,,,,
22,0.073,0.7629,24.539674758911133,1.2439269916324738e-05,,,,,,,,,,,
23,0.077,0.7024,11.505646705627441,1.26181569685793e-05,,,,,,,,,,,
24,0.08,0.0003,0.15763944387435913,1.27894294565113e-05,,,,,,,,,,,
25,0.083,1.1285,72.236083984375,1.295370924755994e-05,,,,,,,,,,,
26,0.087,1.2615,14.168172836303711,1.3111545008338429e-05,,,,,,,,,,,
27,0.09,0.8074,41.73335266113281,1.3263423260932211e-05,,,,,,,,,,,
28,0.093,0.5207,13.084049224853516,1.3409777427492059e-05,,,,,,,,,,,
29,0.097,0.5862,39.774845123291016,1.3550995286980921e-05,,,,,,,,,,,
30,0.1,0.6698,26.750898361206055,1.3687425167268674e-05,,,,,,,,,,,
31,0.103,0.0005,0.17237812280654907,1.3819381121532743e-05,,,,,,,,,,,
32,0.107,0.0003,0.09434695541858673,1.3947147282556492e-05,,,,,,,,,,,
33,0.11,0.6641,11.207521438598633,1.4070981546790841e-05,,,,,,,,,,,
34,0.113,0.0001,0.037565819919109344,1.4191118708290361e-05,,,,,,,,,,,
35,0.117,1.0029,16.541522979736328,1.4307773138249433e-05,,,,,,,,,,,
36,0.12,0.4873,26.240528106689453,1.4421141086977404e-05,,,,,,,,,,,
37,0.123,0.4914,10.50383472442627,1.4531402670407318e-05,,,,,,,,,,,
38,0.127,0.5321,17.198707580566406,1.4638723591635631e-05,,,,,,,,,,,
39,0.13,0.0152,5.036281585693359,1.4743256638804533e-05,,,,,,,,,,,
40,0.133,0.0001,0.051155366003513336,1.4845142993313866e-05,,,,,,,,,,,
41,0.137,0.4277,19.918638229370117,1.494451337647284e-05,,,,,,,,,,,
42,0.14,0.0,0.002467809244990349,1.5041489057958165e-05,,,,,,,,,,,
43,0.143,0.0,0.0037581261713057756,1.5136182745595087e-05,,,,,,,,,,,
