step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.001,13.4248,372.0873718261719,0.0,,,,,,,,,,,
2,0.001,12.4083,251.03091430664062,2.031386949406506e-06,,,,,,,,,,,
3,0.002,13.6929,382.38751220703125,3.219672139263657e-06,,,,,,,,,,,
4,0.002,13.4135,434.0329895019531,4.062773898813012e-06,,,,,,,,,,,
5,0.003,12.3473,453.68524169921875,4.716734429414499e-06,,,,,,,,,,,
6,0.003,11.5531,360.54632568359375,5.2510590886701626e-06,,,,,,,,,,,
7,0.004,10.8115,213.94464111328125,5.702824151019936e-06,,,,,,,,,,,
8,0.004,9.1373,221.24868774414062,6.094160848219518e-06,,,,,,,,,,,
9,0.005,9.0373,151.04689025878906,6.439344278527314e-06,,,,,,,,,,,
10,0.005,5.7981,378.6352233886719,6.748121378821006e-06,,,,,,,,,,,
11,0.006,5.5631,205.63565063476562,7.027444242464031e-06,,,,,,,,,,,
12,0.006,4.0126,92.4680404663086,7.2824460380766695e-06,,,,,,,,,,,
13,0.007,3.5043,107.84780883789062,7.517024950497304e-06,,,,,,,,,,,
14,0.007,3.6189,92.16163635253906,7.734211100426442e-06,,,,,,,,,,,
15,0.008,3.349,124.10623168945312,7.936406568678157e-06,,,,,,,,,,,
16,0.008,2.845,118.9655990600586,8.125547797626024e-06,,,,,,,,,,,
17,0.009,1.7449,98.54590606689453,8.303218671899978e-06,,,,,,,,,,,
18,0.009,2.1845,36.29867172241211,8.47073122793382e-06,,,,,,,,,,,
19,0.01,1.9561,62.094364166259766,8.62918451283413e-06,,,,,,,,,,,
20,0.01,1.6475,29.113412857055664,8.779508328227511e-06,,,,,,,,,,,
21,0.011,1.1056,16.55020523071289,8.922496290283594e-06,,,,,,,,,,,
22,0.011,1.8169,28.147397994995117,9.058831191870537e-06,,,,,,,,,,,
23,0.012,1.3625,47.039100646972656,9.189104722365983e-06,,,,,,,,,,,
24,0.013,1.33,19.08603286743164,9.313832987483176e-06,,,,,,,,,,,
25,0.013,1.3121,36.77223205566406,9.433468858828999e-06,,,,,,,,,,,
26,0.014,1.3348,32.19841003417969,9.54841189990381e-06,,,,,,,,,,,
27,0.014,0.8965,37.29636001586914,9.65901641779097e-06,,,,,,,,,,,
28,0.015,0.9906,108.51890563964844,9.765598049832949e-06,,,,,,,,,,,
29,0.015,1.0926,39.320655822753906,9.868439193966983e-06,,,,,,,,,,,
30,0.016,0.7242,29.49146842956543,9.967793518084664e-06,,,,,,,,,,,
31,0.016,1.0192,30.136890411376953,1.0063889729717761e-05,,,,,,,,,,,
32,0.017,1.2825,23.782201766967773,1.015693474703253e-05,,,,,,,,,,,
33,0.017,1.0027,24.410114288330078,1.0247116381727689e-05,,,,,,,,,,,
34,0.018,1.0021,25.157968521118164,1.0334605621306485e-05,,,,,,,,,,,
35,0.018,1.3092,30.065387725830078,1.0419558580434434e-05,,,,,,,,,,,
36,0.019,0.6925,15.959925651550293,1.0502118177340325e-05,,,,,,,,,,,
37,0.019,0.5365,9.539636611938477,1.0582415580480447e-05,,,,,,,,,,,
38,0.02,0.9016,21.904468536376953,1.0660571462240636e-05,,,,,,,,,,,
39,0.02,1.152,33.87065887451172,1.073669708976096e-05,,,,,,,,,,,
40,0.021,1.0649,15.369329452514648,1.0810895277634017e-05,,,,,,,,,,,
41,0.021,1.226,40.770721435546875,1.0883261222947842e-05,,,,,,,,,,,
42,0.022,1.2211,36.88077926635742,1.0953883239690099e-05,,,,,,,,,,,
43,0.022,1.0429,19.646020889282227,1.1022843406726337e-05,,,,,,,,,,,
44,0.023,1.0207,24.92926788330078,1.1090218141277042e-05,,,,,,,,,,,
45,0.023,1.252,35.84170913696289,1.1156078707941814e-05,,,,,,,,,,,
46,0.024,0.9886,18.187673568725586,1.1220491671772488e-05,,,,,,,,,,,
47,0.025,0.8739,15.442395210266113,1.1283519302616823e-05,,,,,,,,,,,
48,0.025,0.8285,24.288829803466797,1.1345219936889682e-05,,,,,,,,,,,
49,0.026,0.763,24.666730880737305,1.1405648302039871e-05,,,,,,,,,,,
50,0.026,0.8975,11.28286361694336,1.1464855808235504e-05,,,,,,,,,,,
51,0.027,1.0424,21.312152862548828,1.1522890811163633e-05,,,,,,,,,,,
