step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.4613,16.987646102905273,0.0,,,,,,,,,,,
2,0.08,0.6272,27.936378479003906,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.4965,22.709047317504883,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.3534,18.147092819213867,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.2522,10.077606201171875,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.3036,16.252830505371094,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.095,4.578071594238281,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1012,2.674704074859619,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0572,2.298884868621826,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.148,3.978088855743408,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.0567,1.8437151908874512,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1036,3.1153202056884766,2e-05,,,,,,,,,,,
12,0.48,,,,0.32438739785016313,0.32438739785016313,18.7509,5.333,0.053,,,,,,
13,0.52,0.0788,2.6360862255096436,2e-05,,,,,,,,,,,
14,0.56,0.0784,2.5432941913604736,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0473,1.5191045999526978,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.04,1.3892687559127808,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0785,5.422175884246826,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0868,2.6504173278808594,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0774,2.522067070007324,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0824,2.9595463275909424,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0341,2.1553776264190674,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0641,2.1699607372283936,1.9375e-05,,,,,,,,,,,
23,0.92,0.041,1.8699361085891724,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0605,1.7205679416656494,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0603,2.5818591117858887,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.5844748857958971,0.5844748857958971,18.4116,5.431,0.054,,,,,,
26,1.04,0.0365,1.0642938613891602,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0502,3.97302508354187,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0287,2.308745861053467,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0299,1.9463396072387695,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0261,1.027847170829773,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0293,1.8157899379730225,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0062,0.8787704706192017,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0211,1.6624181270599365,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0141,0.807218074798584,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0343,1.4669064283370972,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0268,0.912486732006073,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0101,0.45182666182518005,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0122,0.5425678491592407,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.7275097783070471,0.7275097783070471,18.6537,5.361,0.054,,,,,,
39,1.56,0.0298,4.572510242462158,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0327,1.4770246744155884,1.8125e-05,,,,,,,,,,,
41,1.64,0.0294,1.2733124494552612,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0168,1.6020742654800415,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.01,0.8655226826667786,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0222,0.9006487131118774,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0287,2.2118849754333496,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.019,1.167976975440979,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0174,1.162326693534851,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0244,2.1827661991119385,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0137,0.7532022595405579,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0225,0.9329037666320801,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.642947903380629,0.642947903380629,17.3131,5.776,0.058,,,,,,
51,2.04,0.0098,0.8623310327529907,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0029,0.37830302119255066,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0021,0.2202376276254654,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.038,1.8915698528289795,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.012,0.9078493714332581,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0207,0.9206554889678955,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.034,0.7821487784385681,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0057,0.4429090917110443,1.6875e-05,,,,,,,,,,,
59,2.36,0.0034,0.22464913129806519,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0151,1.1255707740783691,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0062,0.64364093542099,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0175,0.9217315316200256,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.6957637996931005,0.6957637996931005,18.5438,5.393,0.054,,,,,,
63,2.52,0.0032,0.2838309705257416,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0082,0.7495442628860474,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0148,0.763136088848114,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0035,0.46893396973609924,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0114,0.6584477424621582,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0506,1.3180201053619385,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0084,0.5065596103668213,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0139,0.6432493925094604,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0483,2.116697311401367,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0283,1.1677911281585693,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0072,0.9610863327980042,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0152,0.8028193116188049,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0186,0.8306865096092224,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.7092731829073065,0.7092731829073065,17.3122,5.776,0.058,,,,,,
76,3.04,0.0049,0.4706682562828064,1.5625e-05,,,,,,,,,,,
77,3.08,0.0036,0.31392645835876465,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0046,0.35780763626098633,1.5486111111111113e-05,,,,,,,,,,,
