step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.2842,13.77453899383545,0.0,,,,,,,,,,,
2,0.04,1.3682,15.449960708618164,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1916,12.161033630371094,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1081,13.393332481384277,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.7701,6.980282783508301,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.631,7.055793762207031,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.5032,5.479306221008301,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.4533,5.318707466125488,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.3347,4.521651744842529,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.3246,7.07299280166626,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.2207,5.275273323059082,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1937,4.030806064605713,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.167,4.847834587097168,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1249,3.060103178024292,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1154,2.6627418994903564,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1058,3.0605413913726807,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0652,1.6106324195861816,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.088,2.1432247161865234,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0458,0.8315389752388,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.057,2.024634838104248,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0995,1.9028315544128418,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0907,3.5815508365631104,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0616,2.1330950260162354,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.1013,2.6990060806274414,2e-05,,,,,,,,,,,
25,0.5,0.0826,1.6852712631225586,2e-05,,,,,,,,,,,
25,0.5,,,,0.3453608246927649,0.3453608246927649,7.0206,14.244,0.142,,,,,,
26,0.52,0.07,1.362602949142456,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0878,1.5655006170272827,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0378,1.1827160120010376,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0349,0.8144317269325256,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0471,1.6380070447921753,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.1329,2.6305928230285645,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0457,1.201718807220459,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0584,1.35840904712677,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0641,2.2500224113464355,1.96875e-05,,,,,,,,,,,
35,0.7,0.0937,1.7880030870437622,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0651,1.6527024507522583,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0729,1.5067689418792725,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0611,0.7443292737007141,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0968,1.9347540140151978,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0612,1.1626555919647217,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0464,1.2857285737991333,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0765,1.4305307865142822,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0723,3.2287445068359375,1.9375e-05,,,,,,,,,,,
44,0.88,0.1198,4.4348015785217285,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0747,2.3744571208953857,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0932,1.2502532005310059,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0411,1.2612913846969604,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0409,0.8794109225273132,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0481,0.8386632800102234,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0548,0.9892240166664124,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.507821901273645,0.507821901273645,6.9901,14.306,0.143,,,,,,
51,1.02,0.078,1.6974518299102783,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0439,1.1108484268188477,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0333,1.3756742477416992,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0162,0.48070964217185974,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0344,0.7687792181968689,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0294,0.7185271978378296,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0272,0.9372479915618896,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0234,1.2659415006637573,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0326,1.1966835260391235,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0529,2.278770685195923,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0577,1.5245660543441772,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0389,1.2534725666046143,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0265,0.6110135912895203,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0111,0.42863985896110535,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0316,1.0869317054748535,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0888,1.3020912408828735,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.1522,3.7345876693725586,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0706,1.3527805805206299,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0536,1.187980055809021,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0344,0.4102921485900879,1.84375e-05,,,,,,,,,,,
71,1.42,0.0339,0.9696131348609924,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0697,1.7069779634475708,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0308,1.1082934141159058,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.011,0.28975123167037964,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0186,0.7300924062728882,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.5948158253265092,0.5948158253265092,6.9732,14.341,0.143,,,,,,
76,1.52,0.0223,0.7235392928123474,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0266,0.756636381149292,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0225,1.1002333164215088,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0589,0.8747053146362305,1.8125e-05,,,,,,,,,,,
80,1.6,0.0594,1.3263115882873535,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0324,1.002509593963623,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0364,1.8335912227630615,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0487,2.0363929271698,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0397,0.9646376371383667,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0478,1.646087408065796,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0261,0.5617221593856812,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0088,0.4669616222381592,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0408,4.069093227386475,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.1044,1.8028994798660278,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0442,1.328758955001831,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0672,1.1033567190170288,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0419,0.5738134384155273,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0297,0.6449151039123535,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0271,0.7438225150108337,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.058,1.1455987691879272,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0377,0.7756450176239014,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0236,0.4420327842235565,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0159,0.4723659157752991,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0238,0.5127635598182678,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0298,1.1524370908737183,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.6065573770005436,0.6065573770005436,6.9818,14.323,0.143,,,,,,
101,2.02,0.0208,0.4496607184410095,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.0143,0.37091147899627686,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.0038,0.19387368857860565,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0044,0.20741884410381317,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.0184,1.0695627927780151,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0289,0.48034942150115967,1.71875e-05,,,,,,,,,,,
107,2.14,0.0125,0.5987849235534668,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0239,0.5936034917831421,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0203,0.8242312073707581,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0394,1.447057843208313,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.0014,0.07909093052148819,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0082,0.38069915771484375,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.024,0.5372200608253479,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0094,0.5370709896087646,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.0451,0.7299356460571289,1.6875e-05,,,,,,,,,,,
116,2.32,0.0281,1.3242099285125732,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.0006,0.03469916060566902,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.04,1.552953839302063,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.028,0.5686913728713989,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0236,0.4128851592540741,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.0353,1.1608473062515259,1.6666666666666667e-05,,,,,,,,,,,
122,2.44,0.0378,1.2253046035766602,1.6631944444444445e-05,,,,,,,,,,,
123,2.46,0.0148,1.239607810974121,1.6597222222222225e-05,,,,,,,,,,,
124,2.48,0.0333,1.1294304132461548,1.6562500000000003e-05,,,,,,,,,,,
125,2.5,0.032,0.5481142997741699,1.6527777777777777e-05,,,,,,,,,,,
125,2.5,,,,0.6752037252117754,0.6752037252117754,6.4265,15.561,0.156,,,,,,
126,2.52,0.0224,0.5428661704063416,1.6493055555555557e-05,,,,,,,,,,,
127,2.54,0.0131,0.33760493993759155,1.6458333333333335e-05,,,,,,,,,,,
128,2.56,0.0217,0.5764619708061218,1.6423611111111112e-05,,,,,,,,,,,
129,2.58,0.0037,0.2631738483905792,1.638888888888889e-05,,,,,,,,,,,
130,2.6,0.0059,0.3827393054962158,1.635416666666667e-05,,,,,,,,,,,
131,2.62,0.0281,1.2017220258712769,1.6319444444444444e-05,,,,,,,,,,,
132,2.64,0.049,0.7064274549484253,1.6284722222222225e-05,,,,,,,,,,,
