step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.5087,24.843793869018555,0.0,,,,,,,,,,,
2,0.08,0.4975,21.059398651123047,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.4804,23.856735229492188,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.4301,29.11800193786621,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.3556,36.62175369262695,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.3076,32.470680236816406,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4905,37.572052001953125,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.2407,16.128082275390625,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0688,5.329392433166504,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.1067,12.482160568237305,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2105,18.294273376464844,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2326,21.904197692871094,2e-05,,,,,,,,,,,
12,0.48,,,,0.31361760655448995,0.31361760655448995,17.0899,5.851,0.059,,,,,,
13,0.52,0.2156,25.274505615234375,2e-05,,,,,,,,,,,
14,0.56,0.1023,10.545531272888184,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1365,9.74753475189209,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1461,7.407196998596191,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0726,5.200900554656982,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.104,6.265255928039551,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1037,7.732485294342041,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0683,4.339426040649414,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0377,8.403882026672363,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0897,5.303278923034668,1.9375e-05,,,,,,,,,,,
23,0.92,0.1091,16.7447566986084,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0878,7.70407772064209,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0982,9.651430130004883,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.6249999999499897,0.6249999999499897,16.9818,5.889,0.059,,,,,,
26,1.04,0.0485,13.695228576660156,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0745,24.65201187133789,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0536,5.9030914306640625,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0195,1.2503505945205688,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0386,5.266638278961182,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0166,4.03230094909668,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0487,4.936012268066406,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0859,10.197552680969238,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.1113,21.148048400878906,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0423,3.229306221008301,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.1371,21.06293487548828,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.1293,7.150747776031494,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0504,2.7759082317352295,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.6432989690225018,0.6432989690225018,16.9525,5.899,0.059,,,,,,
39,1.56,0.049,4.236388683319092,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0395,3.2906856536865234,1.8125e-05,,,,,,,,,,,
41,1.64,0.1113,7.254796981811523,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.1351,9.515792846679688,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0857,5.8406267166137695,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.087,7.247138977050781,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0766,4.618370056152344,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0655,7.522491455078125,1.7708333333333335e-05,,,,,,,,,,,
