step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.184,6.782471179962158,0.0,,,,,,,,,,,
2,0.04,0.1605,5.9345173835754395,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.1469,4.174964904785156,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.1516,6.847814559936523,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.1149,4.961946487426758,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.0466,2.00240421295166,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.0591,2.4737517833709717,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.0431,2.360212802886963,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.0525,2.4101760387420654,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.0631,2.566164970397949,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.0616,4.806856632232666,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.0506,2.7793080806732178,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.0759,2.135746479034424,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.0744,2.479081630706787,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0359,1.237493872642517,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0162,0.8870458006858826,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0552,4.875223159790039,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0616,2.4315760135650635,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0634,1.6959238052368164,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.038,0.8552737236022949,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0497,1.0387938022613525,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0186,0.7264482975006104,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0191,0.7918597459793091,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0388,1.4096598625183105,2e-05,,,,,,,,,,,
25,0.5,0.0419,2.3843700885772705,2e-05,,,,,,,,,,,
25,0.5,,,,0.5878594248701268,0.5878594248701268,26.8065,3.73,0.037,,,,,,
26,0.52,0.0135,0.5718632936477661,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0187,0.8926845192909241,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0131,0.5599963068962097,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0186,1.0522149801254272,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.059,2.4785728454589844,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.032,1.2480937242507935,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0437,1.3875904083251953,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0396,0.6816114783287048,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0317,0.8300583958625793,1.96875e-05,,,,,,,,,,,
35,0.7,0.0269,0.6584643125534058,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0128,0.5379970073699951,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0213,0.4309806227684021,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0118,0.3551645874977112,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0191,0.4608406126499176,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0219,2.355623960494995,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0264,0.6674675345420837,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0269,0.8017124533653259,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0256,0.8053923845291138,1.9375e-05,,,,,,,,,,,
44,0.88,0.0129,1.8500577211380005,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.019,0.6647666692733765,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0057,0.24878758192062378,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0147,0.7403135299682617,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0423,1.0266034603118896,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0463,1.0901025533676147,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0228,0.7051146030426025,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.7532051281550878,0.7532051281550878,26.7241,3.742,0.037,,,,,,
51,1.02,0.0086,0.4779536724090576,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0131,1.1158626079559326,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0312,0.9483057856559753,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0036,0.191551074385643,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.0048,0.34862223267555237,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0213,1.3812659978866577,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0036,0.12682867050170898,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.041,1.490844488143921,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0217,0.3931731879711151,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0046,0.3714676797389984,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.013,1.661278247833252,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0098,0.9314627647399902,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0168,0.409333199262619,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0156,1.2797529697418213,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0113,0.4543549716472626,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0039,0.18554960191249847,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.004,0.394576758146286,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0197,0.5947026014328003,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0285,1.0446354150772095,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0007,0.06019541248679161,1.84375e-05,,,,,,,,,,,
71,1.42,0.0025,0.11396633088588715,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0158,0.5918899178504944,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0127,0.5638188123703003,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0111,1.0501502752304077,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0034,0.1642005890607834,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.7959697732496162,0.7959697732496162,26.5468,3.767,0.038,,,,,,
76,1.52,0.0185,0.354218989610672,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0164,1.019060730934143,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0101,0.2657037079334259,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0253,0.9052385687828064,1.8125e-05,,,,,,,,,,,
80,1.6,0.0038,0.3605501055717468,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0046,0.9123437404632568,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0154,0.7611284852027893,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0152,0.35276520252227783,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0118,0.6115404963493347,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.019,2.7494351863861084,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0107,0.6490141153335571,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0058,0.20125149190425873,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0114,0.6476662158966064,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0101,0.49493443965911865,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0147,0.47778329253196716,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0157,1.239119052886963,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0026,0.26418325304985046,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0055,0.1991567313671112,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0191,0.4366171956062317,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0074,0.5129555463790894,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0086,0.7941072583198547,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0046,0.30292171239852905,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.0057,0.28803810477256775,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0014,0.09721729159355164,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0131,0.4400860369205475,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.814070351708658,0.814070351708658,26.5546,3.766,0.038,,,,,,
101,2.02,0.0015,0.11193124949932098,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.0041,0.20524252951145172,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.0013,0.11129681766033173,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0041,0.3458678424358368,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.0005,0.03410002216696739,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0006,0.11605821549892426,1.71875e-05,,,,,,,,,,,
107,2.14,0.0165,0.6325461864471436,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0015,0.19204124808311462,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0096,0.37789079546928406,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0064,0.27583837509155273,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.0059,0.20455120503902435,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0041,0.6982954740524292,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.0006,0.0645945593714714,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0023,0.14919908344745636,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.001,0.07271034270524979,1.6875e-05,,,,,,,,,,,
116,2.32,0.0021,0.21146437525749207,1.6840277777777778e-05,,,,,,,,,,,
117,2.34,0.0014,0.21192783117294312,1.6805555555555558e-05,,,,,,,,,,,
118,2.36,0.0227,3.288330078125,1.6770833333333336e-05,,,,,,,,,,,
119,2.38,0.0075,0.3736732304096222,1.6736111111111113e-05,,,,,,,,,,,
120,2.4,0.0182,0.722065269947052,1.670138888888889e-05,,,,,,,,,,,
121,2.42,0.019,0.5307676792144775,1.6666666666666667e-05,,,,,,,,,,,
