step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.0099,31.427270889282227,0.0,,,,,,,,,,,
2,0.008,1.0227,29.798749923706055,2.921631592648489e-06,,,,,,,,,,,
3,0.013,1.0832,32.138240814208984,4.630676515270083e-06,,,,,,,,,,,
4,0.017,0.9156,35.902320861816406,5.843263185296978e-06,,,,,,,,,,,
5,0.021,0.6285,23.561241149902344,6.7838184778810356e-06,,,,,,,,,,,
6,0.025,0.2326,8.173379898071289,7.552308107918572e-06,,,,,,,,,,,
7,0.029,0.2351,9.351459503173828,8.202056832060732e-06,,,,,,,,,,,
8,0.033,0.1791,3.7677342891693115,8.764894777945466e-06,,,,,,,,,,,
9,0.038,0.2333,5.782899856567383,9.261353030540167e-06,,,,,,,,,,,
10,0.042,0.177,3.4536726474761963,9.705450070529527e-06,,,,,,,,,,,
11,0.046,0.1465,3.8506922721862793,1.0107184709617828e-05,,,,,,,,,,,
12,0.05,0.1398,2.352403163909912,1.0473939700567063e-05,,,,,,,,,,,
13,0.054,0.0972,2.5139055252075195,1.0811321587212284e-05,,,,,,,,,,,
14,0.059,0.0665,1.5224578380584717,1.112368842470922e-05,,,,,,,,,,,
15,0.063,0.1027,2.223484516143799,1.1414494993151119e-05,,,,,,,,,,,
16,0.067,0.0454,1.957743763923645,1.1686526370593955e-05,,,,,,,,,,,
17,0.071,0.0615,1.2278093099594116,1.1942060570773745e-05,,,,,,,,,,,
18,0.075,0.1058,2.3581268787384033,1.2182984623188654e-05,,,,,,,,,,,
19,0.079,0.0495,1.5720809698104858,1.2410879226557518e-05,,,,,,,,,,,
20,0.084,0.095,1.7471064329147339,1.2627081663178013e-05,,,,,,,,,,,
21,0.088,0.0789,1.8727760314941406,1.2832733347330815e-05,,,,,,,,,,,
22,0.092,0.0759,1.3723959922790527,1.3028816302266316e-05,,,,,,,,,,,
23,0.096,0.0594,1.273255705833435,1.3216181522118964e-05,,,,,,,,,,,
24,0.1,0.0564,1.0057158470153809,1.339557129321555e-05,,,,,,,,,,,
25,0.105,0.055,0.8043821454048157,1.3567636955762071e-05,,,,,,,,,,,
26,0.109,0.0608,1.001173973083496,1.3732953179860774e-05,,,,,,,,,,,
27,0.113,0.0479,1.1302038431167603,1.389202954581025e-05,,,,,,,,,,,
28,0.117,0.0573,1.4664881229400635,1.4045320017357708e-05,,,,,,,,,,,
29,0.121,0.0322,1.174617886543274,1.419323075185066e-05,,,,,,,,,,,
30,0.126,0.0405,1.0988281965255737,1.4336126585799608e-05,,,,,,,,,,,
31,0.13,0.0862,0.986889123916626,1.4474336456608873e-05,,,,,,,,,,,
32,0.134,0.045,0.7050304412841797,1.4608157963242445e-05,,,,,,,,,,,
33,0.138,0.0721,1.1338026523590088,1.473786122488791e-05,,,,,,,,,,,
34,0.142,0.0795,1.0189645290374756,1.4863692163422237e-05,,,,,,,,,,,
35,0.146,0.0661,0.8366070985794067,1.4985875309941766e-05,,,,,,,,,,,
36,0.151,0.0453,0.7631065845489502,1.5104616215837144e-05,,,,,,,,,,,
37,0.155,0.0715,0.8888248205184937,1.5220103533450539e-05,,,,,,,,,,,
38,0.159,0.065,0.9646907448768616,1.5332510819206004e-05,,,,,,,,,,,
39,0.163,0.0663,0.5199468731880188,1.5441998102482367e-05,,,,,,,,,,,
40,0.167,0.0855,1.6999598741531372,1.5548713255826503e-05,,,,,,,,,,,
41,0.172,0.0954,0.9556748270988464,1.5652793195949435e-05,,,,,,,,,,,
42,0.176,0.0426,0.4011056125164032,1.5754364939979307e-05,,,,,,,,,,,
43,0.18,0.0433,0.6457130312919617,1.5853546537412653e-05,,,,,,,,,,,
44,0.184,0.0603,0.9340187311172485,1.5950447894914806e-05,,,,,,,,,,,
45,0.188,0.0614,0.9185411334037781,1.6045171508421204e-05,,,,,,,,,,,
46,0.192,0.0522,0.7210108637809753,1.6137813114767454e-05,,,,,,,,,,,
47,0.197,0.0424,0.8922362327575684,1.6228462273234477e-05,,,,,,,,,,,
48,0.201,0.0557,0.9140238165855408,1.631720288586404e-05,,,,,,,,,,,
49,0.205,0.0392,0.5129892826080322,1.6404113664121464e-05,,,,,,,,,,,
50,0.209,0.0784,0.6247846484184265,1.648926854841056e-05,,,,,,,,,,,
51,0.213,0.0597,0.8411805629730225,1.657273708604383e-05,,,,,,,,,,,
52,0.218,0.0482,0.6478661894798279,1.6654584772509265e-05,,,,,,,,,,,
53,0.222,0.05,0.5491664409637451,1.6734873360229337e-05,,,,,,,,,,,
54,0.226,0.0414,0.4251437783241272,1.6813661138458738e-05,,,,,,,,,,,
55,0.23,0.0558,0.8933426141738892,1.6891003187498864e-05,,,,,,,,,,,
56,0.234,0.0601,0.7798173427581787,1.69669516100062e-05,,,,,,,,,,,
57,0.238,0.1004,0.6605653166770935,1.7041555741827603e-05,,,,,,,,,,,
58,0.243,0.0591,0.3476387560367584,1.711486234449915e-05,,,,,,,,,,,
59,0.247,0.0445,0.40850332379341125,1.71869157812896e-05,,,,,,,,,,,
60,0.251,0.0567,0.7128272652626038,1.7257758178448095e-05,,,,,,,,,,,
61,0.255,0.0471,0.41764941811561584,1.7327429573123714e-05,,,,,,,,,,,
62,0.259,0.0451,0.3477764129638672,1.7395968049257365e-05,,,,,,,,,,,
63,0.264,0.0529,0.6981097459793091,1.74634098626009e-05,,,,,,,,,,,
64,0.268,0.0536,1.733638882637024,1.752978955589093e-05,,,,,,,,,,,
65,0.272,0.0467,0.2697939872741699,1.759514006509332e-05,,,,,,,,,,,
66,0.276,0.0662,0.5368427634239197,1.7659492817536398e-05,,,,,,,,,,,
67,0.28,0.032,0.728850245475769,1.7722877822664924e-05,,,,,,,,,,,
68,0.285,0.0763,0.7690728306770325,1.7785323756070726e-05,,,,,,,,,,,
69,0.289,0.0447,0.33236032724380493,1.784685803738905e-05,,,,,,,,,,,
70,0.293,0.0466,0.47666656970977783,1.790750690259026e-05,,,,,,,,,,,
71,0.297,0.0614,0.4916260540485382,1.7967295471143923e-05,,,,,,,,,,,
72,0.301,0.0454,0.5706095099449158,1.8026247808485632e-05,,,,,,,,,,,
