step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.6572,48.1718635559082,0.0,,,,,,,,,,,
2,0.04,0.7996,44.762359619140625,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.6265,36.816341400146484,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.6057,19.66948890686035,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.3461,9.12235164642334,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.2659,8.16641902923584,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.2082,8.472668647766113,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.2401,9.386013984680176,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2484,8.046216011047363,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.1726,4.859072208404541,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1506,6.209296226501465,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.121,3.8022451400756836,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.0989,3.7198326587677,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.0662,9.511494636535645,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0987,5.596096515655518,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.082,7.542215824127197,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0701,5.93272066116333,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0733,5.590597629547119,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0567,3.7658066749572754,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0779,5.049163818359375,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1172,4.808534622192383,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0709,3.4800474643707275,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0678,3.3851120471954346,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0898,4.172959327697754,2e-05,,,,,,,,,,,
